Date,AKDATA.HospitalizedCurrently,AKDATA.OnVentilatorCurrently
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,39,0
2020-4-19,37,0
2020-4-20,46,0
2020-4-21,42,0
2020-4-22,39,0
2020-4-23,42,0
2020-4-24,36,0
2020-4-25,32,0
2020-4-26,14,0
2020-4-27,10,0
2020-4-28,16,0
2020-4-29,14,0
2020-4-30,19,0
2020-5-1,25,0
2020-5-2,10,0
2020-5-3,12,0
2020-5-4,12,0
2020-5-5,13,0
2020-5-6,8,0
2020-5-7,12,0
2020-5-8,16,0
2020-5-9,8,0
2020-5-10,8,0
2020-5-11,7,0
2020-5-12,10,0
2020-5-13,12,0
2020-5-14,12,0
2020-5-15,8,0
2020-5-16,10,0
2020-5-17,13,0
2020-5-18,9,0
2020-5-19,16,0
2020-5-20,16,0
2020-5-21,19,0
2020-5-22,15,0
2020-5-23,10,0
2020-5-24,10,0
2020-5-25,10,0
2020-5-26,12,0
2020-5-27,14,0
2020-5-28,10,0
2020-5-29,14,1
2020-5-30,14,2
2020-5-31,14,2
2020-6-1,10,1
2020-6-2,10,0
2020-6-3,11,0
2020-6-4,13,1
2020-6-5,8,1
2020-6-6,7,1
2020-6-7,7,1
2020-6-8,7,0
2020-6-9,12,1
