Date,ALDATA.HospitalizedCurrently,ALDATA.OnVentilatorCurrently
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,74,0
2020-3-25,91,0
2020-3-26,106,0
2020-3-27,112,0
2020-3-28,134,0
2020-3-29,158,0
2020-3-30,156,0
2020-3-31,172,0
2020-4-1,258,0
2020-4-2,226,0
2020-4-3,238,0
2020-4-4,238,0
2020-4-5,282,0
2020-4-6,297,0
2020-4-7,302,0
2020-4-8,308,0
2020-4-9,324,0
2020-4-10,350,0
2020-4-11,343,0
2020-4-12,290,0
2020-4-13,380,0
2020-4-14,380,0
2020-4-15,402,0
2020-4-16,360,0
2020-4-17,364,0
2020-4-18,359,0
2020-4-19,360,0
2020-4-20,397,0
2020-4-21,401,0
2020-4-22,440,0
2020-4-23,406,0
2020-4-24,429,0
2020-4-25,351,0
2020-4-26,384,0
2020-4-27,426,0
2020-4-28,530,0
2020-4-29,498,0
2020-4-30,479,0
2020-5-1,495,0
2020-5-2,420,0
2020-5-3,427,0
2020-5-4,517,0
2020-5-5,522,0
2020-5-6,485,0
2020-5-7,502,0
2020-5-8,481,0
2020-5-9,437,0
2020-5-10,424,0
2020-5-11,458,0
2020-5-12,529,0
2020-5-13,524,0
2020-5-14,509,0
2020-5-15,519,0
2020-5-16,455,0
2020-5-17,460,0
2020-5-18,536,0
2020-5-19,489,0
2020-5-20,560,0
2020-5-21,574,0
2020-5-22,598,0
2020-5-23,446,0
2020-5-24,440,0
2020-5-25,450,0
2020-5-26,569,0
2020-5-27,607,0
2020-5-28,527,0
2020-5-29,590,0
2020-5-30,536,0
2020-5-31,527,0
2020-6-1,596,0
2020-6-2,606,0
2020-6-3,610,0
2020-6-4,601,0
2020-6-5,582,0
2020-6-6,473,0
2020-6-7,518,0
2020-6-8,593,0
2020-6-9,628,0
2020-6-10,646,0
2020-6-11,647,0
2020-6-12,624,0
2020-6-13,563,0
2020-6-14,576,0
2020-6-15,641,0
2020-6-16,683,0
2020-6-17,688,0
2020-6-18,668,0
2020-6-19,650,0
2020-6-20,638,0
2020-6-21,625,0
2020-6-22,663,0
2020-6-23,681,0
2020-6-24,683,0
2020-6-25,694,0
2020-6-26,668,0
2020-6-27,655,0
2020-6-28,650,0
2020-6-29,726,0
2020-6-30,775,0
2020-7-1,809,0
2020-7-2,843,0
2020-7-3,838,0
2020-7-4,818,0
2020-7-5,919,0
2020-7-6,1025,0
2020-7-7,1078,0
2020-7-8,1116,0
2020-7-9,1135,0
2020-7-10,1201,0
2020-7-11,1093,0
2020-7-12,1163,0
2020-7-13,1335,0
2020-7-14,1362,0
2020-7-15,1332,0
2020-7-16,1395,0
2020-7-17,1433,0
2020-7-18,1463,0
2020-7-19,1524,0
2020-7-20,1571,0
2020-7-21,1549,0
2020-7-22,1468,0
2020-7-23,1561,0
2020-7-24,1536,0
2020-7-25,1499,0
2020-7-26,1512,0
2020-7-27,1473,0
2020-7-28,1598,0
2020-7-29,1605,0
2020-7-30,1512,0
2020-7-31,1596,0
2020-8-1,1416,0
2020-8-2,1538,0
2020-8-3,1540,0
2020-8-4,1572,0
2020-8-5,1572,0
2020-8-6,1613,0
2020-8-7,1403,0
2020-8-8,1454,0
2020-8-9,1449,0
2020-8-10,1551,0
2020-8-11,1504,0
2020-8-12,1386,0
2020-8-13,1341,0
2020-8-14,1326,0
2020-8-15,1259,0
2020-8-16,1289,0
2020-8-17,1301,0
2020-8-18,1280,0
2020-8-19,1198,0
2020-8-20,1105,0
2020-8-21,1168,0
2020-8-22,1067,0
2020-8-23,1093,0
2020-8-24,1149,0
2020-8-25,1097,0
2020-8-26,1077,0
2020-8-27,1052,0
2020-8-28,1002,0
2020-8-29,986,0
2020-8-30,969,0
2020-8-31,1004,0
2020-9-1,990,0
2020-9-2,959,0
2020-9-3,872,0
2020-9-4,880,0
2020-9-5,818,0
2020-9-6,841,0
2020-9-7,858,0
2020-9-8,778,0
2020-9-9,857,0
2020-9-10,834,0
2020-9-11,811,0
2020-9-12,793,0
2020-9-13,790,0
2020-9-14,792,0
2020-9-15,716,0
2020-9-16,722,0
2020-9-17,740,0
2020-9-18,744,0
2020-9-19,747,0
2020-9-20,780,0
2020-9-21,802,0
2020-9-22,796,0
2020-9-23,768,0
2020-9-24,744,0
2020-9-25,718,0
2020-9-26,709,0
2020-9-27,741,0
2020-9-28,753,0
2020-9-29,773,0
2020-9-30,776,0
2020-10-1,760,0
2020-10-2,752,0
2020-10-3,738,0
2020-10-4,757,0
2020-10-5,791,0
2020-10-6,764,0
2020-10-7,777,0
2020-10-8,754,0
2020-10-9,816,0
2020-10-10,792,0
2020-10-11,812,0
2020-10-12,856,0
2020-10-13,823,0
2020-10-14,834,0
2020-10-15,844,0
2020-10-16,859,0
2020-10-17,823,0
2020-10-18,823,0
2020-10-19,859,0
2020-10-20,846,0
2020-10-21,863,0
2020-10-22,864,0
2020-10-23,888,0
2020-10-24,920,0
2020-10-25,922,0
2020-10-26,967,0
2020-10-27,1001,0
2020-10-28,1013,0
2020-10-29,1013,0
2020-10-30,1013,0
2020-10-31,960,0
2020-11-1,967,0
2020-11-2,967,0
2020-11-3,1022,0
2020-11-4,1017,0
2020-11-5,994,0
2020-11-6,1022,0
2020-11-7,1015,0
2020-11-8,1060,0
2020-11-9,1174,0
2020-11-10,1206,0
2020-11-11,1210,0
2020-11-12,1233,0
2020-11-13,1177,0
2020-11-14,1120,0
2020-11-15,1195,0
2020-11-16,1262,0
2020-11-17,1289,0
2020-11-18,1303,0
2020-11-19,1315,0
2020-11-20,1329,0
2020-11-21,1300,0
2020-11-22,1332,0
2020-11-23,1427,0
2020-11-24,1428,0
2020-11-25,1483,0
2020-11-26,1434,0
2020-11-27,1526,0
2020-11-28,1571,0
2020-11-29,1609,0
2020-11-30,1717,0
2020-12-1,1785,0
2020-12-2,1801,0
2020-12-3,1827,0
2020-12-4,1875,0
2020-12-5,1867,0
2020-12-6,1927,0
2020-12-7,2079,0
2020-12-8,2097,0
2020-12-9,2111,0
2020-12-10,2170,0
2020-12-11,2111,0
2020-12-12,2161,0
2020-12-13,2248,0
2020-12-14,2286,0
2020-12-15,2353,0
2020-12-16,2310,0
2020-12-17,2425,0
2020-12-18,2447,0
2020-12-19,2318,0
2020-12-20,2337,0
2020-12-21,2526,0
2020-12-22,2527,0
2020-12-23,2535,0
2020-12-24,2542,0
2020-12-25,2465,0
2020-12-26,2470,0
2020-12-27,2585,0
2020-12-28,2802,0
2020-12-29,2804,0
2020-12-30,2813,0
2020-12-31,2815,0
2021-1-1,2815,0
2021-1-2,2815,0
2021-1-3,2885,0
2021-1-4,3064,0
2021-1-5,3080,0
2021-1-6,2967,0
2021-1-7,3015,0
2021-1-8,3046,0
2021-1-9,2995,0
2021-1-10,2863,0
2021-1-11,3088,0
2021-1-12,3076,0
2021-1-13,2975,0
2021-1-14,2850,0
2021-1-15,2863,0
2021-1-16,2772,0
2021-1-17,2716,0
2021-1-18,2798,0
2021-1-19,2724,0
2021-1-20,2522,0
2021-1-21,2478,0
2021-1-22,2408,0
2021-1-23,2258,0
2021-1-24,2254,0
2021-1-25,2285,0
2021-1-26,2222,0
2021-1-27,2122,0
2021-1-28,2052,0
2021-1-29,1978,0
2021-1-30,1879,0
2021-1-31,1884,0
2021-2-1,1888,0
2021-2-2,1868,0
2021-2-3,1777,0
2021-2-4,1666,0
2021-2-5,1671,0
2021-2-6,1551,0
2021-2-7,1513,0
2021-2-8,1524,0
2021-2-9,1441,0
2021-2-10,1401,0
2021-2-11,1281,0
2021-2-12,1267,0
2021-2-13,1140,0
2021-2-14,1136,0
2021-2-15,1087,0
2021-2-16,1104,0
2021-2-17,1030,0
2021-2-18,1003,0
2021-2-19,951,0
2021-2-20,895,0
2021-2-21,867,0
