Date,ARDATA.Death,ARDATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,13,0
2020-3-23,13,0
2020-3-24,22,0
2020-3-25,22,4
2020-3-26,41,13
2020-3-27,48,17
2020-3-28,48,17
2020-3-29,43,16
2020-3-30,62,21
2020-3-31,64,23
2020-4-1,56,25
2020-4-2,66,23
2020-4-3,71,26
2020-4-4,72,23
2020-4-5,67,27
2020-4-6,74,22
2020-4-7,74,26
2020-4-8,76,30
2020-4-9,73,31
2020-4-10,86,33
2020-4-11,86,33
2020-4-12,74,30
2020-4-13,74,28
2020-4-14,81,29
2020-4-15,83,26
2020-4-16,85,21
2020-4-17,83,21
2020-4-18,86,22
2020-4-19,88,25
2020-4-20,93,24
2020-4-21,86,27
2020-4-22,97,23
2020-4-23,101,24
2020-4-24,101,24
2020-4-25,104,25
2020-4-26,104,25
2020-4-27,109,25
2020-4-28,104,20
2020-4-29,93,18
2020-4-30,95,23
2020-5-1,95,23
2020-5-2,95,20
2020-5-3,100,20
2020-5-4,91,16
2020-5-5,89,16
2020-5-6,69,14
2020-5-7,69,14
2020-5-8,70,14
2020-5-9,64,14
2020-5-10,64,14
2020-5-11,61,11
2020-5-12,59,12
2020-5-13,59,12
2020-5-14,64,13
2020-5-15,65,9
2020-5-16,65,10
2020-5-17,65,9
2020-5-18,77,12
2020-5-19,78,14
2020-5-20,78,14
2020-5-21,78,14
2020-5-22,86,14
2020-5-23,81,14
2020-5-24,86,17
2020-5-25,92,17
2020-5-26,107,18
2020-5-27,108,22
2020-5-28,104,27
2020-5-29,104,27
2020-5-30,104,26
2020-5-31,115,27
2020-6-1,115,27
2020-6-2,121,26
2020-6-3,132,31
2020-6-4,138,30
2020-6-5,147,32
2020-6-6,154,36
2020-6-7,145,35
2020-6-8,171,46
2020-6-9,173,44
2020-6-10,181,49
