Date,AZDATA.Death,AZDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,525,195
2020-4-14,580,216
2020-4-15,590,202
2020-4-16,578,188
2020-4-17,566,178
2020-4-18,566,178
2020-4-19,631,187
2020-4-20,637,181
2020-4-21,637,181
2020-4-22,664,195
2020-4-23,699,201
2020-4-24,639,186
2020-4-25,697,191
2020-4-26,671,200
2020-4-27,647,200
2020-4-28,737,193
2020-4-29,756,191
2020-4-30,755,194
2020-5-1,709,187
2020-5-2,718,198
2020-5-3,732,192
2020-5-4,703,200
2020-5-5,728,185
2020-5-6,754,193
2020-5-7,766,196
2020-5-8,730,197
2020-5-9,739,186
2020-5-10,713,195
2020-5-11,717,201
2020-5-12,765,204
2020-5-13,755,191
2020-5-14,781,201
2020-5-15,808,222
2020-5-16,791,210
2020-5-17,796,201
2020-5-18,820,200
2020-5-19,792,201
2020-5-20,810,208
2020-5-21,812,197
2020-5-22,796,203
2020-5-23,784,193
2020-5-24,804,201
2020-5-25,833,212
2020-5-26,818,208
2020-5-27,911,237
2020-5-28,945,222
2020-5-29,931,238
2020-5-30,975,241
2020-5-31,973,239
2020-6-1,968,238
