Date,CADATA.Death,CADATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,746,0
2020-3-28,1034,0
2020-3-29,1034,0
2020-3-30,1432,0
2020-3-31,1617,0
2020-4-1,1855,0
2020-4-2,1922,0
2020-4-3,2188,0
2020-4-4,2300,0
2020-4-5,2398,0
2020-4-6,2509,0
2020-4-7,2611,0
2020-4-8,2714,0
2020-4-9,2825,0
2020-4-10,2897,0
2020-4-11,5236,0
2020-4-12,5234,0
2020-4-13,3015,0
2020-4-14,5163,0
2020-4-15,5163,0
2020-4-16,5031,0
2020-4-17,4892,0
2020-4-18,4936,0
2020-4-19,4731,0
2020-4-20,4674,0
2020-4-21,4886,0
2020-4-22,4984,0
2020-4-23,4929,0
2020-4-24,4880,0
2020-4-25,4847,0
2020-4-26,4928,0
2020-4-27,4878,0
2020-4-28,4983,0
2020-4-29,5011,0
2020-4-30,4981,0
2020-5-1,4706,0
2020-5-2,4722,0
2020-5-3,4734,0
2020-5-4,4616,0
2020-5-5,4622,0
2020-5-6,4681,0
2020-5-7,4560,0
2020-5-8,4514,0
2020-5-9,4538,0
2020-5-10,4555,0
2020-5-11,4549,0
2020-5-12,4544,0
2020-5-13,4545,0
2020-5-14,4655,0
2020-5-15,4519,0
2020-5-16,4424,0
2020-5-17,4291,0
2020-5-18,4391,0
2020-5-19,4363,0
2020-5-20,4681,0
2020-5-21,4735,0
2020-5-22,4762,0
2020-5-23,4342,0
2020-5-24,4300,0
2020-5-25,4306,0
2020-5-26,4404,0
