Date,CODATA.HospitalizedCurrently,CODATA.OnVentilatorCurrently
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,56,0
2020-3-22,74,0
2020-3-23,116,0
2020-3-24,152,0
2020-3-25,230,0
2020-3-26,278,0
2020-3-27,307,0
2020-3-28,332,0
2020-3-29,358,0
2020-3-30,503,0
2020-3-31,574,0
2020-4-1,698,0
2020-4-2,739,0
2020-4-3,777,0
2020-4-4,783,0
2020-4-5,786,0
2020-4-6,786,0
2020-4-7,833,0
2020-4-8,848,0
2020-4-9,842,0
2020-4-10,841,0
2020-4-11,822,0
2020-4-12,842,0
2020-4-13,888,0
2020-4-14,878,0
2020-4-15,859,0
2020-4-16,858,0
2020-4-17,843,0
2020-4-18,874,0
2020-4-19,874,0
2020-4-20,861,0
2020-4-21,851,0
2020-4-22,859,0
2020-4-23,1084,0
2020-4-24,1084,0
2020-4-25,1046,0
2020-4-26,1007,0
2020-4-27,994,0
2020-4-28,964,0
2020-4-29,966,0
2020-4-30,959,0
2020-5-1,931,0
2020-5-2,883,0
2020-5-3,883,0
2020-5-4,834,0
2020-5-5,792,0
2020-5-6,798,0
2020-5-7,821,0
2020-5-8,790,0
2020-5-9,790,0
2020-5-10,573,0
2020-5-11,738,0
2020-5-12,688,0
2020-5-13,685,0
2020-5-14,685,0
2020-5-15,671,0
2020-5-16,650,0
2020-5-17,650,0
2020-5-18,626,0
2020-5-19,626,0
2020-5-20,613,0
2020-5-21,620,0
2020-5-22,571,0
2020-5-23,538,0
2020-5-24,560,0
2020-5-25,507,0
2020-5-26,484,0
2020-5-27,464,0
2020-5-28,464,0
2020-5-29,421,0
2020-5-30,414,0
2020-5-31,414,0
