Date,CTDATA.HospitalizedCurrently,CTDATA.OnVentilatorCurrently
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,43,0
2020-3-23,54,0
2020-3-24,71,0
2020-3-25,113,0
2020-3-26,125,0
2020-3-27,173,0
2020-3-28,205,0
2020-3-29,404,0
2020-3-30,517,0
2020-3-31,608,0
2020-4-1,766,0
2020-4-2,827,0
2020-4-3,909,0
2020-4-4,1033,0
2020-4-5,1142,0
2020-4-6,1221,0
2020-4-7,1308,0
2020-4-8,1308,0
2020-4-9,1464,0
2020-4-10,1562,0
2020-4-11,1593,0
2020-4-12,1654,0
2020-4-13,1760,0
2020-4-14,1779,0
2020-4-15,1908,0
2020-4-16,1926,0
2020-4-17,1946,0
2020-4-18,1946,0
2020-4-19,1938,0
2020-4-20,1919,0
2020-4-21,1949,0
2020-4-22,1972,0
2020-4-23,1947,0
2020-4-24,1877,0
2020-4-25,1810,0
2020-4-26,1766,0
2020-4-27,1758,0
2020-4-28,1732,0
2020-4-29,1691,0
2020-4-30,1650,0
2020-5-1,1592,0
2020-5-2,1592,0
2020-5-3,1551,0
2020-5-4,1488,0
2020-5-5,1500,0
2020-5-6,1445,0
2020-5-7,1385,0
2020-5-8,1327,0
2020-5-9,1301,0
2020-5-10,1242,0
2020-5-11,1212,0
2020-5-12,1189,0
2020-5-13,1158,0
2020-5-14,1103,0
2020-5-15,1033,0
2020-5-16,994,0
2020-5-17,937,0
2020-5-18,920,0
2020-5-19,914,0
2020-5-20,887,0
2020-5-21,816,0
2020-5-22,740,0
2020-5-23,724,0
2020-5-24,701,0
2020-5-25,706,0
2020-5-26,694,0
2020-5-27,684,0
2020-5-28,648,0
2020-5-29,577,0
2020-5-30,533,0
2020-5-31,481,0
2020-6-1,454,0
2020-6-2,434,0
2020-6-3,406,0
2020-6-4,373,0
2020-6-5,350,0
2020-6-6,333,0
2020-6-7,333,0
2020-6-8,324,0
2020-6-9,293,0
2020-6-10,270,0
2020-6-11,246,0
2020-6-12,244,0
2020-6-13,233,0
2020-6-14,205,0
2020-6-15,203,0
2020-6-16,201,0
2020-6-17,186,0
2020-6-18,176,0
2020-6-19,172,0
2020-6-20,150,0
2020-6-21,149,0
2020-6-22,140,0
2020-6-23,138,0
2020-6-24,124,0
2020-6-25,122,0
2020-6-26,127,0
2020-6-27,106,0
2020-6-28,103,0
2020-6-29,99,0
2020-6-30,98,0
2020-7-1,100,0
2020-7-2,101,0
2020-7-3,95,0
2020-7-4,95,0
2020-7-5,95,0
2020-7-6,69,0
2020-7-7,83,0
2020-7-8,88,0
2020-7-9,90,0
2020-7-10,77,0
