Date,DEDATA.HospitalizedCurrently,DEDATA.OnVentilatorCurrently
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,11,0
2020-3-26,13,0
2020-3-27,15,0
2020-3-28,31,0
2020-3-29,33,0
2020-3-30,45,0
2020-3-31,57,0
2020-4-1,51,0
2020-4-2,56,0
2020-4-3,63,0
2020-4-4,95,0
2020-4-5,101,0
2020-4-6,101,0
2020-4-7,147,0
2020-4-8,147,0
2020-4-9,201,0
2020-4-10,181,0
2020-4-11,190,0
2020-4-12,190,0
2020-4-13,201,0
2020-4-14,204,0
2020-4-15,208,0
2020-4-16,209,0
2020-4-17,224,0
2020-4-18,224,0
2020-4-19,249,0
2020-4-20,256,0
2020-4-21,263,0
2020-4-22,269,0
2020-4-23,290,0
2020-4-24,277,0
2020-4-25,300,0
2020-4-26,317,0
2020-4-27,325,0
2020-4-28,337,0
2020-4-29,326,0
2020-4-30,296,0
2020-5-1,281,0
2020-5-2,300,0
2020-5-3,284,0
2020-5-4,281,0
2020-5-5,284,0
2020-5-6,299,0
2020-5-7,285,0
2020-5-8,289,0
2020-5-9,288,0
2020-5-10,285,0
2020-5-11,275,0
2020-5-12,276,0
2020-5-13,282,0
2020-5-14,273,0
2020-5-15,269,0
2020-5-16,250,0
2020-5-17,229,0
2020-5-18,240,0
2020-5-19,236,0
2020-5-20,220,0
2020-5-21,220,0
2020-5-22,221,0
2020-5-23,210,0
2020-5-24,211,0
2020-5-25,205,0
2020-5-26,201,0
2020-5-27,196,0
2020-5-28,192,0
2020-5-29,183,0
2020-5-30,174,0
2020-5-31,160,0
2020-6-1,159,0
2020-6-2,157,0
2020-6-3,153,0
2020-6-4,142,0
2020-6-5,128,0
2020-6-6,117,0
2020-6-7,103,0
2020-6-8,113,0
2020-6-9,108,0
