Date,IADATA.Death,IADATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,23,0
2020-3-26,31,0
2020-3-27,32,0
2020-3-28,46,0
2020-3-29,51,0
2020-3-30,51,0
2020-3-31,61,0
2020-4-1,63,0
2020-4-2,74,0
2020-4-3,80,0
2020-4-4,85,0
2020-4-5,91,0
2020-4-6,99,0
2020-4-7,104,0
2020-4-8,122,0
2020-4-9,122,0
2020-4-10,125,30
2020-4-11,118,30
2020-4-12,129,30
2020-4-13,142,41
2020-4-14,163,41
2020-4-15,171,43
2020-4-16,175,48
2020-4-17,183,52
2020-4-18,193,51
2020-4-19,198,54
2020-4-20,214,58
2020-4-21,214,60
2020-4-22,272,57
2020-4-23,282,55
2020-4-24,278,60
2020-4-25,293,60
2020-4-26,286,55
2020-4-27,300,58
2020-4-28,304,64
2020-4-29,323,74
2020-4-30,335,86
2020-5-1,345,91
2020-5-2,353,90
2020-5-3,378,93
2020-5-4,389,93
2020-5-5,407,94
2020-5-6,414,103
2020-5-7,417,107
2020-5-8,407,109
2020-5-9,402,106
2020-5-10,413,105
2020-5-11,394,107
2020-5-12,385,101
2020-5-13,388,101
2020-5-14,405,93
2020-5-15,387,87
2020-5-16,387,83
2020-5-17,376,85
2020-5-18,382,85
2020-5-19,383,83
2020-5-20,381,84
2020-5-21,376,80
2020-5-22,362,79
2020-5-23,362,70
2020-5-24,363,61
2020-5-25,377,66
2020-5-26,379,65
2020-5-27,393,66
2020-5-28,383,67
2020-5-29,376,78
2020-5-30,368,69
2020-5-31,341,70
2020-6-1,339,73
2020-6-2,327,76
2020-6-3,314,76
2020-6-4,310,70
2020-6-5,299,62
2020-6-6,299,62
2020-6-7,269,54
2020-6-8,265,53
2020-6-9,255,51
2020-6-10,245,49
