Date,IDDATA.Death,IDDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,34,0
2020-3-27,31,0
2020-3-28,37,0
2020-3-29,35,0
2020-3-30,42,0
2020-3-31,45,0
2020-4-1,49,0
2020-4-2,49,0
2020-4-3,45,0
2020-4-4,53,0
2020-4-5,51,0
2020-4-6,62,0
2020-4-7,67,0
2020-4-8,62,0
2020-4-9,70,0
2020-4-10,67,0
2020-4-11,61,0
2020-4-12,63,0
2020-4-13,62,0
2020-4-14,59,0
2020-4-15,66,0
2020-4-16,70,0
2020-4-17,58,0
2020-4-18,53,0
2020-4-19,43,0
2020-4-20,53,0
2020-4-21,69,0
2020-4-22,54,0
2020-4-23,52,0
2020-4-24,31,0
2020-4-25,35,0
2020-4-26,38,0
2020-4-27,36,0
2020-4-28,41,0
2020-4-29,39,0
2020-4-30,36,0
2020-5-1,28,0
2020-5-2,23,0
2020-5-3,27,0
2020-5-4,27,0
2020-5-5,27,0
2020-5-6,21,0
2020-5-7,20,0
2020-5-8,16,0
2020-5-9,19,0
2020-5-10,25,0
2020-5-11,30,0
2020-5-12,25,0
2020-5-13,20,0
2020-5-14,19,0
2020-5-15,26,0
2020-5-16,19,0
2020-5-17,26,0
2020-5-18,30,0
2020-5-19,28,0
2020-5-20,28,0
2020-5-21,27,0
2020-5-22,19,0
2020-5-23,19,0
2020-5-24,23,0
2020-5-25,15,0
2020-5-26,19,0
2020-5-27,24,0
2020-5-28,30,0
2020-5-29,31,0
2020-5-30,30,0
2020-5-31,29,0
2020-6-1,25,0
2020-6-2,34,0
2020-6-3,30,0
2020-6-4,28,0
2020-6-5,29,0
2020-6-6,21,0
2020-6-7,30,0
2020-6-8,23,0
2020-6-9,21,0
2020-6-10,20,0
2020-6-11,28,0
2020-6-12,20,0
2020-6-13,24,0
2020-6-14,22,0
2020-6-15,23,0
2020-6-16,24,0
2020-6-17,28,0
2020-6-18,23,0
2020-6-19,28,0
2020-6-20,28,0
2020-6-21,31,0
2020-6-22,41,0
2020-6-23,39,0
2020-6-24,34,0
2020-6-25,45,0
2020-6-26,48,0
2020-6-27,42,0
2020-6-28,48,0
2020-6-29,50,0
2020-6-30,60,0
2020-7-1,75,0
2020-7-2,69,0
2020-7-3,64,0
2020-7-4,67,0
2020-7-5,71,0
2020-7-6,85,0
2020-7-7,105,0
2020-7-8,118,0
2020-7-9,120,0
2020-7-10,124,0
2020-7-11,122,0
2020-7-12,140,0
2020-7-13,153,0
2020-7-14,153,0
2020-7-15,153,0
2020-7-16,153,0
2020-7-17,153,0
2020-7-18,224,0
2020-7-19,224,0
2020-7-20,224,0
2020-7-21,188,0
2020-7-22,188,0
2020-7-23,188,0
2020-7-24,204,0
2020-7-25,204,0
2020-7-26,204,0
2020-7-27,204,0
2020-7-28,209,0
2020-7-29,209,0
2020-7-30,236,0
2020-7-31,236,0
2020-8-1,239,0
2020-8-2,239,0
2020-8-3,239,0
2020-8-4,106,0
2020-8-5,195,0
2020-8-6,242,0
2020-8-7,242,0
2020-8-8,201,0
2020-8-9,201,0
2020-8-10,201,0
2020-8-11,189,0
2020-8-12,189,0
2020-8-13,216,0
2020-8-14,216,0
2020-8-15,206,0
2020-8-16,206,0
2020-8-17,206,0
2020-8-18,167,0
2020-8-19,167,0
2020-8-20,205,0
2020-8-21,205,0
2020-8-22,192,0
2020-8-23,192,0
2020-8-24,192,0
2020-8-25,160,0
2020-8-26,160,0
2020-8-27,176,0
2020-8-28,176,0
2020-8-29,181,0
2020-8-30,181,0
2020-8-31,181,0
2020-9-1,162,0
2020-9-2,162,0
2020-9-3,171,0
2020-9-4,171,0
2020-9-5,151,0
2020-9-6,151,0
2020-9-7,151,0
2020-9-8,114,0
2020-9-9,114,0
2020-9-10,158,0
2020-9-11,158,0
2020-9-12,165,0
2020-9-13,165,0
2020-9-14,165,0
2020-9-15,105,0
2020-9-16,105,0
2020-9-17,123,0
2020-9-18,123,0
2020-9-19,146,0
2020-9-20,146,0
2020-9-21,146,0
2020-9-22,130,0
2020-9-23,130,0
2020-9-24,147,0
2020-9-25,147,0
2020-9-26,135,0
2020-9-27,135,0
2020-9-28,135,0
2020-9-29,135,0
2020-9-30,137,0
2020-10-1,135,0
2020-10-2,135,0
2020-10-3,152,0
2020-10-4,152,0
2020-10-5,152,0
2020-10-6,151,0
2020-10-7,151,0
2020-10-8,191,0
2020-10-9,191,0
2020-10-10,192,0
2020-10-11,192,0
2020-10-12,192,0
2020-10-13,187,0
2020-10-14,187,0
2020-10-15,219,0
2020-10-16,219,0
2020-10-17,221,0
2020-10-18,221,0
2020-10-19,221,0
2020-10-20,187,0
2020-10-21,187,0
2020-10-22,193,0
2020-10-23,193,0
2020-10-24,259,0
2020-10-25,259,0
2020-10-26,272,0
2020-10-27,272,0
2020-10-28,272,0
2020-10-29,286,0
2020-10-30,286,0
2020-10-31,263,0
2020-11-1,263,0
2020-11-2,263,0
2020-11-3,155,0
2020-11-4,155,0
2020-11-5,296,0
2020-11-6,296,0
2020-11-7,320,0
2020-11-8,320,0
2020-11-9,320,0
2020-11-10,288,0
2020-11-11,288,0
2020-11-12,361,0
2020-11-13,395,0
2020-11-14,395,0
2020-11-15,395,0
2020-11-16,395,0
2020-11-17,376,0
2020-11-18,376,0
2020-11-19,389,0
2020-11-20,389,0
2020-11-21,404,0
2020-11-22,442,0
2020-11-23,442,0
2020-11-24,408,0
2020-11-25,408,0
2020-11-26,453,0
2020-11-27,453,0
2020-11-28,470,0
2020-11-29,470,0
2020-11-30,470,0
2020-12-1,446,0
2020-12-2,446,0
2020-12-3,466,0
2020-12-4,466,0
2020-12-5,477,0
2020-12-6,477,0
2020-12-7,477,0
2020-12-8,360,0
2020-12-9,455,0
2020-12-10,455,0
2020-12-11,455,0
2020-12-12,458,0
2020-12-13,458,0
2020-12-14,444,0
2020-12-15,444,0
2020-12-16,444,0
2020-12-17,470,0
2020-12-18,467,0
2020-12-19,467,0
2020-12-20,467,0
2020-12-21,467,0
2020-12-22,345,0
2020-12-23,345,0
2020-12-24,433,0
2020-12-25,433,0
2020-12-26,433,0
2020-12-27,393,0
2020-12-28,393,0
2020-12-29,280,0
2020-12-30,280,0
2020-12-31,375,0
2021-1-1,375,0
2021-1-2,375,0
2021-1-3,352,0
2021-1-4,352,0
2021-1-5,254,0
2021-1-6,254,0
2021-1-7,366,0
2021-1-8,366,0
2021-1-9,375,0
2021-1-10,375,0
2021-1-11,375,0
2021-1-12,283,0
2021-1-13,283,0
2021-1-14,338,0
2021-1-15,338,0
2021-1-16,345,0
2021-1-17,345,0
2021-1-18,345,0
2021-1-19,345,0
2021-1-20,266,0
2021-1-21,286,0
2021-1-22,286,0
2021-1-23,252,0
2021-1-24,252,0
2021-1-25,252,0
2021-1-26,169,0
2021-1-27,241,0
2021-1-28,241,0
2021-1-29,241,0
2021-1-30,225,0
2021-1-31,225,0
2021-2-1,225,0
2021-2-2,157,0
2021-2-3,157,0
2021-2-4,203,0
2021-2-5,203,0
2021-2-6,199,0
2021-2-7,207,0
2021-2-8,207,0
2021-2-9,178,0
2021-2-10,178,0
2021-2-11,176,0
2021-2-12,176,0
2021-2-13,180,0
2021-2-14,180,0
2021-2-15,180,0
2021-2-16,180,0
2021-2-17,177,0
2021-2-18,164,0
2021-2-19,164,0
2021-2-20,142,0
2021-2-21,142,0
2021-2-22,142,0
2021-2-23,110,0
2021-2-24,110,0
2021-2-25,143,0
2021-2-26,143,0
2021-2-27,162,0
2021-2-28,162,0
2021-3-1,162,0
2021-3-2,121,0
2021-3-3,121,0
2021-3-4,139,0
2021-3-5,139,0
2021-3-6,150,0
2021-3-7,150,0
