Date,ILDATA.HospitalizedCurrently,ILDATA.OnVentilatorCurrently
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,3680,821
2020-4-8,3680,821
2020-4-9,3680,821
2020-4-10,3680,821
2020-4-11,3680,821
2020-4-12,3680,821
2020-4-13,3680,821
2020-4-14,4283,796
2020-4-15,4283,796
2020-4-16,4423,797
2020-4-17,4454,777
2020-4-18,4340,740
2020-4-19,4314,749
2020-4-20,4599,757
2020-4-21,4776,781
2020-4-22,4665,747
2020-4-23,4877,766
2020-4-24,4828,709
2020-4-25,4699,763
2020-4-26,4595,772
2020-4-27,4672,763
2020-4-28,4738,778
2020-4-29,5036,777
2020-4-30,4953,785
2020-5-1,4900,777
2020-5-2,4717,789
2020-5-3,4701,759
2020-5-4,4493,763
2020-5-5,4780,780
2020-5-6,4832,780
2020-5-7,4862,766
2020-5-8,4750,727
2020-5-9,4739,739
2020-5-10,4293,709
2020-5-11,4319,730
2020-5-12,4626,730
2020-5-13,4563,714
2020-5-14,4473,689
2020-5-15,4367,675
2020-5-16,4306,653
2020-5-17,4190,735
2020-5-18,4120,636
2020-5-19,4002,576
2020-5-20,3914,554
2020-5-21,4107,609
2020-5-22,3928,589
2020-5-23,3753,607
2020-5-24,3667,632
2020-5-25,3762,605
2020-5-26,3788,590
