Date,INDATA.Death,INDATA.DeathConfirmed
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,507
2020-4-7,0,507
2020-4-8,0,507
2020-4-9,0,507
2020-4-10,0,497
2020-4-11,0,497
2020-4-12,0,497
2020-4-13,0,459
2020-4-14,0,435
2020-4-15,0,422
2020-4-16,0,426
2020-4-17,0,417
2020-4-18,0,360
2020-4-19,0,342
2020-4-20,0,353
2020-4-21,0,368
2020-4-22,0,334
2020-4-23,0,333
2020-4-24,0,325
2020-4-25,1515,324
2020-4-26,1446,310
2020-4-27,1493,284
2020-4-28,1518,275
2020-4-29,1484,262
2020-4-30,1466,275
2020-5-1,1431,257
2020-5-2,1456,244
2020-5-3,1398,242
2020-5-4,1449,249
2020-5-5,1537,272
2020-5-6,1558,281
2020-5-7,1457,228
2020-5-8,1379,219
2020-5-9,1361,213
2020-5-10,1328,205
2020-5-11,1346,213
2020-5-12,1283,212
2020-5-13,1336,217
2020-5-14,1381,217
2020-5-15,1294,213
2020-5-16,1274,199
2020-5-17,1246,205
2020-5-18,1244,212
2020-5-19,1268,206
2020-5-20,1288,197
2020-5-21,1166,175
2020-5-22,1203,173
2020-5-23,1138,173
2020-5-24,1112,173
2020-5-25,1102,169
2020-5-26,1088,163
2020-5-27,1122,182
2020-5-28,1131,178
2020-5-29,1149,161
2020-5-30,1149,161
2020-5-31,1050,143
2020-6-1,1041,148
2020-6-2,961,140
2020-6-3,1017,138
2020-6-4,979,144
2020-6-5,924,147
2020-6-6,926,133
2020-6-7,913,133
2020-6-8,902,130
2020-6-9,853,113
2020-6-10,894,113
2020-6-11,887,118
2020-6-12,906,116
2020-6-13,871,118
2020-6-14,869,113
2020-6-15,882,123
2020-6-16,860,121
2020-6-17,789,105
2020-6-18,754,103
2020-6-19,773,111
2020-6-20,768,113
2020-6-21,744,124
2020-6-22,756,108
2020-6-23,736,110
2020-6-24,701,89
2020-6-25,723,91
2020-6-26,692,94
2020-6-27,595,82
2020-6-28,617,86
2020-6-29,626,85
2020-6-30,695,97
2020-7-1,668,103
2020-7-2,644,89
2020-7-3,633,81
2020-7-4,632,87
2020-7-5,632,87
2020-7-6,613,88
2020-7-7,655,76
2020-7-8,667,87
2020-7-9,686,89
2020-7-10,667,87
2020-7-11,714,72
2020-7-12,702,68
2020-7-13,764,71
2020-7-14,767,73
2020-7-15,881,79
2020-7-16,827,86
2020-7-17,815,80
2020-7-18,798,84
2020-7-19,786,81
2020-7-20,805,85
2020-7-21,803,82
2020-7-22,869,85
2020-7-23,869,85
2020-7-24,850,69
2020-7-25,824,63
2020-7-26,834,62
2020-7-27,835,66
2020-7-28,907,69
2020-7-29,837,69
2020-7-30,831,69
2020-7-31,865,81
2020-8-1,977,81
2020-8-2,873,77
2020-8-3,904,81
2020-8-4,980,83
2020-8-5,923,93
2020-8-6,1009,82
2020-8-7,990,76
2020-8-8,960,85
2020-8-9,960,78
2020-8-10,921,81
2020-8-11,964,87
2020-8-12,936,84
2020-8-13,991,86
2020-8-14,910,80
2020-8-15,922,88
2020-8-16,944,92
2020-8-17,900,95
2020-8-18,849,94
2020-8-19,842,88
2020-8-20,921,78
2020-8-21,860,81
2020-8-22,883,76
2020-8-23,894,70
2020-8-24,912,75
2020-8-25,987,77
2020-8-26,948,75
2020-8-27,882,71
2020-8-28,867,67
2020-8-29,880,72
2020-8-30,883,79
2020-8-31,881,79
2020-9-1,848,74
2020-9-2,887,69
2020-9-3,856,79
2020-9-4,865,78
2020-9-5,771,77
2020-9-6,751,70
2020-9-7,771,63
2020-9-8,839,65
2020-9-9,763,70
2020-9-10,833,68
2020-9-11,809,68
2020-9-12,807,70
2020-9-13,731,72
2020-9-14,844,74
2020-9-15,809,68
2020-9-16,788,68
2020-9-17,778,72
2020-9-18,804,76
2020-9-19,762,74
2020-9-20,754,72
2020-9-21,766,72
2020-9-22,759,79
2020-9-23,815,78
2020-9-24,840,83
