Date,KYDATA.HospitalizedCurrently,KYDATA.OnVentilatorCurrently
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,271,0
2020-4-11,271,0
2020-4-12,271,0
2020-4-13,289,0
2020-4-14,299,0
2020-4-15,305,0
2020-4-16,412,0
2020-4-17,477,0
2020-4-18,360,0
2020-4-19,274,0
2020-4-20,274,0
2020-4-21,263,0
2020-4-22,286,0
2020-4-23,301,0
2020-4-24,302,0
2020-4-25,303,0
2020-4-26,301,0
2020-4-27,308,0
2020-4-28,313,0
2020-4-29,320,0
2020-4-30,325,0
2020-5-1,330,0
2020-5-2,334,0
2020-5-3,334,0
2020-5-4,329,0
2020-5-5,333,0
2020-5-6,347,0
2020-5-7,351,0
2020-5-8,356,0
2020-5-9,369,0
2020-5-10,394,0
2020-5-11,394,0
2020-5-12,383,0
2020-5-13,379,0
2020-5-14,377,0
2020-5-15,385,0
2020-5-16,381,0
2020-5-17,381,0
2020-5-18,381,0
2020-5-19,447,0
2020-5-20,443,0
2020-5-21,474,0
2020-5-22,475,0
2020-5-23,477,0
2020-5-24,484,0
2020-5-25,484,0
2020-5-26,484,0
2020-5-27,489,0
2020-5-28,512,0
2020-5-29,494,0
2020-5-30,499,0
2020-5-31,480,0
2020-6-1,457,0
2020-6-2,481,0
2020-6-3,488,0
2020-6-4,518,0
2020-6-5,505,0
2020-6-6,495,0
2020-6-7,495,0
2020-6-8,486,0
2020-6-9,525,0
