Date,LADATA.Death,LADATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,271,0
2020-3-25,491,163
2020-3-26,676,239
2020-3-27,773,270
2020-3-28,927,336
2020-3-29,1127,380
2020-3-30,1185,385
2020-3-31,1355,438
2020-4-1,1498,490
2020-4-2,1639,507
2020-4-3,1707,535
2020-4-4,1726,571
2020-4-5,1803,561
2020-4-6,1981,552
2020-4-7,1996,519
2020-4-8,1983,490
2020-4-9,2014,473
2020-4-10,2054,479
2020-4-11,2067,470
2020-4-12,2084,458
2020-4-13,2134,461
2020-4-14,1977,436
2020-4-15,1943,425
2020-4-16,1914,396
2020-4-17,1868,363
2020-4-18,1761,347
2020-4-19,1748,349
2020-4-20,1794,332
2020-4-21,1798,297
2020-4-22,1747,287
2020-4-23,1727,274
2020-4-24,1697,286
2020-4-25,1700,268
2020-4-26,1701,265
2020-4-27,1683,262
2020-4-28,1666,244
2020-4-29,1629,244
2020-4-30,1601,231
2020-5-1,1607,230
2020-5-2,1545,208
2020-5-3,1530,213
2020-5-4,1502,220
2020-5-5,1512,194
2020-5-6,1465,187
2020-5-7,1432,189
2020-5-8,1359,185
2020-5-9,1333,165
2020-5-10,1324,161
2020-5-11,1310,157
2020-5-12,1320,146
2020-5-13,1194,147
2020-5-14,1193,140
2020-5-15,1091,132
2020-5-16,1028,123
2020-5-17,1019,111
2020-5-18,1031,118
2020-5-19,1004,112
2020-5-20,931,110
2020-5-21,884,107
2020-5-22,867,104
2020-5-23,836,112
2020-5-24,813,102
2020-5-25,847,102
2020-5-26,831,103
2020-5-27,798,100
2020-5-28,761,100
2020-5-29,714,90
2020-5-30,674,84
2020-5-31,678,84
2020-6-1,661,86
2020-6-2,639,83
2020-6-3,617,86
2020-6-4,613,82
2020-6-5,604,75
2020-6-6,582,77
2020-6-7,575,74
2020-6-8,582,71
2020-6-9,568,67
2020-6-10,549,72
2020-6-11,553,77
2020-6-12,549,74
2020-6-13,542,76
2020-6-14,556,76
2020-6-15,568,76
2020-6-16,588,77
2020-6-17,585,83
2020-6-18,585,83
2020-6-19,561,75
2020-6-20,574,73
2020-6-21,589,69
2020-6-22,630,77
2020-6-23,646,83
2020-6-24,631,77
2020-6-25,653,77
2020-6-26,700,73
2020-6-27,700,73
2020-6-28,715,76
2020-6-29,737,79
2020-6-30,781,83
2020-7-1,799,84
2020-7-2,840,91
2020-7-3,852,93
2020-7-4,852,93
2020-7-5,926,105
2020-7-6,964,109
2020-7-7,1025,109
2020-7-8,1022,105
2020-7-9,1042,110
2020-7-10,1117,122
2020-7-11,1182,121
2020-7-12,1243,134
2020-7-13,1308,142
2020-7-14,1362,146
2020-7-15,1369,149
2020-7-16,1401,162
2020-7-17,1413,161
2020-7-18,1413,161
2020-7-19,1469,177
2020-7-20,1508,192
2020-7-21,1527,186
2020-7-22,1581,188
2020-7-23,1585,197
2020-7-24,1600,197
2020-7-25,1600,197
2020-7-26,1557,184
2020-7-27,1600,208
2020-7-28,1583,214
2020-7-29,1544,221
2020-7-30,1524,205
2020-7-31,1546,222
2020-8-1,1546,222
2020-8-2,1534,221
2020-8-3,1496,230
2020-8-4,1487,240
2020-8-5,1471,223
2020-8-6,1457,215
2020-8-7,1406,207
2020-8-8,1406,207
2020-8-9,1383,210
2020-8-10,1382,215
2020-8-11,1335,214
2020-8-12,1320,211
2020-8-13,1281,196
2020-8-14,1243,197
2020-8-15,1243,197
2020-8-16,1196,189
2020-8-17,1226,184
2020-8-18,1204,187
2020-8-19,1160,175
2020-8-20,1087,178
2020-8-21,1051,172
2020-8-22,1051,172
2020-8-23,941,152
2020-8-24,939,152
2020-8-25,930,141
2020-8-26,914,148
2020-8-27,876,145
2020-8-28,900,141
2020-8-29,900,141
2020-8-30,902,143
2020-8-31,881,132
2020-9-1,910,128
2020-9-2,873,132
2020-9-3,851,128
2020-9-4,808,96
2020-9-5,808,96
2020-9-6,790,119
2020-9-7,787,124
2020-9-8,799,131
2020-9-9,782,123
2020-9-10,762,125
2020-9-11,723,117
2020-9-12,723,117
2020-9-13,680,107
2020-9-14,664,105
2020-9-15,667,99
2020-9-16,678,107
2020-9-17,663,106
2020-9-18,647,104
2020-9-19,647,104
2020-9-20,596,100
2020-9-21,587,93
2020-9-22,571,96
2020-9-23,592,94
2020-9-24,575,92
2020-9-25,570,86
2020-9-26,570,86
2020-9-27,557,85
2020-9-28,563,83
2020-9-29,578,80
2020-9-30,553,79
2020-10-1,534,75
2020-10-2,536,74
2020-10-3,536,74
2020-10-4,518,68
2020-10-5,547,71
2020-10-6,567,71
2020-10-7,552,78
2020-10-8,564,79
2020-10-9,582,78
2020-10-10,582,78
2020-10-11,563,71
2020-10-12,577,70
2020-10-13,573,68
2020-10-14,582,64
2020-10-15,566,61
2020-10-16,557,60
2020-10-17,557,60
2020-10-18,550,60
2020-10-19,553,64
2020-10-20,586,62
2020-10-21,608,68
2020-10-22,598,64
2020-10-23,620,65
2020-10-24,620,65
2020-10-25,596,66
2020-10-26,609,71
2020-10-27,600,91
2020-10-28,613,80
2020-10-29,612,79
2020-10-30,612,79
2020-10-31,612,79
2020-11-1,598,70
2020-11-2,596,70
2020-11-3,619,84
2020-11-4,623,77
2020-11-5,636,82
2020-11-6,644,81
2020-11-7,644,81
2020-11-8,622,72
2020-11-9,652,71
2020-11-10,684,66
2020-11-11,684,66
2020-11-12,676,59
2020-11-13,692,62
2020-11-14,692,62
2020-11-15,753,58
2020-11-16,818,81
2020-11-17,874,92
2020-11-18,886,93
2020-11-19,929,88
2020-11-20,972,101
2020-11-21,972,101
2020-11-22,967,105
2020-11-23,1012,114
2020-11-24,1052,113
2020-11-25,1077,116
2020-11-26,1077,116
2020-11-27,1074,125
2020-11-28,1074,125
2020-11-29,1196,125
2020-11-30,1241,125
2020-12-1,1280,128
2020-12-2,1288,134
2020-12-3,1325,142
2020-12-4,1357,154
2020-12-5,1357,154
2020-12-6,1392,162
2020-12-7,1423,161
2020-12-8,1516,165
2020-12-9,1537,177
2020-12-10,1529,180
2020-12-11,1589,167
2020-12-12,1589,167
2020-12-13,1533,162
2020-12-14,1527,147
2020-12-15,1597,152
2020-12-16,1584,167
2020-12-17,1602,169
2020-12-18,1547,179
2020-12-19,1547,179
2020-12-20,1534,169
2020-12-21,1590,174
2020-12-22,1647,181
2020-12-23,1675,196
2020-12-24,1633,199
2020-12-25,1633,199
2020-12-26,1633,199
2020-12-27,1530,191
2020-12-28,1597,201
2020-12-29,1689,218
2020-12-30,1717,210
2020-12-31,1731,202
2021-1-1,1731,202
2021-1-2,1731,202
2021-1-3,1833,204
2021-1-4,1891,207
2021-1-5,1974,205
2021-1-6,1993,207
2021-1-7,2033,219
2021-1-8,2069,220
2021-1-9,2069,220
2021-1-10,1960,225
2021-1-11,1982,232
2021-1-12,2035,244
2021-1-13,2029,235
2021-1-14,1975,245
2021-1-15,2001,242
2021-1-16,2001,242
2021-1-17,1930,237
2021-1-18,1894,239
2021-1-19,1905,249
2021-1-20,1858,243
2021-1-21,1800,233
2021-1-22,1747,216
2021-1-23,1747,216
2021-1-24,1641,215
2021-1-25,1638,219
2021-1-26,1646,217
2021-1-27,1625,203
2021-1-28,1590,206
2021-1-29,1546,198
2021-1-30,1546,198
2021-1-31,1416,199
2021-2-1,1403,187
2021-2-2,1440,189
2021-2-3,1386,180
2021-2-4,1295,162
2021-2-5,1275,167
2021-2-6,1275,167
2021-2-7,1166,143
2021-2-8,1144,149
2021-2-9,1122,151
2021-2-10,1076,151
2021-2-11,1052,151
2021-2-12,1001,151
2021-2-13,1001,151
2021-2-14,875,142
2021-2-15,849,137
2021-2-16,849,137
2021-2-17,849,126
2021-2-18,823,128
2021-2-19,806,129
2021-2-20,806,129
2021-2-21,756,120
