Date,MDDATA.HospitalizedCurrently,MDDATA.OnVentilatorCurrently
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,1433,0
2020-4-22,1432,0
2020-4-23,1405,0
2020-4-24,1425,0
2020-4-25,1408,0
2020-4-26,1463,0
2020-4-27,1513,0
2020-4-28,1528,0
2020-4-29,1610,0
2020-4-30,1711,0
2020-5-1,1668,0
2020-5-2,1657,0
2020-5-3,1635,0
2020-5-4,1649,0
2020-5-5,1693,0
2020-5-6,1707,0
2020-5-7,1683,0
2020-5-8,1674,0
2020-5-9,1665,0
2020-5-10,1640,0
2020-5-11,1544,0
2020-5-12,1563,0
2020-5-13,1550,0
2020-5-14,1538,0
2020-5-15,1496,0
2020-5-16,1500,0
2020-5-17,1460,0
2020-5-18,1447,0
2020-5-19,1421,0
2020-5-20,1410,0
2020-5-21,1374,0
2020-5-22,1329,0
2020-5-23,1320,0
2020-5-24,1290,0
2020-5-25,1279,0
2020-5-26,1315,0
2020-5-27,1338,0
2020-5-28,1334,0
2020-5-29,1296,0
2020-5-30,1239,0
2020-5-31,1183,0
2020-6-1,1174,0
2020-6-2,1148,0
2020-6-3,1109,0
2020-6-4,1096,0
2020-6-5,1076,0
2020-6-6,1059,0
2020-6-7,1003,0
2020-6-8,979,0
2020-6-9,970,0
2020-6-10,955,0
2020-6-11,902,0
2020-6-12,836,0
2020-6-13,799,0
2020-6-14,751,0
2020-6-15,745,0
2020-6-16,742,0
2020-6-17,702,0
2020-6-18,660,0
2020-6-19,648,0
2020-6-20,644,0
2020-6-21,608,0
2020-6-22,602,0
2020-6-23,561,0
2020-6-24,544,0
2020-6-25,511,0
2020-6-26,487,0
2020-6-27,478,0
2020-6-28,446,0
2020-6-29,447,0
2020-6-30,452,0
2020-7-1,461,0
2020-7-2,441,0
2020-7-3,422,0
2020-7-4,410,0
2020-7-5,409,0
2020-7-6,403,0
2020-7-7,404,0
2020-7-8,398,0
2020-7-9,406,0
2020-7-10,385,0
2020-7-11,390,0
2020-7-12,392,0
2020-7-13,386,0
2020-7-14,415,0
2020-7-15,447,0
2020-7-16,436,0
2020-7-17,434,0
2020-7-18,448,0
2020-7-19,449,0
2020-7-20,463,0
2020-7-21,484,0
2020-7-22,505,0
2020-7-23,528,0
2020-7-24,533,0
2020-7-25,545,0
2020-7-26,540,0
2020-7-27,536,0
2020-7-28,544,0
2020-7-29,571,0
2020-7-30,585,0
2020-7-31,590,0
2020-8-1,592,0
2020-8-2,553,0
2020-8-3,548,0
2020-8-4,547,0
2020-8-5,555,0
2020-8-6,535,0
2020-8-7,528,0
2020-8-8,515,0
2020-8-9,525,0
2020-8-10,534,0
2020-8-11,529,0
2020-8-12,488,0
2020-8-13,470,0
2020-8-14,457,0
2020-8-15,460,0
2020-8-16,475,0
2020-8-17,435,0
2020-8-18,453,0
2020-8-19,475,0
2020-8-20,455,0
2020-8-21,455,0
2020-8-22,441,0
2020-8-23,407,0
2020-8-24,407,0
2020-8-25,411,0
2020-8-26,432,0
2020-8-27,412,0
2020-8-28,412,0
2020-8-29,387,0
2020-8-30,358,0
2020-8-31,377,0
2020-9-1,385,0
2020-9-2,370,0
2020-9-3,382,0
2020-9-4,395,0
2020-9-5,353,0
2020-9-6,341,0
2020-9-7,362,0
2020-9-8,365,0
2020-9-9,370,0
2020-9-10,358,0
2020-9-11,369,0
2020-9-12,361,0
2020-9-13,351,0
2020-9-14,347,0
2020-9-15,371,0
2020-9-16,347,0
2020-9-17,353,0
2020-9-18,347,0
2020-9-19,324,0
2020-9-20,281,0
2020-9-21,290,0
2020-9-22,309,0
2020-9-23,332,0
2020-9-24,349,0
2020-9-25,344,0
2020-9-26,347,0
2020-9-27,328,0
2020-9-28,315,0
2020-9-29,344,0
2020-9-30,334,0
2020-10-1,331,0
2020-10-2,323,0
2020-10-3,323,0
2020-10-4,320,0
2020-10-5,338,0
2020-10-6,360,0
2020-10-7,391,0
2020-10-8,403,0
2020-10-9,391,0
2020-10-10,383,0
2020-10-11,393,0
2020-10-12,384,0
2020-10-13,402,0
2020-10-14,417,0
2020-10-15,412,0
2020-10-16,416,0
2020-10-17,422,0
2020-10-18,433,0
2020-10-19,434,0
2020-10-20,464,0
2020-10-21,463,0
2020-10-22,458,0
2020-10-23,458,0
2020-10-24,455,0
2020-10-25,446,0
2020-10-26,456,0
2020-10-27,471,0
2020-10-28,501,0
2020-10-29,502,0
2020-10-30,513,0
2020-10-31,520,0
2020-11-1,523,0
2020-11-2,529,0
2020-11-3,562,0
2020-11-4,595,0
2020-11-5,588,0
2020-11-6,609,0
2020-11-7,632,0
2020-11-8,655,0
2020-11-9,707,0
2020-11-10,761,0
2020-11-11,805,0
2020-11-12,863,0
2020-11-13,914,0
2020-11-14,921,0
2020-11-15,938,0
2020-11-16,985,0
2020-11-17,1046,0
2020-11-18,1144,0
2020-11-19,1192,0
2020-11-20,1207,0
2020-11-21,1229,0
2020-11-22,1237,0
2020-11-23,1276,0
2020-11-24,1341,0
2020-11-25,1406,0
2020-11-26,1453,0
2020-11-27,1435,0
2020-11-28,1446,0
2020-11-29,1461,0
2020-11-30,1527,0
2020-12-1,1583,0
2020-12-2,1578,0
2020-12-3,1573,0
2020-12-4,1594,0
2020-12-5,1598,0
2020-12-6,1576,0
2020-12-7,1561,0
2020-12-8,1653,0
2020-12-9,1715,0
2020-12-10,1720,0
2020-12-11,1729,0
2020-12-12,1719,0
2020-12-13,1679,0
2020-12-14,1742,0
2020-12-15,1799,0
2020-12-16,1762,0
2020-12-17,1702,0
2020-12-18,1686,0
2020-12-19,1635,0
2020-12-20,1662,0
2020-12-21,1676,0
2020-12-22,1717,0
2020-12-23,1776,0
2020-12-24,1760,0
