Date,MEDATA.Death,MEDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,22,0
2020-4-14,58,9
2020-4-15,48,9
2020-4-16,47,7
2020-4-17,55,8
2020-4-18,49,12
2020-4-19,46,9
2020-4-20,39,9
2020-4-21,40,8
2020-4-22,42,10
2020-4-23,42,11
2020-4-24,39,7
2020-4-25,39,7
2020-4-26,39,7
2020-4-27,39,7
2020-4-28,33,7
2020-4-29,32,7
2020-4-30,35,8
2020-5-1,37,9
2020-5-2,36,10
2020-5-3,33,12
2020-5-4,37,11
2020-5-5,36,12
2020-5-6,37,12
2020-5-7,39,11
2020-5-8,44,10
2020-5-9,43,10
2020-5-10,36,10
2020-5-11,37,9
2020-5-12,34,8
2020-5-13,41,7
2020-5-14,37,7
2020-5-15,35,8
2020-5-16,37,10
2020-5-17,37,11
2020-5-18,42,10
2020-5-19,44,11
2020-5-20,43,12
2020-5-21,41,12
2020-5-22,45,12
2020-5-23,50,11
2020-5-24,59,13
2020-5-25,59,13
2020-5-26,60,13
2020-5-27,59,14
2020-5-28,58,14
2020-5-29,53,12
2020-5-30,46,11
2020-5-31,49,10
2020-6-1,52,10
2020-6-2,48,10
2020-6-3,44,10
2020-6-4,35,7
2020-6-5,35,7
2020-6-6,35,7
2020-6-7,34,7
2020-6-8,37,7
2020-6-9,29,7
2020-6-10,27,5
2020-6-11,29,5
2020-6-12,32,5
2020-6-13,29,4
2020-6-14,29,5
2020-6-15,31,4
2020-6-16,30,6
2020-6-17,27,5
2020-6-18,27,4
2020-6-19,26,5
2020-6-20,29,5
2020-6-21,26,5
2020-6-22,27,6
2020-6-23,24,6
2020-6-24,26,6
2020-6-25,25,7
2020-6-26,28,6
2020-6-27,24,5
2020-6-28,31,4
2020-6-29,31,4
2020-6-30,29,4
2020-7-1,29,3
2020-7-2,30,3
2020-7-3,27,3
2020-7-4,27,3
2020-7-5,25,3
2020-7-6,21,4
2020-7-7,22,4
2020-7-8,22,5
2020-7-9,16,4
2020-7-10,15,4
2020-7-11,16,4
2020-7-12,19,3
2020-7-13,18,3
2020-7-14,17,3
2020-7-15,12,4
2020-7-16,13,4
2020-7-17,12,5
2020-7-18,9,5
2020-7-19,10,7
2020-7-20,12,4
2020-7-21,12,4
2020-7-22,10,4
2020-7-23,12,3
2020-7-24,12,3
2020-7-25,11,2
2020-7-26,14,3
2020-7-27,13,3
2020-7-28,12,2
2020-7-29,11,5
2020-7-30,11,3
2020-7-31,12,2
2020-8-1,10,1
2020-8-2,12,1
2020-8-3,12,1
2020-8-4,12,1
2020-8-5,10,1
2020-8-6,11,1
2020-8-7,10,1
2020-8-8,9,0
2020-8-9,9,1
2020-8-10,8,1
2020-8-11,9,1
2020-8-12,9,1
2020-8-13,11,3
2020-8-14,6,1
2020-8-15,5,1
2020-8-16,9,1
2020-8-17,10,1
2020-8-18,10,1
2020-8-19,9,1
2020-8-20,7,1
2020-8-21,7,1
2020-8-22,4,1
2020-8-23,4,1
2020-8-24,6,1
2020-8-25,8,1
2020-8-26,8,1
2020-8-27,9,1
2020-8-28,10,1
2020-8-29,8,1
2020-8-30,7,1
2020-8-31,6,1
2020-9-1,9,1
2020-9-2,11,1
2020-9-3,9,1
2020-9-4,9,2
2020-9-5,5,2
2020-9-6,6,2
2020-9-7,8,2
2020-9-8,7,2
2020-9-9,9,3
2020-9-10,11,3
2020-9-11,10,5
2020-9-12,10,4
2020-9-13,11,3
2020-9-14,9,3
2020-9-15,10,0
2020-9-16,10,0
2020-9-17,12,0
2020-9-18,11,1
2020-9-19,14,1
2020-9-20,16,1
2020-9-21,17,1
2020-9-22,17,0
2020-9-23,14,0
2020-9-24,14,0
2020-9-25,10,0
2020-9-26,8,0
2020-9-27,11,0
2020-9-28,8,0
2020-9-29,8,1
2020-9-30,13,1
2020-10-1,12,1
2020-10-2,11,1
2020-10-3,11,1
2020-10-4,11,1
2020-10-5,10,1
2020-10-6,7,0
2020-10-7,9,0
2020-10-8,7,0
2020-10-9,7,0
2020-10-10,7,0
2020-10-11,7,0
2020-10-12,7,0
2020-10-13,8,0
2020-10-14,8,0
2020-10-15,11,1
2020-10-16,11,1
2020-10-17,11,1
2020-10-18,11,1
2020-10-19,8,0
2020-10-20,9,0
2020-10-21,7,0
2020-10-22,7,0
2020-10-23,8,0
2020-10-24,8,0
2020-10-25,8,0
2020-10-26,13,0
2020-10-27,12,0
2020-10-28,16,0
2020-10-29,15,2
2020-10-30,17,1
2020-10-31,17,1
2020-11-1,17,1
2020-11-2,29,1
2020-11-3,31,1
2020-11-4,36,2
2020-11-5,38,2
2020-11-6,37,3
2020-11-7,42,4
2020-11-8,48,7
2020-11-9,49,5
2020-11-10,49,5
2020-11-11,49,5
2020-11-12,62,6
2020-11-13,66,6
2020-11-14,67,7
2020-11-15,67,7
2020-11-16,69,7
2020-11-17,73,8
2020-11-18,85,10
2020-11-19,88,12
2020-11-20,90,12
2020-11-21,86,11
2020-11-22,94,11
2020-11-23,103,11
2020-11-24,105,9
2020-11-25,105,11
2020-11-26,105,11
2020-11-27,119,15
2020-11-28,125,18
2020-11-29,125,18
2020-11-30,139,22
2020-12-1,139,22
2020-12-2,138,15
2020-12-3,138,15
2020-12-4,164,17
2020-12-5,164,17
2020-12-6,164,17
2020-12-7,170,17
2020-12-8,170,17
2020-12-9,173,15
2020-12-10,172,16
2020-12-11,182,16
2020-12-12,182,16
2020-12-13,175,15
2020-12-14,198,17
2020-12-15,195,19
2020-12-16,187,18
2020-12-17,191,17
2020-12-18,191,17
2020-12-19,191,17
2020-12-20,162,18
2020-12-21,170,18
2020-12-22,185,19
2020-12-23,187,19
2020-12-24,187,19
2020-12-25,187,19
2020-12-26,183,16
2020-12-27,183,16
2020-12-28,181,14
2020-12-29,181,14
2020-12-30,177,19
2020-12-31,177,19
2021-1-1,182,18
2021-1-2,188,19
2021-1-3,180,20
2021-1-4,180,20
2021-1-5,191,21
2021-1-6,191,21
2021-1-7,202,25
2021-1-8,205,26
2021-1-9,205,26
2021-1-10,191,24
2021-1-11,190,21
2021-1-12,203,27
2021-1-13,207,23
2021-1-14,193,23
2021-1-15,193,24
2021-1-16,194,22
2021-1-17,205,26
2021-1-18,194,31
2021-1-19,191,27
2021-1-20,198,37
2021-1-21,182,21
2021-1-22,190,19
2021-1-23,185,19
2021-1-24,189,20
2021-1-25,193,20
2021-1-26,194,25
2021-1-27,183,30
2021-1-28,171,31
2021-1-29,176,31
2021-1-30,161,27
2021-1-31,160,29
2021-2-1,164,28
2021-2-2,157,24
2021-2-3,158,23
2021-2-4,145,22
2021-2-5,131,22
2021-2-6,132,21
2021-2-7,123,17
2021-2-8,123,13
2021-2-9,117,13
2021-2-10,112,13
2021-2-11,100,11
2021-2-12,102,9
2021-2-13,100,9
2021-2-14,101,10
2021-2-15,94,10
2021-2-16,92,11
2021-2-17,91,9
2021-2-18,89,9
2021-2-19,87,7
2021-2-20,75,6
2021-2-21,75,6
2021-2-22,72,6
2021-2-23,67,7
2021-2-24,74,7
2021-2-25,67,8
2021-2-26,68,9
2021-2-27,74,8
2021-2-28,72,8
2021-3-1,62,8
2021-3-2,69,8
2021-3-3,67,8
2021-3-4,69,8
2021-3-5,74,10
2021-3-6,74,9
2021-3-7,67,8
