Date,MIDATA.Death,MIDATA.DeathConfirmed
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,3826,1434
2020-4-10,3823,1394
2020-4-11,3636,1441
2020-4-12,3636,1441
2020-4-13,3986,1365
2020-4-14,3910,1235
2020-4-15,3918,1212
2020-4-16,3809,1211
2020-4-17,3674,1167
2020-4-18,3634,1203
2020-4-19,3403,1115
2020-4-20,3374,1102
2020-4-21,3357,1107
2020-4-22,3305,1065
2020-4-23,3611,1027
2020-4-24,3022,965
2020-4-25,2889,934
2020-4-26,2757,871
2020-4-27,2667,832
2020-4-28,2623,801
2020-4-29,2498,778
2020-4-30,2319,760
2020-5-1,2319,760
2020-5-2,2100,713
2020-5-3,2100,713
2020-5-4,1948,670
2020-5-5,1948,670
2020-5-6,1818,617
2020-5-7,1697,612
2020-5-8,1637,570
2020-5-9,1531,539
2020-5-10,1437,536
2020-5-11,1424,557
2020-5-12,1384,525
2020-5-13,1384,525
2020-5-14,1330,515
2020-5-15,1256,440
2020-5-16,1256,440
2020-5-17,1114,434
2020-5-18,1075,418
2020-5-19,1079,351
2020-5-20,1066,332
2020-5-21,1054,361
2020-5-22,955,348
2020-5-23,953,319
2020-5-24,953,319
2020-5-25,953,319
2020-5-26,953,319
2020-5-27,882,272
2020-5-28,860,251
2020-5-29,774,250
2020-5-30,774,250
2020-5-31,774,250
2020-6-1,674,240
2020-6-2,674,240
2020-6-3,646,224
2020-6-4,617,205
2020-6-5,617,205
2020-6-6,864,191
2020-6-7,864,191
2020-6-8,661,191
2020-6-9,661,150
2020-6-10,661,150
2020-6-11,661,150
2020-6-12,636,139
2020-6-13,636,139
2020-6-14,636,139
2020-6-15,562,139
2020-6-16,562,131
2020-6-17,562,131
2020-6-18,557,101
2020-6-19,557,99
2020-6-20,557,99
2020-6-21,557,99
2020-6-22,557,99
2020-6-23,557,99
2020-6-24,557,124
2020-6-25,557,115
2020-6-26,557,106
2020-6-27,557,106
2020-6-28,557,106
2020-6-29,557,106
2020-6-30,471,98
2020-7-1,471,103
2020-7-2,548,103
2020-7-3,548,92
2020-7-4,548,92
2020-7-5,548,92
2020-7-6,505,92
2020-7-7,505,99
2020-7-8,505,93
2020-7-9,505,93
2020-7-10,505,92
2020-7-11,505,99
2020-7-12,505,99
2020-7-13,543,113
2020-7-14,543,109
2020-7-15,543,107
2020-7-16,680,107
2020-7-17,680,88
2020-7-18,680,102
2020-7-19,680,102
2020-7-20,680,102
2020-7-21,680,130
2020-7-22,680,120
2020-7-23,680,120
2020-7-24,751,113
2020-7-25,751,113
2020-7-26,680,113
2020-7-27,670,113
2020-7-28,670,135
2020-7-29,670,135
2020-7-30,727,153
2020-7-31,727,144
2020-8-1,727,144
2020-8-2,727,144
2020-8-3,694,132
2020-8-4,694,132
2020-8-5,694,132
2020-8-6,694,132
2020-8-7,694,132
2020-8-8,694,132
2020-8-9,694,132
2020-8-10,640,132
2020-8-11,640,85
2020-8-12,640,84
2020-8-13,713,90
2020-8-14,713,87
2020-8-15,713,87
2020-8-16,713,87
2020-8-17,653,89
2020-8-18,653,89
2020-8-19,653,82
2020-8-20,646,81
2020-8-21,646,95
2020-8-22,646,95
2020-8-23,646,95
2020-8-24,637,86
2020-8-25,637,86
2020-8-26,637,93
2020-8-27,669,85
2020-8-28,669,93
2020-8-29,669,93
2020-8-30,669,93
2020-8-31,629,90
2020-9-1,629,83
2020-9-2,629,78
2020-9-3,616,75
2020-9-4,616,75
2020-9-5,616,71
2020-9-6,616,71
2020-9-7,616,71
2020-9-8,616,76
