Date,MNDATA.Death,MNDATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,26,0
2020-3-26,31,0
2020-3-27,34,0
2020-3-28,30,0
2020-3-29,39,0
2020-3-30,56,0
2020-3-31,56,0
2020-4-1,54,0
2020-4-2,75,0
2020-4-3,86,0
2020-4-4,95,0
2020-4-5,106,0
2020-4-6,115,0
2020-4-7,120,0
2020-4-8,135,0
2020-4-9,145,0
2020-4-10,143,0
2020-4-11,145,0
2020-4-12,157,0
2020-4-13,157,0
2020-4-14,177,0
2020-4-15,197,0
2020-4-16,213,0
2020-4-17,223,0
2020-4-18,239,0
2020-4-19,228,0
2020-4-20,237,0
2020-4-21,237,0
2020-4-22,240,0
2020-4-23,268,0
2020-4-24,278,0
2020-4-25,288,0
2020-4-26,285,0
2020-4-27,292,0
2020-4-28,314,0
2020-4-29,320,0
2020-4-30,365,0
2020-5-1,369,0
2020-5-2,389,0
2020-5-3,373,0
2020-5-4,396,0
2020-5-5,434,0
2020-5-6,443,0
2020-5-7,435,0
2020-5-8,473,0
2020-5-9,476,0
2020-5-10,434,0
2020-5-11,452,0
2020-5-12,496,0
2020-5-13,494,0
2020-5-14,498,0
2020-5-15,498,0
2020-5-16,493,0
2020-5-17,487,0
2020-5-18,488,0
2020-5-19,545,0
2020-5-20,550,0
2020-5-21,566,0
2020-5-22,534,0
2020-5-23,568,0
2020-5-24,553,0
2020-5-25,605,0
2020-5-26,570,0
2020-5-27,598,0
2020-5-28,606,0
2020-5-29,592,0
2020-5-30,589,0
2020-5-31,555,0
2020-6-1,549,0
2020-6-2,537,0
2020-6-3,537,0
2020-6-4,512,0
2020-6-5,478,0
2020-6-6,473,0
2020-6-7,450,0
2020-6-8,452,0
2020-6-9,455,0
2020-6-10,427,0
