Date,MSDATA.HospitalizedCurrently,MSDATA.OnVentilatorCurrently
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,84
2020-4-14,0,99
2020-4-15,0,99
2020-4-16,0,99
2020-4-17,0,99
2020-4-18,0,99
2020-4-19,0,79
2020-4-20,548,89
2020-4-21,548,89
2020-4-22,628,86
2020-4-23,595,78
2020-4-24,586,74
2020-4-25,649,78
2020-4-26,644,67
2020-4-27,590,71
2020-4-28,639,77
2020-4-29,677,69
2020-4-30,639,72
2020-5-1,651,75
2020-5-2,632,71
2020-5-3,667,73
2020-5-4,646,78
2020-5-5,645,77
2020-5-6,618,79
2020-5-7,650,71
2020-5-8,632,58
2020-5-9,607,76
2020-5-10,645,78
2020-5-11,507,68
2020-5-12,604,75
2020-5-13,604,79
2020-5-14,589,72
2020-5-15,573,81
2020-5-16,641,81
2020-5-17,608,81
2020-5-18,559,75
2020-5-19,611,87
2020-5-20,644,89
2020-5-21,638,92
2020-5-22,557,85
2020-5-23,590,93
2020-5-24,512,73
2020-5-25,566,94
2020-5-26,561,81
2020-5-27,547,73
2020-5-28,594,78
2020-5-29,584,77
2020-5-30,593,92
2020-5-31,570,108
2020-6-1,584,97
2020-6-2,584,97
2020-6-3,602,96
2020-6-4,633,97
2020-6-5,604,84
2020-6-6,604,84
2020-6-7,585,69
2020-6-8,598,83
2020-6-9,598,83
2020-6-10,655,99
2020-6-11,655,99
2020-6-12,710,94
2020-6-13,684,103
2020-6-14,667,99
2020-6-15,661,100
2020-6-16,668,98
2020-6-17,668,100
2020-6-18,668,100
2020-6-19,661,108
2020-6-20,465,108
2020-6-21,689,98
2020-6-22,710,95
2020-6-23,664,88
2020-6-24,767,91
2020-6-25,755,94
2020-6-26,769,90
2020-6-27,731,90
2020-6-28,676,88
2020-6-29,719,93
2020-6-30,779,91
2020-7-1,786,85
2020-7-2,863,94
2020-7-3,863,94
2020-7-4,872,88
2020-7-5,872,88
2020-7-6,825,98
2020-7-7,885,95
2020-7-8,883,101
2020-7-9,941,104
2020-7-10,981,103
2020-7-11,963,107
2020-7-12,963,107
2020-7-13,1020,110
2020-7-14,1059,126
2020-7-15,1099,132
2020-7-16,1117,125
2020-7-17,1076,129
2020-7-18,1076,129
2020-7-19,1129,132
2020-7-20,1119,143
2020-7-21,1154,140
2020-7-22,1165,138
2020-7-23,1207,140
2020-7-24,1216,163
2020-7-25,1172,159
2020-7-26,1172,159
2020-7-27,1179,166
2020-7-28,1184,169
2020-7-29,1211,178
2020-7-30,1245,177
2020-7-31,1229,176
2020-8-1,1172,172
2020-8-2,1172,172
2020-8-3,1172,172
2020-8-4,1164,173
2020-8-5,1179,192
2020-8-6,1184,193
2020-8-7,1136,191
2020-8-8,1151,198
2020-8-9,1151,198
2020-8-10,1074,196
2020-8-11,1114,192
2020-8-12,1148,195
2020-8-13,1136,195
2020-8-14,1107,179
2020-8-15,1126,176
2020-8-16,1126,176
2020-8-17,1081,168
2020-8-18,1090,163
2020-8-19,1073,160
2020-8-20,1025,176
2020-8-21,997,152
2020-8-22,982,148
2020-8-23,982,148
2020-8-24,903,127
2020-8-25,920,124
2020-8-26,878,119
2020-8-27,827,125
2020-8-28,825,108
2020-8-29,819,111
2020-8-30,819,111
2020-8-31,802,121
2020-9-1,798,117
2020-9-2,856,111
2020-9-3,812,110
2020-9-4,789,115
2020-9-5,758,111
2020-9-6,758,111
2020-9-7,758,111
2020-9-8,758,111
2020-9-9,683,111
2020-9-10,668,101
2020-9-11,545,0
2020-9-12,542,0
2020-9-13,542,0
2020-9-14,513,0
2020-9-15,667,88
2020-9-16,632,98
2020-9-17,622,95
2020-9-18,630,87
2020-9-19,630,87
2020-9-20,630,87
2020-9-21,621,77
2020-9-22,642,74
2020-9-23,620,74
2020-9-24,631,84
2020-9-25,609,73
2020-9-26,601,68
2020-9-27,601,68
2020-9-28,601,68
2020-9-29,564,67
2020-9-30,556,71
2020-10-1,531,68
2020-10-2,531,68
2020-10-3,515,69
2020-10-4,515,69
2020-10-5,554,64
2020-10-6,554,64
2020-10-7,571,62
2020-10-8,606,66
2020-10-9,627,64
2020-10-10,600,59
2020-10-11,600,59
2020-10-12,600,59
2020-10-13,600,69
2020-10-14,633,72
2020-10-15,598,69
2020-10-16,596,75
2020-10-17,609,69
2020-10-18,609,69
2020-10-19,653,70
2020-10-20,664,73
2020-10-21,711,73
2020-10-22,695,68
2020-10-23,701,70
2020-10-24,683,65
2020-10-25,683,65
2020-10-26,679,66
2020-10-27,678,63
2020-10-28,666,62
2020-10-29,699,68
2020-10-30,712,72
2020-10-31,673,76
2020-11-1,673,76
2020-11-2,657,75
2020-11-3,672,73
2020-11-4,689,73
2020-11-5,640,76
2020-11-6,695,82
2020-11-7,710,74
2020-11-8,716,87
2020-11-9,718,76
2020-11-10,737,83
2020-11-11,756,78
2020-11-12,774,86
2020-11-13,767,92
2020-11-14,778,96
2020-11-15,756,96
2020-11-16,807,96
2020-11-17,868,93
2020-11-18,948,96
2020-11-19,926,103
2020-11-20,965,99
2020-11-21,999,106
2020-11-22,999,106
2020-11-23,1014,102
2020-11-24,1041,107
2020-11-25,1039,113
2020-11-26,1039,113
2020-11-27,1039,113
2020-11-28,1058,130
2020-11-29,1058,130
2020-11-30,1115,135
2020-12-1,1158,142
2020-12-2,1135,138
2020-12-3,1160,137
2020-12-4,1188,156
2020-12-5,1157,165
2020-12-6,1157,165
2020-12-7,1188,170
2020-12-8,1222,168
2020-12-9,1241,159
2020-12-10,1286,170
2020-12-11,1267,177
2020-12-12,1264,178
2020-12-13,1264,178
2020-12-14,1255,186
2020-12-15,1319,187
2020-12-16,1316,193
2020-12-17,1293,193
2020-12-18,1318,190
2020-12-19,1319,188
2020-12-20,1319,188
2020-12-21,1307,189
2020-12-22,1340,192
2020-12-23,1377,195
2020-12-24,1377,195
2020-12-25,1377,195
2020-12-26,1377,195
2020-12-27,1377,195
2020-12-28,1325,193
2020-12-29,1409,201
2020-12-30,1463,208
2020-12-31,1463,208
2021-1-1,1456,219
2021-1-2,1456,219
2021-1-3,1456,219
2021-1-4,1432,205
2021-1-5,1518,223
2021-1-6,1495,222
2021-1-7,1495,222
2021-1-8,1480,229
2021-1-9,1460,219
2021-1-10,1460,219
2021-1-11,1424,221
2021-1-12,1466,222
2021-1-13,1446,228
2021-1-14,1453,219
2021-1-15,1407,212
2021-1-16,1336,207
2021-1-17,1336,207
2021-1-18,1249,193
2021-1-19,1280,192
2021-1-20,1231,180
2021-1-21,1212,192
2021-1-22,1128,181
2021-1-23,1102,174
2021-1-24,1102,174
2021-1-25,1028,163
2021-1-26,1023,163
2021-1-27,1063,162
2021-1-28,1059,157
2021-1-29,999,149
2021-1-30,953,155
2021-1-31,953,155
2021-2-1,948,152
2021-2-2,941,152
2021-2-3,930,148
2021-2-4,897,138
2021-2-5,858,128
2021-2-6,842,120
2021-2-7,842,120
2021-2-8,842,120
2021-2-9,743,127
2021-2-10,743,127
2021-2-11,690,119
2021-2-12,659,112
2021-2-13,648,108
2021-2-14,648,108
2021-2-15,599,96
2021-2-16,602,97
2021-2-17,587,91
2021-2-18,565,89
2021-2-19,560,87
2021-2-20,563,89
2021-2-21,563,89
2021-2-22,560,92
2021-2-23,571,93
2021-2-24,554,90
2021-2-25,534,76
2021-2-26,522,70
2021-2-27,492,69
