Date,NCDATA.HospitalizedCurrently,NCDATA.OnVentilatorCurrently
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,29,0
2020-3-26,29,0
2020-3-27,77,0
2020-3-28,87,0
2020-3-29,91,0
2020-3-30,137,0
2020-3-31,157,0
2020-4-1,204,0
2020-4-2,184,0
2020-4-3,184,0
2020-4-4,271,0
2020-4-5,261,0
2020-4-6,270,0
2020-4-7,354,0
2020-4-8,386,0
2020-4-9,398,0
2020-4-10,423,0
2020-4-11,362,0
2020-4-12,331,0
2020-4-13,313,0
2020-4-14,418,0
2020-4-15,431,0
2020-4-16,452,0
2020-4-17,429,0
2020-4-18,388,0
2020-4-19,465,0
2020-4-20,373,0
2020-4-21,427,0
2020-4-22,434,0
2020-4-23,486,0
2020-4-24,477,0
2020-4-25,456,0
2020-4-26,451,0
2020-4-27,473,0
2020-4-28,463,0
2020-4-29,551,0
2020-4-30,546,0
2020-5-1,547,0
2020-5-2,502,0
2020-5-3,475,0
2020-5-4,498,0
2020-5-5,534,0
2020-5-6,516,0
2020-5-7,525,0
2020-5-8,515,0
2020-5-9,513,0
2020-5-10,442,0
2020-5-11,464,0
2020-5-12,475,0
2020-5-13,521,0
2020-5-14,507,0
2020-5-15,492,0
2020-5-16,481,0
2020-5-17,493,0
2020-5-18,511,0
2020-5-19,585,0
2020-5-20,554,0
2020-5-21,578,0
2020-5-22,568,0
2020-5-23,589,0
2020-5-24,587,0
2020-5-25,627,0
2020-5-26,621,0
2020-5-27,702,0
2020-5-28,708,0
2020-5-29,680,0
2020-5-30,638,0
2020-5-31,649,0
