Date,NDDATA.HospitalizedCurrently,NDDATA.OnVentilatorCurrently
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,20,0
2020-4-6,19,0
2020-4-7,18,0
2020-4-8,16,0
2020-4-9,14,0
2020-4-10,13,0
2020-4-11,10,0
2020-4-12,12,0
2020-4-13,13,0
2020-4-14,13,0
2020-4-15,13,0
2020-4-16,14,0
2020-4-17,16,0
2020-4-18,13,0
2020-4-19,15,0
2020-4-20,17,0
2020-4-21,17,0
2020-4-22,23,0
2020-4-23,18,0
2020-4-24,17,0
2020-4-25,17,0
2020-4-26,18,0
2020-4-27,23,0
2020-4-28,25,0
2020-4-29,28,0
2020-4-30,30,0
2020-5-1,27,0
2020-5-2,32,0
2020-5-3,31,0
2020-5-4,31,0
2020-5-5,31,0
2020-5-6,32,0
2020-5-7,35,0
2020-5-8,33,0
2020-5-9,34,0
2020-5-10,29,0
2020-5-11,34,0
2020-5-12,38,0
2020-5-13,37,0
2020-5-14,38,0
2020-5-15,35,0
2020-5-16,33,0
2020-5-17,30,0
2020-5-18,32,0
2020-5-19,32,0
2020-5-20,38,0
2020-5-21,39,0
2020-5-22,39,0
2020-5-23,39,0
2020-5-24,40,0
2020-5-25,41,0
2020-5-26,40,0
2020-5-27,40,0
2020-5-28,35,0
2020-5-29,36,0
2020-5-30,34,0
2020-5-31,36,0
2020-6-1,35,0
2020-6-2,34,0
2020-6-3,34,0
2020-6-4,32,0
2020-6-5,30,0
2020-6-6,29,0
2020-6-7,28,0
2020-6-8,29,0
2020-6-9,32,0
2020-6-10,33,0
2020-6-11,32,0
2020-6-12,35,0
2020-6-13,35,0
2020-6-14,35,0
2020-6-15,31,0
2020-6-16,26,0
2020-6-17,25,0
2020-6-18,26,0
2020-6-19,26,0
2020-6-20,28,0
2020-6-21,31,0
2020-6-22,31,0
2020-6-23,28,0
2020-6-24,27,0
2020-6-25,25,0
2020-6-26,23,0
2020-6-27,23,0
2020-6-28,24,0
2020-6-29,25,0
2020-6-30,25,0
2020-7-1,20,0
2020-7-2,19,0
2020-7-3,20,0
2020-7-4,22,0
2020-7-5,22,0
2020-7-6,22,0
2020-7-7,24,0
2020-7-8,26,0
2020-7-9,30,0
2020-7-10,33,0
2020-7-11,31,0
2020-7-12,38,0
2020-7-13,43,0
2020-7-14,42,0
2020-7-15,42,0
2020-7-16,38,0
2020-7-17,36,0
2020-7-18,38,0
2020-7-19,45,0
2020-7-20,47,0
2020-7-21,46,0
2020-7-22,52,0
2020-7-23,57,0
2020-7-24,37,0
2020-7-25,39,0
2020-7-26,42,0
2020-7-27,43,0
2020-7-28,35,0
2020-7-29,39,0
2020-7-30,43,0
2020-7-31,47,0
2020-8-1,45,0
2020-8-2,45,0
2020-8-3,46,0
2020-8-4,51,0
2020-8-5,42,0
2020-8-6,46,0
2020-8-7,48,0
2020-8-8,49,0
2020-8-9,47,0
2020-8-10,48,0
2020-8-11,55,0
2020-8-12,58,0
2020-8-13,59,0
2020-8-14,65,0
2020-8-15,55,0
2020-8-16,54,0
2020-8-17,55,0
2020-8-18,47,0
2020-8-19,49,0
2020-8-20,45,0
2020-8-21,54,0
2020-8-22,53,0
2020-8-23,52,0
2020-8-24,51,0
2020-8-25,50,0
2020-8-26,53,0
2020-8-27,61,0
2020-8-28,70,0
2020-8-29,65,0
2020-8-30,68,0
2020-8-31,68,0
2020-9-1,62,0
2020-9-2,66,0
2020-9-3,51,0
2020-9-4,67,0
2020-9-5,67,0
2020-9-6,64,0
2020-9-7,68,0
2020-9-8,63,0
2020-9-9,53,0
2020-9-10,62,0
2020-9-11,64,0
2020-9-12,56,0
2020-9-13,62,0
2020-9-14,65,0
2020-9-15,62,0
2020-9-16,62,0
2020-9-17,69,0
2020-9-18,77,0
2020-9-19,78,0
2020-9-20,81,0
2020-9-21,87,0
2020-9-22,92,0
2020-9-23,89,0
2020-9-24,89,0
2020-9-25,89,0
2020-9-26,104,0
2020-9-27,96,0
2020-9-28,105,0
2020-9-29,105,0
2020-9-30,89,0
2020-10-1,106,0
2020-10-2,111,0
2020-10-3,100,0
2020-10-4,100,0
2020-10-5,112,0
2020-10-6,116,0
2020-10-7,116,0
2020-10-8,214,0
2020-10-9,202,0
2020-10-10,219,0
2020-10-11,231,0
2020-10-12,233,0
2020-10-13,206,0
2020-10-14,206,0
2020-10-15,207,0
2020-10-16,217,0
2020-10-17,217,0
2020-10-18,210,0
2020-10-19,205,0
2020-10-20,209,0
2020-10-21,219,0
2020-10-22,276,0
2020-10-23,282,0
2020-10-24,278,0
2020-10-25,272,0
2020-10-26,256,0
2020-10-27,283,0
2020-10-28,284,0
2020-10-29,287,0
2020-10-30,294,0
2020-10-31,309,0
2020-11-1,278,0
2020-11-2,274,0
2020-11-3,335,0
2020-11-4,352,0
2020-11-5,366,0
2020-11-6,375,0
2020-11-7,374,0
2020-11-8,408,0
2020-11-9,383,0
2020-11-10,383,0
2020-11-11,411,0
2020-11-12,399,0
2020-11-13,421,0
2020-11-14,425,0
2020-11-15,400,0
2020-11-16,400,0
2020-11-17,399,0
2020-11-18,384,0
2020-11-19,387,0
2020-11-20,395,0
2020-11-21,376,0
2020-11-22,379,0
2020-11-23,377,0
2020-11-24,377,0
2020-11-25,321,0
2020-11-26,321,0
2020-11-27,347,0
2020-11-28,345,0
2020-11-29,337,0
2020-11-30,333,0
2020-12-1,320,0
2020-12-2,316,0
2020-12-3,306,0
2020-12-4,324,0
2020-12-5,298,0
2020-12-6,305,0
2020-12-7,304,0
2020-12-8,337,0
2020-12-9,284,0
2020-12-10,302,0
2020-12-11,277,0
2020-12-12,282,0
2020-12-13,270,0
2020-12-14,277,0
2020-12-15,277,0
2020-12-16,160,0
2020-12-17,148,0
2020-12-18,144,0
2020-12-19,154,0
2020-12-20,156,0
2020-12-21,158,0
2020-12-22,135,0
2020-12-23,118,0
2020-12-24,122,0
2020-12-25,122,0
2020-12-26,111,0
2020-12-27,106,0
2020-12-28,108,0
2020-12-29,115,0
2020-12-30,96,0
2020-12-31,94,0
2021-1-1,94,0
2021-1-2,92,0
2021-1-3,98,0
2021-1-4,98,0
2021-1-5,93,0
2021-1-6,85,0
2021-1-7,83,0
2021-1-8,85,0
2021-1-9,76,0
2021-1-10,72,0
2021-1-11,74,0
2021-1-12,70,0
2021-1-13,72,0
2021-1-14,78,0
2021-1-15,88,0
2021-1-16,95,0
2021-1-17,85,0
2021-1-18,91,0
2021-1-19,88,0
2021-1-20,55,0
2021-1-21,54,0
2021-1-22,53,0
2021-1-23,50,0
2021-1-24,49,0
2021-1-25,50,0
2021-1-26,48,0
2021-1-27,49,0
2021-1-28,49,0
2021-1-29,51,0
2021-1-30,48,0
2021-1-31,50,0
2021-2-1,47,0
2021-2-2,45,0
2021-2-3,42,0
2021-2-4,37,0
2021-2-5,33,0
2021-2-6,36,0
2021-2-7,39,0
2021-2-8,40,0
2021-2-9,37,0
2021-2-10,34,0
2021-2-11,39,0
2021-2-12,39,0
2021-2-13,36,0
2021-2-14,38,0
2021-2-15,42,0
2021-2-16,46,0
2021-2-17,43,0
2021-2-18,31,0
2021-2-19,36,0
2021-2-20,39,0
2021-2-21,40,0
2021-2-22,38,0
2021-2-23,31,0
2021-2-24,28,0
2021-2-25,25,0
2021-2-26,21,0
2021-2-27,21,0
2021-2-28,21,0
2021-3-1,25,0
2021-3-2,24,0
2021-3-3,20,0
2021-3-4,22,0
2021-3-5,22,0
2021-3-6,21,0
2021-3-7,23,0
