Date,NHDATA.HospitalizedCurrently,NHDATA.OnVentilatorCurrently
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,72,0
2020-4-15,70,0
2020-4-16,70,0
2020-4-17,74,0
2020-4-18,86,0
2020-4-19,85,0
2020-4-20,79,0
2020-4-21,78,0
2020-4-22,94,0
2020-4-23,91,0
2020-4-24,92,0
2020-4-25,89,0
2020-4-26,95,0
2020-4-27,101,0
2020-4-28,99,0
2020-4-29,106,0
2020-4-30,107,0
2020-5-1,112,0
2020-5-2,103,0
2020-5-3,103,0
2020-5-4,103,0
2020-5-5,111,0
2020-5-6,115,0
2020-5-7,113,0
2020-5-8,113,0
2020-5-9,112,0
2020-5-10,107,0
2020-5-11,113,0
2020-5-12,117,0
2020-5-13,121,0
2020-5-14,126,0
2020-5-15,115,0
2020-5-16,110,0
2020-5-17,115,0
2020-5-18,114,0
2020-5-19,109,0
2020-5-20,105,0
2020-5-21,103,0
2020-5-22,97,0
2020-5-23,93,0
2020-5-24,93,0
2020-5-25,92,0
2020-5-26,91,0
2020-5-27,91,0
2020-5-28,105,0
2020-5-29,110,0
2020-5-30,105,0
2020-5-31,107,0
