Date,NJDATA.HospitalizedCurrently,NJDATA.OnVentilatorCurrently
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,1080,0
2020-3-27,2000,0
2020-3-28,2000,0
2020-3-29,2000,0
2020-3-30,2000,0
2020-3-31,2000,0
2020-4-1,2000,0
2020-4-2,2000,0
2020-4-3,3016,0
2020-4-4,4000,0
2020-4-5,4000,0
2020-4-6,6390,1263
2020-4-7,7017,1540
2020-4-8,7026,1576
2020-4-9,7363,1551
2020-4-10,7570,1663
2020-4-11,7618,1650
2020-4-12,7604,1644
2020-4-13,7781,1611
2020-4-14,8185,1626
2020-4-15,8270,1705
2020-4-16,8224,1645
2020-4-17,8011,1594
2020-4-18,7718,1641
2020-4-19,7494,1628
2020-4-20,6986,1594
2020-4-21,7594,1501
2020-4-22,7210,1570
2020-4-23,7240,1462
2020-4-24,6847,1487
2020-4-25,6722,1442
2020-4-26,6573,1418
2020-4-27,6407,1303
2020-4-28,6476,1262
2020-4-29,6289,1327
2020-4-30,6137,1271
2020-5-1,5972,1286
2020-5-2,5713,1230
2020-5-3,5317,1198
2020-5-4,5287,1189
2020-5-5,5328,1169
2020-5-6,5221,1146
2020-5-7,4996,1107
2020-5-8,4605,1089
2020-5-9,4628,1054
2020-5-10,4308,994
2020-5-11,4195,970
2020-5-12,4328,982
2020-5-13,4226,928
2020-5-14,3958,898
2020-5-15,3823,865
2020-5-16,3564,846
2020-5-17,3411,819
2020-5-18,3509,819
2020-5-19,3481,789
2020-5-20,3405,750
2020-5-21,3208,700
2020-5-22,3049,674
2020-5-23,2974,611
2020-5-24,2857,639
2020-5-25,2755,540
2020-5-26,2723,578
2020-5-27,2761,583
2020-5-28,2797,564
2020-5-29,2707,544
2020-5-30,2626,499
2020-5-31,2497,378
2020-6-1,2466,459
2020-6-2,2370,480
2020-6-3,2250,459
2020-6-4,1982,459
2020-6-5,1933,410
2020-6-6,1933,410
2020-6-7,1882,385
2020-6-8,1740,361
2020-6-9,1736,373
2020-6-10,1701,342
2020-6-11,1512,319
2020-6-12,1480,300
2020-6-13,1395,279
2020-6-14,1391,285
2020-6-15,1342,267
2020-6-16,1291,245
2020-6-17,1352,254
2020-6-18,1258,257
2020-6-19,1177,231
2020-6-20,1125,238
2020-6-21,1105,219
2020-6-22,1033,213
2020-6-23,1092,216
2020-6-24,1196,214
2020-6-25,1182,210
2020-6-26,1118,206
2020-6-27,1103,200
2020-6-28,1014,187
2020-6-29,978,185
2020-6-30,992,174
2020-7-1,1080,178
2020-7-2,1027,170
2020-7-3,1028,167
2020-7-4,983,164
2020-7-5,917,151
2020-7-6,861,152
2020-7-7,903,142
2020-7-8,935,142
2020-7-9,963,104
2020-7-10,904,94
2020-7-11,872,87
2020-7-12,890,86
2020-7-13,892,81
2020-7-14,888,79
2020-7-15,923,78
2020-7-16,862,64
2020-7-17,868,66
2020-7-18,800,73
2020-7-19,766,65
2020-7-20,798,72
2020-7-21,833,79
2020-7-22,873,77
2020-7-23,869,73
2020-7-24,800,62
2020-7-25,831,56
2020-7-26,725,54
2020-7-27,695,54
2020-7-28,718,50
2020-7-29,761,49
2020-7-30,759,51
2020-7-31,695,45
2020-8-1,695,45
2020-8-2,695,45
2020-8-3,738,49
2020-8-4,470,53
2020-8-5,784,47
2020-8-6,754,54
2020-8-7,551,73
2020-8-8,540,34
2020-8-9,483,31
2020-8-10,545,29
