Date,NMDATA.HospitalizedCurrently,NMDATA.OnVentilatorCurrently
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,17,0
2020-3-28,19,0
2020-3-29,22,0
2020-3-30,22,0
2020-3-31,24,0
2020-4-1,31,0
2020-4-2,31,0
2020-4-3,41,18
2020-4-4,37,18
2020-4-5,45,18
2020-4-6,48,18
2020-4-7,51,18
2020-4-8,59,18
2020-4-9,73,18
2020-4-10,75,18
2020-4-11,78,18
2020-4-12,80,0
2020-4-13,87,0
2020-4-14,87,0
2020-4-15,90,0
2020-4-16,90,0
2020-4-17,96,0
2020-4-18,92,0
2020-4-19,103,0
2020-4-20,116,0
2020-4-21,119,0
2020-4-22,121,0
2020-4-23,123,0
2020-4-24,152,0
2020-4-25,152,0
2020-4-26,148,0
2020-4-27,155,0
2020-4-28,157,0
2020-4-29,163,0
2020-4-30,172,0
2020-5-1,159,0
2020-5-2,168,0
2020-5-3,164,0
2020-5-4,181,0
2020-5-5,178,0
2020-5-6,193,0
2020-5-7,197,0
2020-5-8,201,0
2020-5-9,198,0
2020-5-10,194,0
2020-5-11,207,0
2020-5-12,199,0
2020-5-13,200,0
2020-5-14,209,0
2020-5-15,223,0
2020-5-16,208,0
2020-5-17,211,0
2020-5-18,213,0
2020-5-19,204,0
2020-5-20,206,0
2020-5-21,205,0
2020-5-22,206,0
2020-5-23,208,0
2020-5-24,213,0
2020-5-25,216,0
2020-5-26,211,0
2020-5-27,210,0
2020-5-28,196,0
2020-5-29,193,0
2020-5-30,189,0
2020-5-31,182,0
2020-6-1,191,0
2020-6-2,182,0
2020-6-3,170,0
2020-6-4,170,0
2020-6-5,175,0
2020-6-6,176,0
2020-6-7,177,0
2020-6-8,183,0
2020-6-9,193,0
2020-6-10,197,0
2020-6-11,183,0
2020-6-12,179,0
2020-6-13,172,0
2020-6-14,162,0
2020-6-15,161,0
2020-6-16,156,0
2020-6-17,161,0
2020-6-18,157,0
2020-6-19,147,0
2020-6-20,145,0
2020-6-21,134,0
2020-6-22,139,0
2020-6-23,141,0
2020-6-24,149,0
2020-6-25,135,0
2020-6-26,128,0
2020-6-27,122,0
2020-6-28,114,0
2020-6-29,119,0
2020-6-30,127,0
2020-7-1,127,0
2020-7-2,127,0
2020-7-3,130,0
2020-7-4,121,0
2020-7-5,119,0
2020-7-6,129,0
2020-7-7,133,0
2020-7-8,154,0
2020-7-9,154,0
2020-7-10,151,0
2020-7-11,158,0
2020-7-12,170,0
2020-7-13,172,0
2020-7-14,171,0
2020-7-15,174,0
2020-7-16,170,0
2020-7-17,166,0
2020-7-18,160,0
2020-7-19,161,0
2020-7-20,154,0
2020-7-21,154,0
2020-7-22,178,0
2020-7-23,167,0
2020-7-24,161,0
2020-7-25,148,0
2020-7-26,144,0
2020-7-27,159,0
2020-7-28,160,0
2020-7-29,158,0
2020-7-30,156,0
2020-7-31,152,0
2020-8-1,134,0
2020-8-2,127,0
2020-8-3,131,0
2020-8-4,133,0
2020-8-5,138,0
2020-8-6,138,0
2020-8-7,132,0
2020-8-8,127,0
2020-8-9,121,0
2020-8-10,127,0
2020-8-11,134,0
2020-8-12,119,0
2020-8-13,128,0
2020-8-14,125,0
2020-8-15,113,0
2020-8-16,109,0
2020-8-17,119,0
2020-8-18,111,0
2020-8-19,94,0
2020-8-20,74,0
2020-8-21,65,0
2020-8-22,68,0
2020-8-23,64,0
2020-8-24,68,0
2020-8-25,64,0
2020-8-26,71,0
2020-8-27,68,0
2020-8-28,72,0
2020-8-29,67,0
2020-8-30,66,0
2020-8-31,65,0
2020-9-1,72,0
2020-9-2,71,0
2020-9-3,75,0
2020-9-4,69,0
2020-9-5,68,0
2020-9-6,65,0
2020-9-7,65,0
2020-9-8,68,0
2020-9-9,77,0
2020-9-10,80,0
2020-9-11,73,0
2020-9-12,67,0
2020-9-13,59,0
2020-9-14,60,0
2020-9-15,59,0
2020-9-16,59,0
2020-9-17,69,0
2020-9-18,72,0
2020-9-19,68,0
2020-9-20,64,0
2020-9-21,71,0
2020-9-22,69,0
2020-9-23,72,0
2020-9-24,66,0
2020-9-25,75,0
2020-9-26,72,0
2020-9-27,66,0
2020-9-28,76,0
2020-9-29,80,0
2020-9-30,85,0
2020-10-1,86,0
2020-10-2,89,0
2020-10-3,95,0
2020-10-4,91,0
2020-10-5,97,0
2020-10-6,110,0
2020-10-7,109,0
2020-10-8,119,0
2020-10-9,133,0
2020-10-10,130,0
2020-10-11,120,0
2020-10-12,127,0
2020-10-13,125,0
2020-10-14,145,0
2020-10-15,150,0
2020-10-16,168,0
2020-10-17,173,0
2020-10-18,171,0
2020-10-19,183,0
2020-10-20,205,0
2020-10-21,202,0
2020-10-22,213,0
2020-10-23,229,0
2020-10-24,264,0
2020-10-25,287,0
2020-10-26,289,0
2020-10-27,307,0
2020-10-28,313,0
2020-10-29,323,0
2020-10-30,334,0
2020-10-31,354,0
2020-11-1,365,0
2020-11-2,382,0
2020-11-3,401,0
2020-11-4,393,0
2020-11-5,400,0
2020-11-6,402,0
2020-11-7,441,0
2020-11-8,437,0
2020-11-9,423,0
2020-11-10,425,0
2020-11-11,481,0
2020-11-12,471,0
2020-11-13,455,0
2020-11-14,480,0
2020-11-15,506,0
2020-11-16,738,0
2020-11-17,754,0
2020-11-18,776,0
2020-11-19,774,0
2020-11-20,808,0
2020-11-21,825,0
2020-11-22,845,0
2020-11-23,846,0
2020-11-24,871,0
2020-11-25,897,0
2020-11-26,880,0
2020-11-27,874,0
2020-11-28,854,0
2020-11-29,919,0
2020-11-30,876,0
2020-12-1,909,0
2020-12-2,940,0
2020-12-3,947,0
2020-12-4,934,0
2020-12-5,925,0
2020-12-6,919,0
2020-12-7,935,0
2020-12-8,925,0
2020-12-9,917,0
2020-12-10,916,0
2020-12-11,932,0
2020-12-12,907,0
2020-12-13,878,0
2020-12-14,860,0
2020-12-15,865,0
2020-12-16,838,0
2020-12-17,852,0
2020-12-18,889,0
2020-12-19,891,0
2020-12-20,820,0
2020-12-21,796,0
2020-12-22,810,0
2020-12-23,809,0
2020-12-24,811,0
2020-12-25,774,0
2020-12-26,749,0
2020-12-27,758,0
2020-12-28,788,0
2020-12-29,806,0
2020-12-30,792,0
2020-12-31,803,0
2021-1-1,791,0
