Date,NVDATA.Death,NVDATA.DeathConfirmed
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,282,0
2020-4-8,282,0
2020-4-9,282,0
2020-4-10,282,0
2020-4-11,282,0
2020-4-12,282,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,444,65
2020-5-11,482,60
2020-5-12,522,64
2020-5-13,522,64
2020-5-14,515,75
2020-5-15,425,73
2020-5-16,423,65
2020-5-17,423,65
2020-5-18,423,65
2020-5-19,405,54
2020-5-20,437,60
2020-5-21,410,52
2020-5-22,404,51
2020-5-23,402,53
2020-5-24,373,51
2020-5-25,380,45
2020-5-26,390,46
2020-5-27,435,48
2020-5-28,439,55
2020-5-29,371,42
2020-5-30,371,42
2020-5-31,336,41
2020-6-1,361,40
2020-6-2,365,39
2020-6-3,372,47
2020-6-4,364,47
2020-6-5,341,47
2020-6-6,348,44
2020-6-7,348,44
2020-6-8,339,44
2020-6-9,350,41
2020-6-10,359,38
2020-6-11,337,35
2020-6-12,328,36
2020-6-13,351,43
2020-6-14,332,69
2020-6-15,346,40
2020-6-16,349,48
2020-6-17,360,45
2020-6-18,357,55
2020-6-19,370,49
2020-6-20,370,49
2020-6-21,370,49
2020-6-22,373,46
2020-6-23,389,50
2020-6-24,439,53
2020-6-25,467,57
2020-6-26,471,59
2020-6-27,503,66
2020-6-28,511,59
2020-6-29,555,65
2020-6-30,593,65
2020-7-1,630,74
2020-7-2,662,78
2020-7-3,704,87
2020-7-4,749,97
2020-7-5,760,99
2020-7-6,748,114
2020-7-7,849,112
2020-7-8,876,109
2020-7-9,935,112
2020-7-10,924,111
2020-7-11,918,122
2020-7-12,895,114
2020-7-13,953,107
2020-7-14,983,121
2020-7-15,1051,124
2020-7-16,1051,124
2020-7-17,1000,134
2020-7-18,1006,150
2020-7-19,1045,149
2020-7-20,1086,156
2020-7-21,1095,143
2020-7-22,1102,154
2020-7-23,1136,156
2020-7-24,1160,165
2020-7-25,1147,180
2020-7-26,1147,180
2020-7-27,1112,184
2020-7-28,1147,191
2020-7-29,1110,190
2020-7-30,1145,187
2020-7-31,1159,191
2020-8-1,1165,193
2020-8-2,1165,193
2020-8-3,1152,207
2020-8-4,1146,202
2020-8-5,1148,214
2020-8-6,1117,208
2020-8-7,1035,178
2020-8-8,976,173
2020-8-9,976,173
2020-8-10,1014,172
2020-8-11,971,171
2020-8-12,998,177
2020-8-13,982,174
2020-8-14,948,166
2020-8-15,941,166
2020-8-16,941,166
2020-8-17,869,150
2020-8-18,903,165
2020-8-19,867,160
2020-8-20,874,152
2020-8-21,807,140
2020-8-22,825,138
2020-8-23,825,138
2020-8-24,771,126
2020-8-25,772,122
2020-8-26,761,118
2020-8-27,727,110
2020-8-28,707,108
2020-8-29,675,102
2020-8-30,675,102
2020-8-31,664,106
2020-9-1,643,119
2020-9-2,675,113
2020-9-3,631,117
2020-9-4,611,112
2020-9-5,597,114
2020-9-6,597,114
2020-9-7,597,114
2020-9-8,538,107
2020-9-9,552,110
2020-9-10,519,112
2020-9-11,476,102
2020-9-12,476,102
2020-9-13,476,102
2020-9-14,473,99
2020-9-15,483,98
2020-9-16,488,97
2020-9-17,484,98
2020-9-18,461,85
2020-9-19,443,89
2020-9-20,443,89
2020-9-21,449,81
2020-9-22,441,75
2020-9-23,479,69
2020-9-24,468,67
2020-9-25,460,62
2020-9-26,442,64
2020-9-27,442,64
2020-9-28,451,68
2020-9-29,446,69
2020-9-30,452,70
2020-10-1,449,63
2020-10-2,463,73
2020-10-3,442,68
2020-10-4,442,68
2020-10-5,441,64
2020-10-6,485,69
2020-10-7,495,67
2020-10-8,498,64
2020-10-9,502,63
2020-10-10,519,64
2020-10-11,519,64
2020-10-12,509,56
2020-10-13,505,61
2020-10-14,519,64
2020-10-15,486,63
2020-10-16,469,60
2020-10-17,503,60
2020-10-18,503,60
2020-10-19,485,53
2020-10-20,506,57
2020-10-21,535,47
2020-10-22,520,53
2020-10-23,493,51
2020-10-24,493,51
2020-10-25,493,51
2020-10-26,531,64
2020-10-27,568,58
2020-10-28,565,56
2020-10-29,594,64
2020-10-30,594,56
2020-10-31,585,58
2020-11-1,585,58
2020-11-2,678,64
2020-11-3,695,75
2020-11-4,696,72
2020-11-5,740,75
2020-11-6,770,85
2020-11-7,826,89
2020-11-8,826,89
2020-11-9,891,100
2020-11-10,898,101
2020-11-11,950,107
2020-11-12,941,115
2020-11-13,985,119
2020-11-14,1025,120
2020-11-15,1025,120
2020-11-16,1157,146
2020-11-17,1159,136
2020-11-18,1246,141
2020-11-19,1288,150
2020-11-20,1283,151
2020-11-21,1273,152
2020-11-22,1273,152
2020-11-23,1274,163
2020-11-24,1399,161
2020-11-25,1414,169
2020-11-26,1440,162
2020-11-27,1440,162
2020-11-28,1460,162
2020-11-29,1460,162
2020-11-30,1545,190
2020-12-1,1589,198
2020-12-2,1652,202
2020-12-3,1645,215
2020-12-4,1678,204
2020-12-5,1789,214
2020-12-6,1789,214
2020-12-7,1767,227
2020-12-8,1784,235
2020-12-9,1811,252
2020-12-10,1824,246
2020-12-11,1854,239
2020-12-12,1823,240
2020-12-13,1823,240
2020-12-14,2025,263
2020-12-15,1979,258
2020-12-16,1550,247
2020-12-17,1975,282
2020-12-18,1951,286
2020-12-19,1924,286
2020-12-20,1924,286
2020-12-21,1996,297
2020-12-22,1996,302
2020-12-23,2001,312
2020-12-24,1908,287
2020-12-25,1885,298
2020-12-26,1885,298
