Date,NYDATA.HospitalizedCurrently,NYDATA.OnVentilatorCurrently
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,325,0
2020-3-18,416,0
2020-3-19,617,0
2020-3-20,1042,0
2020-3-21,1436,0
2020-3-22,2043,0
2020-3-23,2629,0
2020-3-24,3343,0
2020-3-25,4079,0
2020-3-26,5327,0
2020-3-27,6481,0
2020-3-28,7328,0
2020-3-29,8503,0
2020-3-30,9517,0
2020-3-31,10929,0
2020-4-1,12226,0
2020-4-2,13383,0
2020-4-3,14810,0
2020-4-4,15905,0
2020-4-5,16479,0
2020-4-6,16837,0
2020-4-7,17493,0
2020-4-8,18079,0
2020-4-9,18279,0
2020-4-10,18569,0
2020-4-11,18654,0
2020-4-12,18707,0
2020-4-13,18825,0
2020-4-14,18697,0
2020-4-15,18335,0
2020-4-16,17735,0
2020-4-17,17316,0
2020-4-18,16967,0
2020-4-19,16213,0
2020-4-20,16103,0
2020-4-21,16135,0
2020-4-22,15599,0
2020-4-23,15021,0
2020-4-24,14258,0
2020-4-25,13524,0
2020-4-26,12839,0
2020-4-27,12819,0
2020-4-28,12646,0
2020-4-29,12159,0
2020-4-30,11598,0
2020-5-1,10993,0
2020-5-2,10350,0
2020-5-3,9786,0
2020-5-4,9647,0
2020-5-5,9600,0
2020-5-6,9179,0
2020-5-7,8665,2425
2020-5-8,8196,2295
2020-5-9,7776,2203
2020-5-10,7262,2073
2020-5-11,7226,2020
2020-5-12,7063,1964
2020-5-13,6946,1908
2020-5-14,6706,1846
2020-5-15,6394,1774
2020-5-16,6220,1674
2020-5-17,5897,1601
2020-5-18,5840,1538
2020-5-19,5818,1481
2020-5-20,5570,1421
2020-5-21,5187,1345
2020-5-22,4844,1254
2020-5-23,4642,1254
2020-5-24,4393,1067
2020-5-25,4348,1058
2020-5-26,4265,1002
2020-5-27,4208,988
2020-5-28,4010,931
2020-5-29,3781,889
2020-5-30,3619,857
2020-5-31,3436,791
2020-6-1,3331,746
2020-6-2,3121,673
2020-6-3,2978,638
2020-6-4,2849,613
2020-6-5,2728,583
2020-6-6,2603,554
2020-6-7,2427,534
2020-6-8,2371,507
2020-6-9,2344,485
2020-6-10,2190,462
2020-6-11,2042,424
2020-6-12,1898,387
2020-6-13,1734,360
2020-6-14,1657,346
2020-6-15,1608,323
2020-6-16,1538,303
2020-6-17,1479,304
2020-6-18,1358,278
2020-6-19,1284,256
2020-6-20,1220,237
2020-6-21,1142,237
2020-6-22,1122,228
2020-6-23,1104,228
2020-6-24,1071,228
2020-6-25,996,167
2020-6-26,951,167
2020-6-27,908,167
2020-6-28,869,167
2020-6-29,853,136
2020-6-30,891,137
2020-7-1,879,139
2020-7-2,878,129
2020-7-3,857,125
2020-7-4,844,119
2020-7-5,832,116
2020-7-6,817,103
2020-7-7,836,103
2020-7-8,841,97
2020-7-9,851,98
2020-7-10,826,92
2020-7-11,799,100
2020-7-12,801,102
2020-7-13,792,103
2020-7-14,820,101
2020-7-15,831,94
2020-7-16,813,88
2020-7-17,765,98
2020-7-18,743,100
2020-7-19,722,96
2020-7-20,716,93
2020-7-21,724,91
2020-7-22,714,96
2020-7-23,706,93
2020-7-24,650,93
2020-7-25,646,94
2020-7-26,637,90
2020-7-27,642,84
2020-7-28,648,81
2020-7-29,619,76
2020-7-30,586,72
2020-7-31,576,70
2020-8-1,581,72
2020-8-2,556,71
2020-8-3,536,62
2020-8-4,568,69
2020-8-5,564,69
2020-8-6,570,69
2020-8-7,579,66
2020-8-8,573,64
2020-8-9,548,66
2020-8-10,535,62
2020-8-11,540,60
2020-8-12,558,62
2020-8-13,555,56
2020-8-14,554,59
2020-8-15,523,58
2020-8-16,527,59
2020-8-17,534,64
2020-8-18,537,60
2020-8-19,548,60
2020-8-20,518,62
2020-8-21,490,58
2020-8-22,483,56
2020-8-23,472,50
2020-8-24,482,54
2020-8-25,488,52
2020-8-26,492,54
2020-8-27,490,52
2020-8-28,478,51
2020-8-29,458,48
2020-8-30,429,47
2020-8-31,418,51
2020-9-1,432,54
2020-9-2,445,61
2020-9-3,430,61
2020-9-4,428,61
2020-9-5,425,61
2020-9-6,410,56
2020-9-7,413,57
2020-9-8,445,52
2020-9-9,463,59
2020-9-10,482,55
2020-9-11,474,54
2020-9-12,467,51
2020-9-13,464,54
2020-9-14,464,59
2020-9-15,481,60
2020-9-16,483,67
2020-9-17,486,68
2020-9-18,478,62
2020-9-19,467,60
2020-9-20,468,60
2020-9-21,468,66
2020-9-22,470,67
2020-9-23,490,68
2020-9-24,500,72
2020-9-25,511,76
2020-9-26,527,75
2020-9-27,541,59
2020-9-28,543,57
2020-9-29,541,61
2020-9-30,605,67
2020-10-1,612,63
2020-10-2,648,63
2020-10-3,647,70
2020-10-4,618,67
2020-10-5,636,70
2020-10-6,705,72
2020-10-7,748,72
2020-10-8,754,67
2020-10-9,779,78
2020-10-10,826,81
2020-10-11,820,84
2020-10-12,878,84
2020-10-13,923,90
2020-10-14,938,100
2020-10-15,897,95
2020-10-16,918,97
2020-10-17,929,103
2020-10-18,913,102
2020-10-19,934,106
2020-10-20,942,99
2020-10-21,950,103
2020-10-22,986,106
2020-10-23,1023,109
2020-10-24,1045,113
2020-10-25,1015,118
2020-10-26,1059,118
2020-10-27,1083,120
2020-10-28,1085,120
2020-10-29,1085,114
2020-10-30,1085,116
2020-10-31,1121,122
2020-11-1,1125,117
2020-11-2,1151,117
2020-11-3,1227,120
2020-11-4,1253,129
2020-11-5,1277,128
2020-11-6,1321,129
2020-11-7,1381,138
2020-11-8,1396,131
2020-11-9,1444,125
2020-11-10,1548,128
2020-11-11,1628,135
2020-11-12,1677,136
2020-11-13,1737,137
2020-11-14,1788,146
2020-11-15,1845,158
2020-11-16,1968,158
2020-11-17,2124,176
2020-11-18,2202,176
2020-11-19,2276,200
2020-11-20,2348,205
2020-11-21,2443,212
2020-11-22,2562,234
2020-11-23,2724,234
2020-11-24,2856,263
2020-11-25,2982,277
2020-11-26,3056,286
2020-11-27,3103,294
2020-11-28,3287,331
2020-11-29,3372,326
2020-11-30,3532,325
2020-12-1,3774,348
2020-12-2,3924,373
2020-12-3,4063,377
2020-12-4,4222,403
2020-12-5,4318,435
2020-12-6,4442,464
2020-12-7,4602,464
2020-12-8,4835,493
2020-12-9,4993,521
2020-12-10,5164,539
2020-12-11,5321,546
2020-12-12,5359,563
2020-12-13,5410,567
2020-12-14,5712,567
2020-12-15,5982,580
2020-12-16,6097,611
2020-12-17,6147,611
2020-12-18,6081,592
2020-12-19,6208,610
2020-12-20,6185,600
2020-12-21,6331,613
2020-12-22,6661,614
2020-12-23,6864,633
2020-12-24,6928,621
2020-12-25,6950,621
2020-12-26,6884,638
2020-12-27,7183,687
2020-12-28,7559,717
2020-12-29,7814,711
2020-12-30,7892,702
2020-12-31,7935,723
2021-1-1,7886,776
2021-1-2,7814,786
2021-1-3,7963,815
2021-1-4,8251,843
2021-1-5,8590,851
2021-1-6,8665,851
2021-1-7,8548,859
2021-1-8,8561,912
2021-1-9,8527,876
2021-1-10,8484,892
2021-1-11,8645,891
2021-1-12,8926,909
2021-1-13,8929,924
2021-1-14,8823,956
2021-1-15,8808,962
2021-1-16,8888,983
2021-1-17,8771,1004
2021-1-18,8868,997
2021-1-19,9236,1049
2021-1-20,9273,1044
2021-1-21,9055,1011
2021-1-22,8846,992
2021-1-23,8802,1023
2021-1-24,8613,997
2021-1-25,8730,1005
2021-1-26,8831,1006
2021-1-27,8771,1027
2021-1-28,8520,1024
2021-1-29,8357,1012
2021-1-30,8176,1017
2021-1-31,7976,1008
2021-2-1,8003,987
2021-2-2,8067,1004
2021-2-3,8082,1003
2021-2-4,7967,986
2021-2-5,7937,1000
2021-2-6,7804,995
2021-2-7,7649,979
2021-2-8,7716,961
2021-2-9,7875,971
2021-2-10,7593,955
2021-2-11,7342,941
2021-2-12,7068,941
2021-2-13,6888,908
2021-2-14,6593,881
2021-2-15,6623,875
2021-2-16,6620,878
2021-2-17,6574,854
2021-2-18,6434,863
2021-2-19,6155,834
2021-2-20,5977,801
2021-2-21,5764,794
2021-2-22,5804,780
2021-2-23,5977,799
2021-2-24,5876,800
2021-2-25,5703,774
2021-2-26,5626,771
2021-2-27,5445,753
2021-2-28,5259,728
2021-3-1,5307,741
2021-3-2,5369,747
2021-3-3,5323,735
2021-3-4,5177,712
2021-3-5,5034,700
2021-3-6,4954,694
2021-3-7,4789,682
