Date,OHDATA.HospitalizedCurrently,OHDATA.OnVentilatorCurrently
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,1003,267
2020-5-3,931,255
2020-5-4,1078,275
2020-5-5,1069,281
2020-5-6,1045,275
2020-5-7,1057,279
2020-5-8,1060,274
2020-5-9,929,222
2020-5-10,962,254
2020-5-11,1011,256
2020-5-12,1032,270
2020-5-13,924,244
2020-5-14,953,253
2020-5-15,944,260
2020-5-16,866,251
2020-5-17,914,230
2020-5-18,912,247
2020-5-19,913,234
2020-5-20,902,248
2020-5-21,892,258
2020-5-22,879,232
2020-5-23,858,223
2020-5-24,864,205
2020-5-25,872,211
2020-5-26,937,232
2020-5-27,885,217
2020-5-28,812,190
2020-5-29,833,222
2020-5-30,806,219
2020-5-31,779,213
2020-6-1,761,223
2020-6-2,697,204
2020-6-3,704,198
2020-6-4,693,181
2020-6-5,671,168
2020-6-6,628,155
2020-6-7,603,167
2020-6-8,644,158
2020-6-9,639,153
2020-6-10,575,159
2020-6-11,563,155
2020-6-12,547,144
2020-6-13,516,152
2020-6-14,511,145
2020-6-15,513,157
2020-6-16,528,151
2020-6-17,541,148
2020-6-18,547,149
2020-6-19,525,133
2020-6-20,482,118
2020-6-21,496,119
2020-6-22,549,124
2020-6-23,570,126
2020-6-24,592,119
2020-6-25,624,121
2020-6-26,624,116
2020-6-27,561,106
2020-6-28,661,101
2020-6-29,669,115
2020-6-30,722,115
2020-7-1,724,116
2020-7-2,724,116
2020-7-3,740,100
2020-7-4,691,111
2020-7-5,693,119
2020-7-6,837,140
2020-7-7,849,140
2020-7-8,890,155
2020-7-9,890,155
2020-7-10,928,151
2020-7-11,928,155
2020-7-12,954,154
2020-7-13,949,159
2020-7-14,1017,156
2020-7-15,1027,146
2020-7-16,1024,150
2020-7-17,1016,161
2020-7-18,1024,159
2020-7-19,1065,163
2020-7-20,1065,165
2020-7-21,1097,168
2020-7-22,1098,169
2020-7-23,1105,178
2020-7-24,1085,169
2020-7-25,1054,167
2020-7-26,1075,177
2020-7-27,1110,164
2020-7-28,1144,176
2020-7-29,1100,179
2020-7-30,1049,184
2020-7-31,1024,185
2020-8-1,1049,188
2020-8-2,1049,187
2020-8-3,1001,199
2020-8-4,1038,197
2020-8-5,1004,189
2020-8-6,979,182
2020-8-7,956,190
2020-8-8,936,185
2020-8-9,952,193
2020-8-10,968,195
2020-8-11,968,172
2020-8-12,984,173
2020-8-13,952,178
2020-8-14,925,170
2020-8-15,899,166
2020-8-16,910,161
2020-8-17,933,175
2020-8-18,934,172
2020-8-19,894,164
2020-8-20,860,169
2020-8-21,849,156
2020-8-22,792,155
2020-8-23,777,150
2020-8-24,802,146
2020-8-25,783,150
2020-8-26,771,144
2020-8-27,787,150
2020-8-28,800,151
2020-8-29,791,143
2020-8-30,769,135
2020-8-31,774,140
2020-9-1,777,127
2020-9-2,746,126
2020-9-3,742,129
2020-9-4,727,134
2020-9-5,717,136
2020-9-6,691,134
2020-9-7,686,135
2020-9-8,687,132
2020-9-9,700,141
2020-9-10,682,137
2020-9-11,650,131
2020-9-12,626,127
2020-9-13,635,126
2020-9-14,671,121
2020-9-15,666,126
2020-9-16,651,133
2020-9-17,638,127
2020-9-18,634,118
2020-9-19,585,115
2020-9-20,563,113
2020-9-21,592,108
2020-9-22,593,115
2020-9-23,593,113
2020-9-24,586,105
2020-9-25,595,98
2020-9-26,625,95
2020-9-27,639,91
2020-9-28,681,101
2020-9-29,672,98
2020-9-30,689,103
2020-10-1,699,100
2020-10-2,663,97
2020-10-3,702,94
2020-10-4,694,102
2020-10-5,657,90
2020-10-6,777,103
2020-10-7,814,107
2020-10-8,863,108
2020-10-9,849,118
2020-10-10,862,111
2020-10-11,887,105
2020-10-12,949,123
2020-10-13,1016,134
2020-10-14,1042,140
2020-10-15,1041,134
2020-10-16,1084,134
2020-10-17,1079,127
2020-10-18,1097,133
2020-10-19,1154,158
2020-10-20,1221,161
2020-10-21,1252,164
2020-10-22,1293,172
2020-10-23,1347,195
2020-10-24,1355,200
2020-10-25,1338,195
2020-10-26,1406,216
2020-10-27,1456,225
2020-10-28,1536,224
2020-10-29,1536,226
2020-10-30,1629,226
2020-10-31,1666,235
2020-11-1,1687,247
2020-11-2,1822,264
2020-11-3,1960,263
2020-11-4,1982,272
2020-11-5,2075,270
2020-11-6,2170,280
2020-11-7,2188,283
2020-11-8,2286,295
2020-11-9,2533,312
2020-11-10,2747,327
2020-11-11,2880,328
2020-11-12,3024,332
2020-11-13,2981,347
2020-11-14,3104,356
2020-11-15,3175,368
2020-11-16,3387,407
2020-11-17,3648,441
2020-11-18,3716,472
2020-11-19,3829,479
2020-11-20,3936,488
2020-11-21,3987,482
2020-11-22,4181,538
2020-11-23,4358,573
2020-11-24,4449,598
2020-11-25,4541,615
2020-11-26,4541,615
2020-11-27,4535,635
2020-11-28,4740,638
2020-11-29,4908,643
2020-11-30,5060,682
2020-12-1,5226,693
2020-12-2,5208,714
2020-12-3,5142,708
2020-12-4,5092,714
2020-12-5,4978,702
2020-12-6,5072,725
2020-12-7,5121,711
2020-12-8,5181,744
2020-12-9,5198,747
2020-12-10,5110,760
2020-12-11,5091,767
2020-12-12,5076,760
2020-12-13,5152,807
2020-12-14,5157,827
2020-12-15,5296,863
2020-12-16,5143,845
2020-12-17,5018,838
2020-12-18,4940,817
2020-12-19,4797,797
2020-12-20,4758,792
2020-12-21,4758,792
2020-12-22,4829,742
