Date,OKDATA.HospitalizedCurrently,OKDATA.OnVentilatorCurrently
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,174,0
2020-4-2,182,0
2020-4-3,171,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,161,0
2020-4-7,186,0
2020-4-8,188,0
2020-4-9,188,0
2020-4-10,186,0
2020-4-11,383,0
2020-4-12,383,0
2020-4-13,383,0
2020-4-14,194,0
2020-4-15,194,0
2020-4-16,236,0
2020-4-17,325,0
2020-4-18,307,0
2020-4-19,307,0
2020-4-20,307,0
2020-4-21,346,0
2020-4-22,298,0
2020-4-23,284,0
2020-4-24,310,0
2020-4-25,306,0
2020-4-26,306,0
2020-4-27,306,0
2020-4-28,288,0
2020-4-29,283,0
2020-4-30,291,0
2020-5-1,255,0
2020-5-2,236,0
2020-5-3,236,0
2020-5-4,236,0
2020-5-5,236,0
2020-5-6,230,0
2020-5-7,223,0
2020-5-8,228,0
2020-5-9,177,0
2020-5-10,177,0
2020-5-11,177,0
2020-5-12,190,0
2020-5-13,218,0
2020-5-14,217,0
2020-5-15,215,0
2020-5-16,180,0
2020-5-17,180,0
2020-5-18,76,0
2020-5-19,167,0
2020-5-20,209,0
2020-5-21,201,0
2020-5-22,190,0
2020-5-23,174,0
2020-5-24,174,0
2020-5-25,0,0
2020-5-26,174,0
2020-5-27,156,0
2020-5-28,181,0
2020-5-29,160,0
2020-5-30,154,0
2020-5-31,154,0
2020-6-1,154,0
2020-6-2,124,0
2020-6-3,136,0
2020-6-4,148,0
2020-6-5,164,0
2020-6-6,158,0
2020-6-7,158,0
2020-6-8,158,0
2020-6-9,148,0
2020-6-10,150,0
2020-6-11,153,0
2020-6-12,154,0
2020-6-13,154,0
2020-6-14,149,0
2020-6-15,149,0
2020-6-16,172,0
2020-6-17,181,0
2020-6-18,197,0
2020-6-19,211,0
2020-6-20,197,0
2020-6-21,197,0
2020-6-22,197,0
2020-6-23,265,0
2020-6-24,268,0
2020-6-25,277,0
2020-6-26,308,0
2020-6-27,329,0
2020-6-28,329,0
2020-6-29,329,0
2020-6-30,315,0
2020-7-1,374,0
2020-7-2,368,0
2020-7-3,391,0
2020-7-4,391,0
2020-7-5,391,0
2020-7-6,391,0
2020-7-7,426,0
2020-7-8,458,0
2020-7-9,453,0
2020-7-10,487,0
2020-7-11,499,0
2020-7-12,499,0
2020-7-13,499,0
2020-7-14,546,0
2020-7-15,561,0
2020-7-16,638,0
2020-7-17,604,0
2020-7-18,547,0
2020-7-19,547,0
2020-7-20,604,0
2020-7-21,613,0
2020-7-22,630,0
2020-7-23,607,0
2020-7-24,628,0
2020-7-25,625,0
2020-7-26,625,0
2020-7-27,625,0
2020-7-28,596,0
2020-7-29,663,0
2020-7-30,647,0
2020-7-31,621,0
2020-8-1,628,0
2020-8-2,628,0
2020-8-3,628,0
2020-8-4,504,0
2020-8-5,645,0
2020-8-6,643,0
2020-8-7,561,0
2020-8-8,594,0
2020-8-9,594,0
2020-8-10,594,0
2020-8-11,530,0
2020-8-12,519,0
2020-8-13,600,0
2020-8-14,567,0
2020-8-15,506,0
2020-8-16,506,0
2020-8-17,506,0
2020-8-18,568,0
2020-8-19,566,0
2020-8-20,564,0
2020-8-21,562,0
2020-8-22,578,0
2020-8-23,578,0
2020-8-24,578,0
2020-8-25,553,0
2020-8-26,533,0
2020-8-27,552,0
2020-8-28,559,0
2020-8-29,570,0
2020-8-30,570,0
2020-8-31,570,0
2020-9-1,535,0
2020-9-2,545,0
2020-9-3,540,0
2020-9-4,518,0
2020-9-5,472,0
2020-9-6,472,0
2020-9-7,472,0
2020-9-8,472,0
2020-9-9,462,0
2020-9-10,513,0
2020-9-11,509,0
2020-9-12,499,0
2020-9-13,499,0
2020-9-14,499,0
2020-9-15,561,0
2020-9-16,528,0
2020-9-17,516,0
2020-9-18,516,0
2020-9-19,522,0
2020-9-20,522,0
2020-9-21,522,0
2020-9-22,628,0
2020-9-23,612,0
2020-9-24,593,0
2020-9-25,590,0
2020-9-26,579,0
2020-9-27,579,0
2020-9-28,579,0
2020-9-29,618,0
2020-9-30,628,0
2020-10-1,610,0
2020-10-2,623,0
2020-10-3,655,0
2020-10-4,655,0
2020-10-5,655,0
2020-10-6,699,0
2020-10-7,738,0
2020-10-8,697,0
2020-10-9,749,0
2020-10-10,758,0
2020-10-11,758,0
2020-10-12,758,0
2020-10-13,760,0
2020-10-14,749,0
2020-10-15,781,0
2020-10-16,793,0
2020-10-17,792,0
2020-10-18,792,0
2020-10-19,792,0
2020-10-20,821,0
2020-10-21,870,0
2020-10-22,910,0
2020-10-23,956,0
2020-10-24,924,0
2020-10-25,924,0
2020-10-26,924,0
2020-10-27,907,0
2020-10-28,885,0
2020-10-29,874,0
2020-10-30,865,0
2020-10-31,852,0
2020-11-1,852,0
2020-11-2,852,0
2020-11-3,974,0
2020-11-4,1026,0
2020-11-5,1055,0
2020-11-6,1025,0
2020-11-7,1045,0
2020-11-8,1045,0
2020-11-9,1045,0
2020-11-10,1102,0
2020-11-11,1248,0
2020-11-12,1248,0
2020-11-13,1279,0
2020-11-14,1247,0
2020-11-15,1247,0
2020-11-16,1247,0
2020-11-17,1381,0
2020-11-18,1434,0
2020-11-19,1381,0
2020-11-20,1428,0
2020-11-21,1505,0
2020-11-22,1505,0
2020-11-23,1505,0
2020-11-24,1566,0
2020-11-25,1604,0
2020-11-26,1653,0
2020-11-27,1653,0
2020-11-28,1653,0
2020-11-29,1653,0
2020-11-30,1653,0
2020-12-1,1718,0
2020-12-2,1782,0
2020-12-3,1734,0
2020-12-4,1687,0
2020-12-5,1721,0
2020-12-6,1721,0
2020-12-7,1721,0
2020-12-8,1698,0
2020-12-9,1745,0
2020-12-10,1709,0
2020-12-11,1730,0
2020-12-12,1664,0
2020-12-13,1664,0
2020-12-14,1664,0
2020-12-15,1741,0
2020-12-16,1717,0
2020-12-17,1699,0
2020-12-18,1733,0
2020-12-19,1704,0
2020-12-20,1704,0
2020-12-21,1704,0
2020-12-22,1759,0
2020-12-23,1728,0
2020-12-24,1836,0
2020-12-25,1729,0
2020-12-26,1729,0
2020-12-27,1729,0
2020-12-28,1729,0
2020-12-29,1927,0
2020-12-30,1916,0
2020-12-31,1924,0
2021-1-1,1910,0
2021-1-2,1910,0
2021-1-3,1910,0
2021-1-4,1910,0
2021-1-5,1909,0
2021-1-6,1994,0
2021-1-7,1987,0
2021-1-8,1961,0
2021-1-9,1926,0
2021-1-10,1926,0
2021-1-11,1926,0
2021-1-12,1902,0
2021-1-13,1856,0
2021-1-14,1844,0
2021-1-15,1847,0
2021-1-16,1866,0
2021-1-17,1866,0
2021-1-18,1866,0
2021-1-19,1866,0
2021-1-20,1776,0
2021-1-21,1722,0
2021-1-22,1634,0
2021-1-23,1595,0
2021-1-24,1595,0
2021-1-25,1595,0
2021-1-26,1454,0
2021-1-27,1322,0
2021-1-28,1250,0
2021-1-29,1247,0
2021-1-30,1184,0
2021-1-31,1184,0
2021-2-1,1184,0
2021-2-2,1123,0
2021-2-3,1048,0
2021-2-4,1008,0
2021-2-5,951,0
2021-2-6,917,0
2021-2-7,917,0
2021-2-8,917,0
2021-2-9,864,0
2021-2-10,856,0
2021-2-11,807,0
2021-2-12,806,0
2021-2-13,755,0
2021-2-14,755,0
2021-2-15,755,0
2021-2-16,755,0
2021-2-17,711,0
2021-2-18,705,0
2021-2-19,663,0
2021-2-20,620,0
2021-2-21,620,0
2021-2-22,620,0
2021-2-23,602,0
2021-2-24,591,0
2021-2-25,491,0
2021-2-26,526,0
2021-2-27,484,0
2021-2-28,484,0
