Date,ORDATA.HospitalizedCurrently,ORDATA.OnVentilatorCurrently
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,91,31
2020-3-29,107,31
2020-3-30,107,37
2020-3-31,132,39
2020-4-1,132,40
2020-4-2,132,40
2020-4-3,134,38
2020-4-4,188,38
2020-4-5,0,38
2020-4-6,0,40
2020-4-7,0,40
2020-4-8,0,69
2020-4-9,156,58
2020-4-10,146,54
2020-4-11,146,54
2020-4-12,140,46
2020-4-13,295,52
2020-4-14,321,50
2020-4-15,311,44
2020-4-16,305,43
2020-4-17,307,43
2020-4-18,301,41
2020-4-19,290,37
2020-4-20,290,37
2020-4-21,303,35
2020-4-22,297,35
2020-4-23,302,35
2020-4-24,304,36
2020-4-25,258,29
2020-4-26,261,29
2020-4-27,249,31
2020-4-28,249,31
2020-4-29,249,31
2020-4-30,227,24
2020-5-1,243,28
2020-5-2,208,23
2020-5-3,209,22
2020-5-4,205,21
2020-5-5,207,17
2020-5-6,219,25
2020-5-7,191,20
2020-5-8,171,23
2020-5-9,159,18
2020-5-10,139,19
2020-5-11,164,22
2020-5-12,164,23
2020-5-13,165,25
2020-5-14,162,17
2020-5-15,163,17
2020-5-16,161,19
2020-5-17,153,16
2020-5-18,156,16
2020-5-19,137,13
2020-5-20,137,13
2020-5-21,152,17
2020-5-22,140,14
2020-5-23,146,16
2020-5-24,102,15
2020-5-25,117,18
2020-5-26,125,23
2020-5-27,149,17
2020-5-28,146,16
2020-5-29,149,17
2020-5-30,155,21
2020-5-31,131,17
