Date,PADATA.Death,PADATA.DeathConfirmed
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,533
2020-4-7,1665,548
2020-4-8,1898,603
2020-4-9,2051,592
2020-4-10,2072,611
2020-4-11,2115,639
2020-4-12,2097,649
2020-4-13,2243,669
2020-4-14,2317,675
2020-4-15,2395,668
2020-4-16,2512,675
2020-4-17,2603,661
2020-4-18,2613,660
2020-4-19,2634,657
2020-4-20,2701,659
2020-4-21,2743,673
2020-4-22,2764,685
2020-4-23,2750,679
2020-4-24,2746,679
2020-4-25,2748,640
2020-4-26,2736,632
2020-4-27,2800,629
2020-4-28,2781,616
2020-4-29,2781,602
2020-4-30,2707,556
2020-5-1,2683,590
2020-5-2,2673,571
2020-5-3,2645,562
2020-5-4,2708,573
2020-5-5,2580,550
2020-5-6,2545,560
2020-5-7,2420,539
2020-5-8,2342,517
2020-5-9,2285,502
2020-5-10,2230,501
2020-5-11,2176,497
2020-5-12,2187,497
2020-5-13,2012,473
2020-5-14,1983,446
2020-5-15,1934,431
2020-5-16,1873,429
2020-5-17,1821,422
2020-5-18,1885,397
2020-5-19,1861,380
2020-5-20,1818,377
2020-5-21,1654,361
2020-5-22,1580,368
2020-5-23,1560,348
2020-5-24,1533,336
2020-5-25,1628,324
2020-5-26,1493,334
2020-5-27,1493,351
2020-5-28,1476,321
2020-5-29,1445,313
2020-5-30,1352,295
2020-5-31,1352,296
2020-6-1,1302,287
2020-6-2,1302,283
2020-6-3,1164,269
2020-6-4,1174,268
2020-6-5,1174,268
2020-6-6,1174,268
2020-6-7,1174,268
2020-6-8,1174,268
2020-6-9,1032,237
2020-6-10,992,218
2020-6-11,946,215
2020-6-12,899,202
2020-6-13,875,192
2020-6-14,852,189
2020-6-15,851,178
2020-6-16,800,179
2020-6-17,788,179
2020-6-18,740,170
2020-6-19,731,169
2020-6-20,715,161
2020-6-21,735,157
2020-6-22,745,156
2020-6-23,738,151
2020-6-24,707,136
2020-6-25,704,142
2020-6-26,661,131
2020-6-27,651,126
2020-6-28,648,121
2020-6-29,635,111
2020-6-30,634,110
2020-7-1,632,111
2020-7-2,631,106
2020-7-3,598,105
2020-7-4,589,102
2020-7-5,592,106
2020-7-6,598,107
2020-7-7,637,101
2020-7-8,649,104
2020-7-9,650,102
2020-7-10,653,103
2020-7-11,646,97
2020-7-12,652,96
2020-7-13,682,96
2020-7-14,678,95
2020-7-15,667,92
2020-7-16,652,95
2020-7-17,680,98
2020-7-18,699,93
2020-7-19,703,96
2020-7-20,706,98
2020-7-21,736,98
2020-7-22,735,100
2020-7-23,736,96
2020-7-24,736,96
2020-7-25,709,102
2020-7-26,707,104
2020-7-27,704,98
2020-7-28,716,98
2020-7-29,756,109
2020-7-30,756,109
2020-7-31,522,89
2020-8-1,579,89
2020-8-2,564,90
2020-8-3,585,103
2020-8-4,656,100
2020-8-5,639,102
2020-8-6,663,98
2020-8-7,651,99
2020-8-8,634,106
2020-8-9,600,103
2020-8-10,591,108
2020-8-11,598,98
2020-8-12,606,96
2020-8-13,601,99
2020-8-14,585,103
2020-8-15,572,99
2020-8-16,559,99
2020-8-17,560,95
2020-8-18,548,94
2020-8-19,548,94
2020-8-20,548,94
2020-8-21,510,93
2020-8-22,487,84
2020-8-23,501,75
2020-8-24,518,71
2020-8-25,543,82
2020-8-26,537,80
2020-8-27,542,82
2020-8-28,526,80
2020-8-29,509,78
2020-8-30,499,72
2020-8-31,505,78
2020-9-1,528,73
2020-9-2,550,67
2020-9-3,530,70
2020-9-4,497,66
2020-9-5,505,66
2020-9-6,490,64
2020-9-7,496,57
2020-9-8,514,63
2020-9-9,492,60
2020-9-10,488,60
2020-9-11,491,64
2020-9-12,470,63
2020-9-13,463,60
2020-9-14,472,59
2020-9-15,483,61
2020-9-16,488,60
2020-9-17,459,54
2020-9-18,521,50
2020-9-19,470,47
2020-9-20,400,49
2020-9-21,418,59
2020-9-22,429,58
2020-9-23,421,54
2020-9-24,422,53
2020-9-25,435,58
2020-9-26,444,60
2020-9-27,462,56
2020-9-28,481,64
2020-9-29,507,63
2020-9-30,539,66
2020-10-1,558,60
2020-10-2,561,63
2020-10-3,573,64
2020-10-4,603,70
2020-10-5,594,75
2020-10-6,633,74
2020-10-7,657,80
2020-10-8,687,76
2020-10-9,734,92
2020-10-10,732,94
2020-10-11,706,90
2020-10-12,725,81
2020-10-13,773,83
2020-10-14,749,91
2020-10-15,799,94
2020-10-16,830,80
2020-10-17,847,92
2020-10-18,841,93
2020-10-19,870,89
2020-10-20,918,94
2020-10-21,966,104
2020-10-22,1042,110
2020-10-23,1068,122
2020-10-24,1087,126
2020-10-25,1104,115
2020-10-26,1138,108
2020-10-27,1170,110
2020-10-28,1187,114
2020-10-29,1229,127
2020-10-30,1253,131
2020-10-31,1259,120
2020-11-1,1267,120
2020-11-2,1352,124
2020-11-3,1417,134
2020-11-4,1531,139
2020-11-5,1599,147
2020-11-6,1597,149
2020-11-7,1687,157
2020-11-8,1735,167
2020-11-9,1827,179
2020-11-10,1938,189
2020-11-11,2080,193
2020-11-12,2196,207
2020-11-13,2314,226
2020-11-14,2374,248
2020-11-15,2440,265
2020-11-16,2575,269
2020-11-17,2737,280
2020-11-18,2904,310
2020-11-19,2952,318
2020-11-20,3162,351
2020-11-21,3294,367
2020-11-22,3379,371
2020-11-23,3459,380
2020-11-24,3897,405
2020-11-25,3990,441
2020-11-26,4087,467
2020-11-27,4114,445
2020-11-28,4253,465
2020-11-29,4405,474
2020-11-30,4631,499
2020-12-1,4744,524
2020-12-2,4982,565
2020-12-3,5071,588
2020-12-4,5230,596
2020-12-5,5272,573
2020-12-6,5300,587
2020-12-7,5421,614
2020-12-8,5561,659
2020-12-9,5852,675
2020-12-10,5877,675
2020-12-11,5668,651
2020-12-12,5940,675
2020-12-13,5970,672
2020-12-14,6026,697
2020-12-15,6295,705
2020-12-16,6346,740
2020-12-17,6209,745
2020-12-18,6147,745
2020-12-19,6086,734
2020-12-20,6074,720
2020-12-21,6090,738
2020-12-22,6151,772
2020-12-23,6142,764
2020-12-24,6077,743
2020-12-25,5925,737
2020-12-26,5806,769
2020-12-27,5905,747
2020-12-28,5995,715
2020-12-29,6022,698
2020-12-30,5962,681
2020-12-31,5677,692
2021-1-1,5624,661
2021-1-2,5460,649
2021-1-3,5529,674
2021-1-4,5630,678
2021-1-5,5684,700
2021-1-6,5613,673
2021-1-7,5491,625
2021-1-8,5318,600
2021-1-9,5298,611
2021-1-10,5201,640
2021-1-11,5232,663
2021-1-12,5204,639
2021-1-13,5069,645
2021-1-14,4980,626
2021-1-15,4848,604
2021-1-16,4743,594
2021-1-17,4614,589
2021-1-18,4582,583
2021-1-19,4593,564
2021-1-20,4882,546
2021-1-21,4758,530
2021-1-22,4169,507
2021-1-23,3997,479
2021-1-24,3910,492
2021-1-25,3887,461
2021-1-26,3790,436
2021-1-27,3768,447
2021-1-28,3691,435
2021-1-29,3586,425
2021-1-30,3551,451
2021-1-31,3370,428
2021-2-1,3280,420
2021-2-2,3281,380
2021-2-3,3224,378
2021-2-4,3138,374
2021-2-5,3041,371
2021-2-6,2934,338
2021-2-7,2913,329
2021-2-8,2881,296
2021-2-9,2890,304
2021-2-10,2789,293
2021-2-11,2687,301
2021-2-12,2548,286
2021-2-13,2452,271
2021-2-14,2348,263
2021-2-15,2447,265
2021-2-16,2356,271
2021-2-17,2174,255
2021-2-18,2124,255
2021-2-19,2061,266
2021-2-20,2060,259
2021-2-21,1959,253
2021-2-22,1963,240
2021-2-23,1963,240
2021-2-24,1972,239
2021-2-25,1962,229
2021-2-26,1897,218
2021-2-27,1785,209
2021-2-28,1720,211
2021-3-1,1715,203
2021-3-2,1670,190
2021-3-3,1648,186
2021-3-4,1628,177
2021-3-5,1587,173
2021-3-6,1513,171
2021-3-7,1587,183
