Date,RIDATA.HospitalizedCurrently,RIDATA.OnVentilatorCurrently
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,15,0
2020-3-26,23,6
2020-3-27,28,6
2020-3-28,29,6
2020-3-29,35,6
2020-3-30,41,6
2020-3-31,59,6
2020-4-1,60,6
2020-4-2,72,6
2020-4-3,77,6
2020-4-4,93,6
2020-4-5,103,6
2020-4-6,109,26
2020-4-7,123,26
2020-4-8,143,26
2020-4-9,160,26
2020-4-10,169,26
2020-4-11,183,26
2020-4-12,201,26
2020-4-13,197,26
2020-4-14,213,0
2020-4-15,229,44
2020-4-16,245,43
2020-4-17,252,43
2020-4-18,293,43
2020-4-19,298,37
2020-4-20,297,45
2020-4-21,309,43
2020-4-22,314,44
2020-4-23,316,45
2020-4-24,267,48
2020-4-25,263,52
2020-4-26,258,53
2020-4-27,266,56
2020-4-28,266,55
2020-4-29,269,55
2020-4-30,339,54
2020-5-1,352,51
2020-5-2,333,54
2020-5-3,330,59
2020-5-4,339,61
2020-5-5,327,62
2020-5-6,324,60
2020-5-7,318,56
2020-5-8,312,52
2020-5-9,292,56
2020-5-10,283,52
2020-5-11,276,52
2020-5-12,277,53
2020-5-13,269,48
2020-5-14,271,42
2020-5-15,272,41
2020-5-16,273,44
2020-5-17,260,45
2020-5-18,236,46
2020-5-19,247,44
2020-5-20,257,45
2020-5-21,254,41
2020-5-22,242,40
2020-5-23,233,34
2020-5-24,240,32
2020-5-25,240,32
2020-5-26,226,36
2020-5-27,218,35
2020-5-28,222,36
2020-5-29,219,33
2020-5-30,219,32
2020-5-31,206,29
2020-6-1,195,29
2020-6-2,188,31
2020-6-3,189,30
2020-6-4,185,29
2020-6-5,182,23
2020-6-6,182,23
2020-6-7,182,23
2020-6-8,146,20
2020-6-9,144,19
2020-6-10,148,16
2020-6-11,146,16
2020-6-12,141,17
2020-6-13,141,17
2020-6-14,141,17
2020-6-15,127,14
2020-6-16,129,13
2020-6-17,126,13
2020-6-18,126,13
2020-6-19,123,12
2020-6-20,123,12
2020-6-21,123,12
2020-6-22,106,15
2020-6-23,105,17
2020-6-24,104,16
2020-6-25,103,17
2020-6-26,91,15
2020-6-27,91,15
2020-6-28,91,15
2020-6-29,73,14
2020-6-30,74,13
2020-7-1,69,11
2020-7-2,67,10
2020-7-3,61,7
2020-7-4,61,7
2020-7-5,61,7
2020-7-6,61,7
2020-7-7,55,4
2020-7-8,56,5
2020-7-9,55,3
2020-7-10,61,5
2020-7-11,61,5
2020-7-12,61,5
2020-7-13,67,4
2020-7-14,69,3
2020-7-15,59,3
2020-7-16,64,3
2020-7-17,62,2
2020-7-18,62,2
2020-7-19,62,2
2020-7-20,61,2
2020-7-21,64,2
2020-7-22,67,3
2020-7-23,67,4
2020-7-24,66,5
2020-7-25,66,5
2020-7-26,66,5
2020-7-27,71,6
2020-7-28,68,7
2020-7-29,74,6
2020-7-30,77,5
2020-7-31,76,5
2020-8-1,76,5
2020-8-2,76,5
2020-8-3,80,5
2020-8-4,80,6
2020-8-5,79,5
2020-8-6,83,4
2020-8-7,84,4
2020-8-8,82,2
2020-8-9,93,2
2020-8-10,93,2
2020-8-11,88,2
2020-8-12,89,3
2020-8-13,80,4
2020-8-14,79,3
2020-8-15,85,2
2020-8-16,80,3
2020-8-17,80,3
2020-8-18,78,4
2020-8-19,82,5
2020-8-20,84,4
2020-8-21,81,5
2020-8-22,87,4
2020-8-23,80,4
2020-8-24,80,4
2020-8-25,87,2
2020-8-26,80,4
2020-8-27,82,3
2020-8-28,81,4
2020-8-29,80,6
2020-8-30,77,5
2020-8-31,77,5
2020-9-1,81,5
2020-9-2,78,4
2020-9-3,68,4
2020-9-4,76,4
2020-9-5,82,4
2020-9-6,79,3
2020-9-7,73,3
2020-9-8,73,3
2020-9-9,82,3
2020-9-10,76,3
2020-9-11,80,3
2020-9-12,80,4
2020-9-13,80,4
