Date,SDDATA.HospitalizedCurrently,SDDATA.OnVentilatorCurrently
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,65,0
2020-4-22,62,0
2020-4-23,58,0
2020-4-24,61,0
2020-4-25,61,0
2020-4-26,64,0
2020-4-27,61,0
2020-4-28,69,0
2020-4-29,69,0
2020-4-30,76,0
2020-5-1,69,0
2020-5-2,71,0
2020-5-3,71,0
2020-5-4,69,0
2020-5-5,75,0
2020-5-6,72,0
2020-5-7,70,0
2020-5-8,76,0
2020-5-9,79,0
2020-5-10,77,0
2020-5-11,78,0
2020-5-12,74,0
2020-5-13,79,0
2020-5-14,85,0
2020-5-15,80,0
2020-5-16,75,0
2020-5-17,77,0
2020-5-18,77,0
2020-5-19,75,0
2020-5-20,81,0
2020-5-21,91,0
2020-5-22,83,0
2020-5-23,90,0
2020-5-24,85,0
2020-5-25,99,0
2020-5-26,106,0
2020-5-27,101,0
2020-5-28,105,0
2020-5-29,95,0
2020-5-30,93,0
2020-5-31,86,0
2020-6-1,87,0
2020-6-2,89,0
2020-6-3,87,0
2020-6-4,86,0
2020-6-5,83,0
2020-6-6,93,0
2020-6-7,87,0
2020-6-8,92,0
2020-6-9,90,0
2020-6-10,101,0
2020-6-11,87,0
2020-6-12,87,0
2020-6-13,85,0
2020-6-14,87,0
2020-6-15,93,0
2020-6-16,92,0
2020-6-17,91,0
2020-6-18,93,0
2020-6-19,95,0
2020-6-20,91,0
2020-6-21,89,0
2020-6-22,88,0
2020-6-23,85,0
2020-6-24,81,0
2020-6-25,79,0
2020-6-26,79,0
2020-6-27,73,0
2020-6-28,75,0
2020-6-29,70,0
2020-6-30,62,0
2020-7-1,65,0
2020-7-2,64,0
2020-7-3,58,0
2020-7-4,54,0
2020-7-5,59,0
2020-7-6,59,0
2020-7-7,64,0
2020-7-8,54,0
2020-7-9,61,0
2020-7-10,65,0
2020-7-11,65,0
2020-7-12,53,0
2020-7-13,63,0
2020-7-14,62,0
2020-7-15,59,0
2020-7-16,61,0
2020-7-17,61,0
2020-7-18,70,0
2020-7-19,63,0
2020-7-20,65,0
2020-7-21,62,0
2020-7-22,56,0
2020-7-23,50,0
2020-7-24,45,0
2020-7-25,46,0
2020-7-26,48,0
2020-7-27,47,0
2020-7-28,49,0
2020-7-29,46,0
2020-7-30,44,0
2020-7-31,31,0
2020-8-1,36,0
2020-8-2,35,0
2020-8-3,39,0
2020-8-4,42,0
2020-8-5,43,0
2020-8-6,44,0
2020-8-7,47,0
2020-8-8,48,0
2020-8-9,55,0
2020-8-10,63,0
2020-8-11,57,0
2020-8-12,59,0
2020-8-13,56,0
2020-8-14,65,0
2020-8-15,63,0
2020-8-16,66,0
2020-8-17,60,0
2020-8-18,68,0
2020-8-19,55,0
2020-8-20,53,0
2020-8-21,50,0
2020-8-22,66,0
2020-8-23,62,0
2020-8-24,65,0
2020-8-25,53,0
2020-8-26,58,0
2020-8-27,75,0
2020-8-28,80,0
2020-8-29,79,0
2020-8-30,78,0
2020-8-31,76,0
2020-9-1,78,0
2020-9-2,77,0
2020-9-3,76,0
2020-9-4,89,0
2020-9-5,86,0
2020-9-6,81,0
2020-9-7,78,0
2020-9-8,68,0
2020-9-9,76,0
2020-9-10,83,0
2020-9-11,98,0
2020-9-12,109,0
2020-9-13,110,0
2020-9-14,110,0
2020-9-15,133,0
2020-9-16,139,0
2020-9-17,138,0
2020-9-18,144,0
2020-9-19,153,0
2020-9-20,170,0
2020-9-21,161,0
2020-9-22,178,0
2020-9-23,192,0
2020-9-24,194,0
2020-9-25,194,0
2020-9-26,213,0
2020-9-27,216,0
2020-9-28,209,0
2020-9-29,211,0
2020-9-30,212,0
2020-10-1,214,0
2020-10-2,220,0
2020-10-3,215,0
2020-10-4,232,0
2020-10-5,241,0
2020-10-6,250,0
2020-10-7,273,0
2020-10-8,284,0
2020-10-9,267,0
2020-10-10,267,0
2020-10-11,266,0
2020-10-12,278,0
2020-10-13,303,0
2020-10-14,303,0
2020-10-15,304,0
2020-10-16,299,0
2020-10-17,295,0
2020-10-18,300,0
2020-10-19,304,0
2020-10-20,329,0
2020-10-21,332,0
2020-10-22,355,0
2020-10-23,349,0
2020-10-24,356,0
2020-10-25,366,0
2020-10-26,377,0
2020-10-27,395,0
2020-10-28,412,0
2020-10-29,413,0
2020-10-30,403,0
2020-10-31,415,0
2020-11-1,421,0
2020-11-2,402,0
2020-11-3,480,0
2020-11-4,483,0
2020-11-5,475,0
2020-11-6,493,0
2020-11-7,515,0
2020-11-8,546,0
2020-11-9,566,0
2020-11-10,607,0
2020-11-11,543,50
2020-11-12,551,49
2020-11-13,556,48
2020-11-14,549,45
2020-11-15,553,49
2020-11-16,560,48
2020-11-17,582,47
2020-11-18,593,51
2020-11-19,578,51
2020-11-20,574,56
2020-11-21,580,49
2020-11-22,577,49
2020-11-23,582,47
2020-11-24,574,50
2020-11-25,570,49
2020-11-26,570,49
2020-11-27,569,63
2020-11-28,539,55
2020-11-29,544,51
2020-11-30,546,57
2020-12-1,547,59
2020-12-2,531,63
2020-12-3,538,63
2020-12-4,516,64
2020-12-5,512,61
2020-12-6,497,66
2020-12-7,503,62
2020-12-8,491,63
2020-12-9,501,56
2020-12-10,491,55
2020-12-11,467,55
2020-12-12,452,58
2020-12-13,436,53
2020-12-14,441,50
2020-12-15,435,41
2020-12-16,412,25
2020-12-17,406,41
2020-12-18,387,41
2020-12-19,365,42
2020-12-20,345,36
2020-12-21,344,31
2020-12-22,341,38
2020-12-23,337,39
2020-12-24,312,36
2020-12-25,312,36
2020-12-26,289,41
2020-12-27,274,29
2020-12-28,288,35
2020-12-29,303,44
2020-12-30,293,43
2020-12-31,297,46
2021-1-1,297,46
2021-1-2,282,40
2021-1-3,262,33
2021-1-4,268,37
2021-1-5,270,35
2021-1-6,264,33
2021-1-7,264,36
2021-1-8,247,37
2021-1-9,234,30
2021-1-10,237,31
2021-1-11,242,30
2021-1-12,240,32
2021-1-13,253,33
2021-1-14,247,31
2021-1-15,227,40
2021-1-16,209,33
2021-1-17,213,39
2021-1-18,203,30
2021-1-19,200,27
2021-1-20,195,28
2021-1-21,185,26
2021-1-22,177,25
2021-1-23,172,27
2021-1-24,162,27
2021-1-25,161,26
2021-1-26,152,24
2021-1-27,161,25
2021-1-28,161,28
2021-1-29,152,28
2021-1-30,145,27
2021-1-31,125,19
2021-2-1,126,20
2021-2-2,131,17
2021-2-3,133,13
2021-2-4,126,17
2021-2-5,121,17
2021-2-6,115,15
2021-2-7,113,15
2021-2-8,112,12
2021-2-9,109,13
2021-2-10,109,12
2021-2-11,104,6
2021-2-12,84,11
2021-2-13,82,13
2021-2-14,87,16
2021-2-15,86,16
2021-2-16,97,16
2021-2-17,94,4
2021-2-18,92,10
2021-2-19,91,9
2021-2-20,95,9
2021-2-21,90,9
2021-2-22,91,7
2021-2-23,91,10
2021-2-24,102,9
2021-2-25,100,12
2021-2-26,96,8
2021-2-27,91,10
2021-2-28,89,9
2021-3-1,92,7
2021-3-2,92,10
2021-3-3,97,8
2021-3-4,87,10
2021-3-5,74,8
2021-3-6,74,7
2021-3-7,72,6
