Date,TXDATA.Death,TXDATA.DeathConfirmed
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,196,0
2020-4-1,196,0
2020-4-2,196,0
2020-4-3,196,0
2020-4-4,196,0
2020-4-5,827,0
2020-4-6,1153,0
2020-4-7,1252,0
2020-4-8,1491,0
2020-4-9,1439,0
2020-4-10,1532,0
2020-4-11,1514,0
2020-4-12,1338,0
2020-4-13,1176,0
2020-4-14,1409,0
2020-4-15,1538,0
2020-4-16,1459,0
2020-4-17,1522,0
2020-4-18,1321,0
2020-4-19,1471,0
2020-4-20,1411,0
2020-4-21,1419,0
2020-4-22,1678,0
2020-4-23,1649,0
2020-4-24,1674,0
2020-4-25,1597,0
2020-4-26,1542,0
2020-4-27,1563,0
2020-4-28,1682,0
2020-4-29,1702,0
2020-4-30,1686,0
2020-5-1,1778,0
2020-5-2,1725,0
2020-5-3,1540,0
2020-5-4,1533,0
2020-5-5,1888,0
2020-5-6,1812,0
2020-5-7,1750,0
2020-5-8,1734,0
2020-5-9,1735,0
2020-5-10,1626,0
2020-5-11,1525,0
2020-5-12,1725,0
2020-5-13,1676,0
2020-5-14,1648,0
2020-5-15,1716,0
2020-5-16,1791,0
2020-5-17,1512,0
2020-5-18,1551,0
2020-5-19,1732,0
2020-5-20,1791,0
2020-5-21,1680,0
2020-5-22,1578,0
2020-5-23,1688,0
2020-5-24,1572,0
2020-5-25,1511,0
2020-5-26,1534,0
2020-5-27,1645,0
2020-5-28,1692,0
2020-5-29,1701,0
2020-5-30,1752,0
2020-5-31,1684,0
2020-6-1,1756,0
2020-6-2,1773,0
2020-6-3,1487,0
2020-6-4,1796,0
2020-6-5,1855,0
2020-6-6,1822,0
2020-6-7,1878,0
2020-6-8,1935,0
2020-6-9,2056,0
2020-6-10,2153,0
2020-6-11,2008,0
2020-6-12,2166,0
2020-6-13,2242,0
2020-6-14,2287,0
2020-6-15,2326,0
2020-6-16,2518,0
2020-6-17,2793,0
2020-6-18,2947,0
2020-6-19,3148,0
2020-6-20,3247,0
2020-6-21,3409,0
2020-6-22,3711,0
2020-6-23,4092,0
2020-6-24,4389,0
2020-6-25,4739,0
2020-6-26,5102,0
2020-6-27,5523,0
2020-6-28,5497,0
2020-6-29,5913,0
2020-6-30,6533,0
2020-7-1,6904,0
2020-7-2,7382,0
2020-7-3,7652,0
2020-7-4,7890,0
2020-7-5,8181,0
2020-7-6,8698,0
2020-7-7,9286,0
2020-7-8,9610,0
2020-7-9,9689,0
2020-7-10,10002,0
2020-7-11,10083,0
2020-7-12,10410,0
2020-7-13,10405,0
2020-7-14,10569,0
2020-7-15,10471,0
2020-7-16,10457,0
2020-7-17,10632,0
2020-7-18,10658,0
2020-7-19,10592,0
2020-7-20,10569,0
2020-7-21,10848,0
2020-7-22,10893,0
2020-7-23,10893,0
2020-7-24,10893,0
2020-7-25,10893,0
2020-7-26,10893,0
2020-7-27,10893,0
2020-7-28,9593,0
2020-7-29,9595,0
2020-7-30,9296,0
2020-7-31,9336,0
2020-8-1,8969,0
2020-8-2,8969,0
2020-8-3,8819,0
2020-8-4,8674,0
2020-8-5,8455,0
2020-8-6,8302,0
2020-8-7,8065,0
2020-8-8,7872,0
2020-8-9,7437,0
2020-8-10,7304,0
2020-8-11,7216,0
2020-8-12,7028,0
2020-8-13,6879,0
2020-8-14,6632,0
2020-8-15,6481,0
2020-8-16,6267,0
2020-8-17,6200,0
2020-8-18,6210,0
2020-8-19,5974,0
2020-8-20,5635,0
2020-8-21,5566,0
2020-8-22,5274,0
2020-8-23,5186,0
2020-8-24,5019,0
2020-8-25,4907,0
2020-8-26,4806,0
2020-8-27,4489,0
2020-8-28,4422,0
2020-8-29,4273,0
2020-8-30,4172,0
2020-8-31,4203,0
2020-9-1,4144,0
2020-9-2,4149,0
2020-9-3,4075,0
2020-9-4,3889,0
2020-9-5,3973,0
2020-9-6,3715,0
2020-9-7,3537,0
2020-9-8,3701,0
2020-9-9,3604,0
2020-9-10,3575,0
2020-9-11,3465,0
2020-9-12,3371,0
2020-9-13,3319,0
2020-9-14,3391,0
2020-9-15,3311,0
2020-9-16,3249,0
2020-9-17,3246,0
2020-9-18,3172,0
2020-9-19,3124,0
2020-9-20,3081,0
2020-9-21,3132,0
2020-9-22,3207,0
2020-9-23,3195,0
2020-9-24,3204,0
2020-9-25,3221,0
2020-9-26,3209,0
2020-9-27,3217,0
2020-9-28,3201,0
2020-9-29,3251,0
2020-9-30,3344,0
2020-10-1,3190,0
2020-10-2,3227,0
2020-10-3,3195,0
2020-10-4,3192,0
2020-10-5,3318,0
2020-10-6,3394,0
2020-10-7,3519,0
2020-10-8,3556,0
2020-10-9,3593,0
2020-10-10,3628,0
2020-10-11,3622,0
2020-10-12,3870,0
2020-10-13,4053,0
2020-10-14,4131,0
2020-10-15,4263,0
2020-10-16,4248,0
2020-10-17,4275,0
2020-10-18,4226,0
2020-10-19,4319,0
2020-10-20,4588,0
2020-10-21,4782,0
2020-10-22,4931,0
2020-10-23,5065,0
2020-10-24,4995,0
2020-10-25,5206,0
2020-10-26,5278,0
2020-10-27,5512,0
2020-10-28,5650,0
2020-10-29,5587,0
2020-10-30,5627,0
2020-10-31,5696,0
2020-11-1,5691,0
2020-11-2,5770,0
2020-11-3,5936,0
2020-11-4,5872,0
2020-11-5,5954,0
2020-11-6,6070,0
2020-11-7,6068,0
2020-11-8,6080,0
2020-11-9,6103,0
2020-11-10,6170,0
2020-11-11,6779,0
2020-11-12,6925,0
2020-11-13,7083,0
2020-11-14,7151,0
2020-11-15,7274,0
2020-11-16,7468,0
2020-11-17,7841,0
2020-11-18,7958,0
2020-11-19,7982,0
2020-11-20,8164,0
2020-11-21,8245,0
2020-11-22,8174,0
2020-11-23,8353,0
2020-11-24,8495,0
2020-11-25,8585,0
2020-11-26,8706,0
2020-11-27,8518,0
2020-11-28,8597,0
2020-11-29,8634,0
2020-11-30,8900,0
2020-12-1,9047,0
2020-12-2,9109,0
2020-12-3,9151,0
2020-12-4,9015,0
2020-12-5,8916,0
2020-12-6,8681,0
2020-12-7,8790,0
2020-12-8,9028,0
2020-12-9,9053,0
2020-12-10,9045,0
2020-12-11,9109,0
2020-12-12,9192,0
2020-12-13,9230,0
2020-12-14,9304,0
2020-12-15,9472,0
2020-12-16,9528,0
2020-12-17,9628,0
2020-12-18,9709,0
2020-12-19,9796,0
2020-12-20,9856,0
2020-12-21,10009,0
2020-12-22,10299,0
2020-12-23,10574,0
2020-12-24,10724,0
2020-12-25,10868,0
2020-12-26,10773,0
2020-12-27,10886,0
2020-12-28,11351,0
2020-12-29,11775,0
2020-12-30,11992,0
2020-12-31,12268,0
2021-1-1,12481,0
2021-1-2,12319,0
2021-1-3,12563,0
2021-1-4,12961,0
2021-1-5,13308,0
2021-1-6,13628,0
2021-1-7,13784,0
2021-1-8,13921,0
2021-1-9,13935,0
2021-1-10,13111,0
2021-1-11,13397,0
2021-1-12,14218,0
2021-1-13,14106,0
2021-1-14,14052,0
2021-1-15,13953,0
2021-1-16,13929,0
2021-1-17,13728,0
2021-1-18,13858,0
2021-1-19,13928,0
2021-1-20,13870,0
2021-1-21,13564,0
2021-1-22,13344,0
2021-1-23,13309,0
2021-1-24,12899,0
2021-1-25,12785,0
2021-1-26,12851,0
2021-1-27,12795,0
2021-1-28,12380,0
2021-1-29,11981,0
2021-1-30,11473,0
2021-1-31,11220,0
2021-2-1,11074,0
2021-2-2,11002,0
2021-2-3,10827,0
2021-2-4,10523,0
2021-2-5,10259,0
2021-2-6,9957,0
2021-2-7,9652,0
2021-2-8,9401,0
2021-2-9,9401,0
2021-2-10,9165,0
2021-2-11,8933,0
2021-2-12,8607,0
2021-2-13,8395,0
2021-2-14,8107,0
2021-2-15,7824,0
2021-2-16,7661,0
2021-2-17,7609,0
2021-2-18,7874,0
2021-2-19,7757,0
2021-2-20,7535,0
2021-2-21,7146,0
2021-2-22,6964,0
2021-2-23,7014,0
2021-2-24,6738,0
2021-2-25,6724,0
