Date,UTDATA.HospitalizedCurrently,UTDATA.OnVentilatorCurrently
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,194,0
2020-5-8,216,0
2020-5-9,172,0
2020-5-10,144,0
2020-5-11,160,0
2020-5-12,166,0
2020-5-13,158,0
2020-5-14,142,0
2020-5-15,161,0
2020-5-16,168,0
2020-5-17,181,0
2020-5-18,179,0
2020-5-19,96,0
2020-5-20,144,0
2020-5-21,169,0
2020-5-22,163,0
2020-5-23,165,0
2020-5-24,128,0
2020-5-25,131,0
2020-5-26,134,0
2020-5-27,127,0
2020-5-28,169,0
2020-5-29,135,0
2020-5-30,139,0
2020-5-31,142,0
2020-6-1,134,0
2020-6-2,159,0
2020-6-3,150,0
2020-6-4,164,0
2020-6-5,133,0
2020-6-6,147,0
2020-6-7,207,0
2020-6-8,182,0
2020-6-9,230,0
2020-6-10,223,0
2020-6-11,188,0
2020-6-12,197,0
2020-6-13,236,0
2020-6-14,178,0
2020-6-15,184,0
2020-6-16,271,0
2020-6-17,270,0
2020-6-18,282,0
2020-6-19,237,0
2020-6-20,232,0
2020-6-21,222,0
2020-6-22,198,0
2020-6-23,214,0
2020-6-24,245,0
2020-6-25,230,0
2020-6-26,238,0
2020-6-27,287,0
2020-6-28,289,0
2020-6-29,254,0
2020-6-30,250,0
2020-7-1,261,0
2020-7-2,229,0
2020-7-3,232,0
2020-7-4,255,0
2020-7-5,237,0
2020-7-6,244,0
2020-7-7,248,0
2020-7-8,236,0
2020-7-9,207,0
2020-7-10,229,0
2020-7-11,269,0
2020-7-12,276,0
2020-7-13,252,0
2020-7-14,231,0
2020-7-15,250,0
2020-7-16,236,0
2020-7-17,256,0
2020-7-18,251,0
2020-7-19,296,0
2020-7-20,247,0
2020-7-21,219,0
2020-7-22,234,0
2020-7-23,249,0
2020-7-24,250,0
2020-7-25,232,0
2020-7-26,251,0
2020-7-27,225,0
2020-7-28,233,0
2020-7-29,232,0
2020-7-30,238,0
2020-7-31,258,0
2020-8-1,268,0
2020-8-2,289,0
2020-8-3,252,0
2020-8-4,220,0
2020-8-5,220,0
2020-8-6,220,0
2020-8-7,234,0
2020-8-8,222,0
2020-8-9,224,0
2020-8-10,222,0
2020-8-11,208,0
2020-8-12,236,0
2020-8-13,206,0
2020-8-14,190,0
2020-8-15,186,0
2020-8-16,204,0
2020-8-17,156,0
2020-8-18,183,0
2020-8-19,158,0
2020-8-20,157,0
2020-8-21,155,0
2020-8-22,148,0
2020-8-23,156,0
2020-8-24,144,0
2020-8-25,143,0
2020-8-26,130,0
2020-8-27,134,0
2020-8-28,127,0
2020-8-29,139,0
2020-8-30,134,0
2020-8-31,143,0
2020-9-1,145,0
2020-9-2,147,0
2020-9-3,137,0
2020-9-4,144,0
2020-9-5,152,0
2020-9-6,152,0
2020-9-7,152,0
2020-9-8,140,0
2020-9-9,137,0
2020-9-10,165,0
2020-9-11,170,0
2020-9-12,176,0
2020-9-13,178,0
2020-9-14,170,0
2020-9-15,178,0
2020-9-16,139,0
2020-9-17,170,0
2020-9-18,184,0
2020-9-19,177,0
2020-9-20,187,0
2020-9-21,154,0
2020-9-22,183,0
2020-9-23,190,0
2020-9-24,216,0
2020-9-25,190,0
2020-9-26,191,0
2020-9-27,184,0
2020-9-28,174,0
2020-9-29,195,0
2020-9-30,243,0
2020-10-1,259,0
2020-10-2,258,0
2020-10-3,217,0
2020-10-4,220,0
2020-10-5,222,0
2020-10-6,245,0
2020-10-7,233,0
2020-10-8,251,0
2020-10-9,261,0
2020-10-10,246,0
2020-10-11,274,0
2020-10-12,259,0
2020-10-13,254,0
2020-10-14,269,0
2020-10-15,277,0
2020-10-16,304,0
2020-10-17,313,0
2020-10-18,307,0
2020-10-19,304,0
2020-10-20,311,0
2020-10-21,338,0
2020-10-22,318,0
2020-10-23,321,0
2020-10-24,319,0
2020-10-25,313,0
2020-10-26,311,0
2020-10-27,309,0
2020-10-28,316,0
2020-10-29,338,0
2020-10-30,338,0
2020-10-31,335,0
2020-11-1,355,0
2020-11-2,366,0
2020-11-3,382,0
2020-11-4,401,0
2020-11-5,409,0
2020-11-6,414,0
2020-11-7,420,0
2020-11-8,437,0
2020-11-9,460,0
2020-11-10,453,0
2020-11-11,466,0
2020-11-12,484,0
2020-11-13,492,0
2020-11-14,507,0
2020-11-15,502,0
2020-11-16,519,0
2020-11-17,537,0
2020-11-18,564,0
2020-11-19,553,0
2020-11-20,554,0
2020-11-21,571,0
2020-11-22,579,0
2020-11-23,558,0
2020-11-24,565,0
2020-11-25,591,0
2020-11-26,591,0
2020-11-27,586,0
2020-11-28,581,0
2020-11-29,575,0
2020-11-30,573,0
2020-12-1,587,0
2020-12-2,584,0
2020-12-3,609,0
2020-12-4,603,0
2020-12-5,611,0
2020-12-6,605,0
2020-12-7,592,0
2020-12-8,588,0
2020-12-9,592,0
2020-12-10,568,0
2020-12-11,586,0
2020-12-12,562,0
2020-12-13,558,0
2020-12-14,580,0
2020-12-15,568,0
2020-12-16,566,0
2020-12-17,571,0
2020-12-18,549,0
2020-12-19,579,0
2020-12-20,582,0
2020-12-21,584,0
2020-12-22,586,0
2020-12-23,615,0
2020-12-24,605,0
2020-12-25,605,0
2020-12-26,526,0
2020-12-27,517,0
2020-12-28,532,0
2020-12-29,548,0
2020-12-30,537,0
2020-12-31,565,0
2021-1-1,565,0
2021-1-2,552,0
2021-1-3,548,0
2021-1-4,551,0
2021-1-5,578,0
2021-1-6,589,0
2021-1-7,594,0
2021-1-8,610,0
2021-1-9,592,0
2021-1-10,588,0
2021-1-11,595,0
2021-1-12,605,0
2021-1-13,612,0
2021-1-14,614,0
2021-1-15,635,0
2021-1-16,627,0
2021-1-17,594,0
2021-1-18,619,0
2021-1-19,638,0
2021-1-20,604,0
2021-1-21,590,0
2021-1-22,549,0
2021-1-23,548,0
2021-1-24,523,0
2021-1-25,528,0
2021-1-26,540,0
2021-1-27,537,0
2021-1-28,536,0
2021-1-29,533,0
2021-1-30,522,0
2021-1-31,519,0
2021-2-1,488,0
2021-2-2,485,0
2021-2-3,413,0
2021-2-4,449,0
2021-2-5,433,0
2021-2-6,419,0
2021-2-7,391,0
2021-2-8,353,0
2021-2-9,359,0
2021-2-10,365,0
2021-2-11,363,0
2021-2-12,345,0
2021-2-13,333,0
2021-2-14,307,0
2021-2-15,298,0
2021-2-16,297,0
2021-2-17,290,0
2021-2-18,291,0
2021-2-19,276,0
2021-2-20,260,0
2021-2-21,263,0
2021-2-22,265,0
2021-2-23,271,0
2021-2-24,252,0
2021-2-25,248,0
2021-2-26,254,0
2021-2-27,252,0
2021-2-28,230,0
2021-3-1,238,0
2021-3-2,237,0
2021-3-3,247,0
2021-3-4,247,0
2021-3-5,238,0
2021-3-6,216,0
2021-3-7,212,0
