Date,VADATA.Death,VADATA.DeathConfirmed
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,246,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,669,285
2020-4-10,1238,287
2020-4-11,1252,283
2020-4-12,751,294
2020-4-13,1238,302
2020-4-14,1282,276
2020-4-15,1298,234
2020-4-16,1337,238
2020-4-17,1308,224
2020-4-18,1307,230
2020-4-19,1319,231
2020-4-20,1296,237
2020-4-21,1331,251
2020-4-22,1374,244
2020-4-23,1379,249
2020-4-24,1399,220
2020-4-25,1405,223
2020-4-26,1436,217
2020-4-27,1455,217
2020-4-28,1508,217
2020-4-29,1566,222
2020-4-30,1550,208
2020-5-1,1431,193
2020-5-2,1426,202
2020-5-3,1413,193
2020-5-4,1463,192
2020-5-5,1496,189
2020-5-6,1496,189
2020-5-7,1613,203
2020-5-8,1625,199
2020-5-9,1593,198
2020-5-10,1555,187
2020-5-11,1504,194
2020-5-12,1529,201
2020-5-13,1526,202
2020-5-14,1533,201
2020-5-15,1511,195
2020-5-16,1505,189
2020-5-17,1524,195
2020-5-18,1502,194
2020-5-19,1497,199
2020-5-20,1536,202
2020-5-21,1491,191
2020-5-22,1459,207
2020-5-23,1384,213
2020-5-24,1351,192
2020-5-25,1376,182
2020-5-26,1403,190
2020-5-27,1459,203
2020-5-28,1502,195
2020-5-29,1524,193
2020-5-30,1471,194
2020-5-31,1458,196
2020-6-1,1371,188
2020-6-2,1362,186
2020-6-3,1311,185
2020-6-4,1266,171
2020-6-5,1205,161
2020-6-6,1171,169
2020-6-7,1186,165
2020-6-8,1173,160
2020-6-9,1169,155
2020-6-10,1155,139
2020-6-11,1069,138
2020-6-12,1026,143
2020-6-13,959,142
2020-6-14,958,155
2020-6-15,902,130
2020-6-16,904,125
2020-6-17,938,120
2020-6-18,857,129
2020-6-19,862,121
2020-6-20,880,133
2020-6-21,863,125
2020-6-22,848,132
2020-6-23,847,126
2020-6-24,886,107
2020-6-25,854,104
2020-6-26,854,99
2020-6-27,819,103
2020-6-28,818,107
2020-6-29,796,101
2020-6-30,902,98
2020-7-1,892,95
2020-7-2,888,95
2020-7-3,818,95
2020-7-4,808,99
2020-7-5,792,95
2020-7-6,783,86
2020-7-7,902,105
2020-7-8,971,98
2020-7-9,956,93
2020-7-10,1006,102
2020-7-11,1020,97
2020-7-12,1045,101
2020-7-13,1129,105
2020-7-14,1127,112
2020-7-15,1081,113
2020-7-16,1134,118
2020-7-17,1171,118
2020-7-18,1166,108
2020-7-19,1186,127
2020-7-20,1158,125
2020-7-21,1189,127
2020-7-22,1157,136
2020-7-23,1218,136
2020-7-24,1250,142
2020-7-25,1201,138
2020-7-26,1174,143
2020-7-27,1200,140
2020-7-28,1294,153
2020-7-29,1350,155
2020-7-30,1357,147
2020-7-31,1334,145
2020-8-1,1256,150
2020-8-2,1172,138
2020-8-3,1205,151
2020-8-4,1255,144
2020-8-5,1304,144
2020-8-6,1349,157
2020-8-7,1372,159
2020-8-8,1258,145
2020-8-9,1200,146
2020-8-10,1251,159
2020-8-11,1293,148
2020-8-12,1281,142
2020-8-13,1258,141
2020-8-14,1299,150
2020-8-15,1271,167
2020-8-16,1184,165
2020-8-17,1173,158
2020-8-18,1253,163
2020-8-19,1243,145
2020-8-20,1266,148
2020-8-21,1233,142
2020-8-22,1154,125
2020-8-23,1155,130
2020-8-24,1127,134
2020-8-25,1174,144
2020-8-26,1170,145
2020-8-27,1174,148
2020-8-28,1101,136
2020-8-29,1101,131
2020-8-30,1090,132
2020-8-31,1082,146
2020-9-1,1039,130
2020-9-2,1114,134
2020-9-3,1130,123
2020-9-4,1101,128
2020-9-5,1098,121
2020-9-6,1083,119
2020-9-7,1061,119
2020-9-8,1051,118
2020-9-9,1072,121
2020-9-10,1096,134
2020-9-11,1120,120
2020-9-12,995,113
2020-9-13,1012,119
2020-9-14,1006,110
2020-9-15,1015,104
2020-9-16,1027,103
2020-9-17,995,109
2020-9-18,945,102
2020-9-19,960,108
2020-9-20,939,126
2020-9-21,995,106
2020-9-22,940,113
2020-9-23,916,113
2020-9-24,982,112
2020-9-25,965,117
2020-9-26,924,111
2020-9-27,868,103
2020-9-28,890,103
2020-9-29,958,113
2020-9-30,908,104
2020-10-1,913,107
2020-10-2,890,108
2020-10-3,906,103
2020-10-4,877,98
2020-10-5,925,101
2020-10-6,926,104
2020-10-7,1003,109
2020-10-8,933,89
2020-10-9,963,87
2020-10-10,943,97
2020-10-11,924,98
2020-10-12,965,92
2020-10-13,999,98
2020-10-14,1007,102
2020-10-15,1009,104
2020-10-16,1002,104
2020-10-17,993,100
2020-10-18,972,95
2020-10-19,972,81
2020-10-20,937,98
2020-10-21,1010,97
2020-10-22,1109,120
2020-10-23,1012,113
2020-10-24,979,117
2020-10-25,979,109
2020-10-26,1048,114
2020-10-27,1081,106
2020-10-28,1068,113
2020-10-29,1082,108
2020-10-30,1065,107
2020-10-31,1026,104
2020-11-1,1012,98
2020-11-2,1031,97
2020-11-3,1026,97
2020-11-4,1041,102
2020-11-5,1064,104
2020-11-6,1057,96
2020-11-7,1062,91
2020-11-8,1090,90
2020-11-9,1127,98
2020-11-10,1174,88
2020-11-11,1265,106
2020-11-12,1313,110
2020-11-13,1296,115
2020-11-14,1312,121
2020-11-15,1284,120
2020-11-16,1337,118
2020-11-17,1392,103
2020-11-18,1469,126
2020-11-19,1569,123
2020-11-20,1510,133
2020-11-21,1507,135
2020-11-22,1469,145
2020-11-23,1512,152
2020-11-24,1496,146
2020-11-25,1549,153
2020-11-26,1601,152
2020-11-27,1593,160
2020-11-28,1585,149
2020-11-29,1628,155
2020-11-30,1658,162
2020-12-1,1757,173
2020-12-2,1860,188
2020-12-3,1853,186
2020-12-4,1854,187
2020-12-5,1852,183
2020-12-6,1969,187
2020-12-7,1885,180
2020-12-8,1918,196
2020-12-9,2035,200
2020-12-10,2051,203
2020-12-11,2115,216
2020-12-12,2117,229
2020-12-13,2154,220
2020-12-14,2260,236
2020-12-15,2361,240
2020-12-16,2349,257
2020-12-17,2399,246
2020-12-18,2409,254
2020-12-19,2429,264
2020-12-20,2405,272
2020-12-21,2442,282
2020-12-22,2166,279
2020-12-23,2586,290
2020-12-24,2577,294
2020-12-25,2478,291
2020-12-26,2454,299
2020-12-27,2495,318
2020-12-28,2563,321
2020-12-29,2698,326
2020-12-30,2707,330
2020-12-31,2744,328
2021-1-1,2754,322
2021-1-2,2710,335
2021-1-3,2708,344
2021-1-4,2765,339
2021-1-5,2918,337
2021-1-6,2925,357
2021-1-7,3000,366
2021-1-8,2991,351
2021-1-9,3032,348
2021-1-10,3060,348
2021-1-11,3117,352
2021-1-12,3185,349
2021-1-13,3209,362
2021-1-14,3196,366
2021-1-15,3147,362
2021-1-16,3119,354
2021-1-17,3058,339
2021-1-18,3151,354
2021-1-19,3173,347
2021-1-20,3098,338
2021-1-21,3011,337
2021-1-22,2972,332
2021-1-23,2927,320
2021-1-24,2850,329
2021-1-25,2892,324
2021-1-26,2847,316
2021-1-27,2868,332
2021-1-28,2706,322
2021-1-29,2691,309
2021-1-30,2632,311
2021-1-31,2516,315
2021-2-1,2446,304
2021-2-2,2473,304
2021-2-3,2545,309
2021-2-4,2444,294
2021-2-5,2363,294
2021-2-6,2376,294
2021-2-7,2303,301
2021-2-8,2285,298
2021-2-9,2248,290
2021-2-10,2201,286
2021-2-11,2136,289
2021-2-12,2117,268
2021-2-13,1991,262
2021-2-14,1906,238
2021-2-15,1833,251
2021-2-16,1849,241
2021-2-17,1823,239
2021-2-18,1828,218
2021-2-19,1671,204
2021-2-20,1594,186
2021-2-21,1548,186
2021-2-22,1540,187
2021-2-23,1621,196
2021-2-24,1564,185
2021-2-25,1488,183
2021-2-26,1481,187
2021-2-27,1374,185
2021-2-28,1323,180
2021-3-1,1321,196
2021-3-2,1345,200
2021-3-3,1352,184
2021-3-4,1352,184
2021-3-5,1222,150
2021-3-6,1164,160
2021-3-7,1127,168
