Date,WIDATA.Death,WIDATA.DeathConfirmed
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,192,0
2020-4-3,257,0
2020-4-4,279,0
2020-4-5,294,0
2020-4-6,300,0
2020-4-7,334,0
2020-4-8,351,0
2020-4-9,446,0
2020-4-10,443,0
2020-4-11,445,0
2020-4-12,443,0
2020-4-13,431,0
2020-4-14,441,0
2020-4-15,406,0
2020-4-16,394,0
2020-4-17,361,348
2020-4-18,361,0
2020-4-19,357,0
2020-4-20,357,0
2020-4-21,358,0
2020-4-22,352,0
2020-4-23,349,0
2020-4-24,356,0
2020-4-25,341,0
2020-4-26,343,0
2020-4-27,335,0
2020-4-28,351,0
2020-4-29,350,0
2020-4-30,359,0
2020-5-1,341,0
2020-5-2,352,0
2020-5-3,348,0
2020-5-4,348,0
2020-5-5,309,0
2020-5-6,298,0
2020-5-7,339,0
2020-5-8,345,0
2020-5-9,339,0
2020-5-10,332,0
2020-5-11,340,0
2020-5-12,326,0
2020-5-13,343,0
2020-5-14,352,0
2020-5-15,356,0
2020-5-16,361,0
2020-5-17,364,0
2020-5-18,379,0
2020-5-19,398,0
2020-5-20,393,0
2020-5-21,398,0
2020-5-22,416,0
2020-5-23,388,0
2020-5-24,399,0
2020-5-25,388,0
2020-5-26,422,0
2020-5-27,413,0
2020-5-28,408,0
2020-5-29,423,0
2020-5-30,409,0
2020-5-31,414,0
2020-6-1,403,0
2020-6-2,388,0
2020-6-3,357,0
2020-6-4,355,0
2020-6-5,355,0
2020-6-6,315,0
2020-6-7,308,0
2020-6-8,322,0
2020-6-9,331,0
2020-6-10,328,0
2020-6-11,306,0
2020-6-12,287,0
2020-6-13,285,0
2020-6-14,291,0
2020-6-15,284,0
2020-6-16,275,0
2020-6-17,247,0
2020-6-18,241,0
2020-6-19,241,0
2020-6-20,239,0
2020-6-21,243,0
2020-6-22,246,0
2020-6-23,240,0
2020-6-24,239,0
2020-6-25,247,0
2020-6-26,262,0
2020-6-27,248,0
2020-6-28,251,0
2020-6-29,236,0
2020-6-30,242,0
2020-7-1,237,0
2020-7-2,236,0
2020-7-3,244,0
2020-7-4,235,0
2020-7-5,244,0
2020-7-6,255,0
2020-7-7,254,0
2020-7-8,274,0
2020-7-9,284,0
2020-7-10,278,0
2020-7-11,264,0
2020-7-12,264,0
2020-7-13,283,0
2020-7-14,293,0
2020-7-15,295,0
2020-7-16,308,0
2020-7-17,331,0
2020-7-18,315,0
2020-7-19,339,0
2020-7-20,367,0
2020-7-21,354,0
2020-7-22,167,0
2020-7-23,187,0
2020-7-24,312,0
2020-7-25,209,0
2020-7-26,165,0
2020-7-27,250,0
2020-7-28,246,0
2020-7-29,271,0
2020-7-30,341,0
2020-7-31,308,0
2020-8-1,337,0
2020-8-2,354,0
2020-8-3,345,0
2020-8-4,327,0
2020-8-5,330,0
2020-8-6,330,0
2020-8-7,350,0
2020-8-8,338,0
2020-8-9,352,0
2020-8-10,414,0
2020-8-11,364,0
2020-8-12,387,0
2020-8-13,354,0
2020-8-14,336,0
2020-8-15,337,0
2020-8-16,347,0
2020-8-17,365,0
2020-8-18,380,0
2020-8-19,388,0
2020-8-20,367,0
2020-8-21,350,0
2020-8-22,333,0
2020-8-23,321,0
2020-8-24,337,0
2020-8-25,354,0
2020-8-26,344,0
2020-8-27,291,0
2020-8-28,309,0
2020-8-29,268,0
2020-8-30,287,0
2020-8-31,290,0
2020-9-1,295,0
2020-9-2,287,0
2020-9-3,293,0
2020-9-4,302,0
2020-9-5,275,0
2020-9-6,286,0
2020-9-7,289,0
2020-9-8,297,0
2020-9-9,302,0
2020-9-10,304,0
2020-9-11,326,0
2020-9-12,319,0
2020-9-13,313,0
2020-9-14,341,0
2020-9-15,343,0
2020-9-16,370,0
2020-9-17,347,0
2020-9-18,342,0
2020-9-19,362,0
2020-9-20,407,0
2020-9-21,433,0
2020-9-22,474,0
2020-9-23,509,0
2020-9-24,530,0
2020-9-25,543,0
2020-9-26,574,0
2020-9-27,571,0
2020-9-28,640,0
2020-9-29,646,0
2020-9-30,683,0
2020-10-1,669,0
2020-10-2,663,0
2020-10-3,692,0
2020-10-4,714,0
2020-10-5,782,0
2020-10-6,853,0
2020-10-7,873,0
2020-10-8,907,0
2020-10-9,876,0
2020-10-10,870,0
2020-10-11,872,0
2020-10-12,950,0
2020-10-13,959,0
2020-10-14,1017,0
2020-10-15,1043,0
2020-10-16,1101,0
2020-10-17,1068,0
2020-10-18,1090,0
2020-10-19,1172,0
2020-10-20,1192,0
2020-10-21,1190,0
2020-10-22,1202,0
2020-10-23,1245,0
2020-10-24,1237,0
2020-10-25,1293,0
2020-10-26,1350,0
2020-10-27,1385,0
2020-10-28,1439,0
2020-10-29,1453,0
2020-10-30,1546,0
2020-10-31,1502,0
2020-11-1,1512,0
2020-11-2,1648,0
2020-11-3,1714,0
2020-11-4,1747,0
2020-11-5,1774,0
2020-11-6,1787,0
2020-11-7,1806,0
2020-11-8,1860,0
2020-11-9,2003,0
2020-11-10,2070,0
2020-11-11,2102,0
2020-11-12,2077,0
2020-11-13,2045,0
2020-11-14,2034,0
2020-11-15,2097,0
2020-11-16,2278,0
2020-11-17,2278,0
2020-11-18,2217,0
2020-11-19,2104,0
2020-11-20,2076,0
2020-11-21,2076,0
2020-11-22,1988,0
2020-11-23,1999,0
2020-11-24,1986,0
2020-11-25,1892,0
2020-11-26,1892,0
2020-11-27,1727,0
2020-11-28,1843,0
2020-11-29,1824,0
2020-11-30,1845,0
2020-12-1,1827,0
2020-12-2,1780,0
2020-12-3,1754,0
2020-12-4,1660,0
2020-12-5,1660,0
2020-12-6,1660,0
2020-12-7,1566,0
2020-12-8,1556,0
2020-12-9,1535,0
2020-12-10,1484,0
2020-12-11,1448,0
2020-12-12,1448,0
2020-12-13,1448,0
2020-12-14,1471,0
2020-12-15,1461,0
2020-12-16,1410,0
2020-12-17,1363,0
2020-12-18,1330,0
2020-12-19,1330,0
2020-12-20,1268,0
2020-12-21,1308,0
2020-12-22,1274,0
2020-12-23,1243,0
2020-12-24,1243,0
2020-12-25,1243,0
2020-12-26,1243,0
2020-12-27,1089,0
2020-12-28,1113,0
2020-12-29,1082,0
2020-12-30,1074,0
2020-12-31,1074,0
2021-1-1,1074,0
2021-1-2,1018,0
2021-1-3,1018,0
2021-1-4,1069,0
2021-1-5,1123,0
2021-1-6,1104,0
2021-1-7,1128,0
2021-1-8,1077,0
2021-1-9,1054,0
2021-1-10,1054,0
2021-1-11,973,0
2021-1-12,1017,0
2021-1-13,988,0
2021-1-14,1025,0
2021-1-15,998,0
2021-1-16,953,0
2021-1-17,953,0
2021-1-18,875,0
2021-1-19,865,0
2021-1-20,834,0
2021-1-21,808,0
2021-1-22,785,0
2021-1-23,785,0
2021-1-24,761,0
2021-1-25,772,0
2021-1-26,746,0
2021-1-27,734,0
2021-1-28,710,0
2021-1-29,680,0
2021-1-30,680,0
2021-1-31,680,0
2021-2-1,697,0
2021-2-2,686,0
2021-2-3,655,0
2021-2-4,639,0
2021-2-5,594,0
2021-2-6,593,0
2021-2-7,570,0
2021-2-8,572,0
2021-2-9,525,0
2021-2-10,489,0
2021-2-11,489,0
2021-2-12,461,0
2021-2-13,461,0
2021-2-14,402,0
2021-2-15,413,0
2021-2-16,411,0
2021-2-17,385,0
2021-2-18,391,0
2021-2-19,370,0
2021-2-20,370,0
2021-2-21,353,0
2021-2-22,348,0
2021-2-23,347,0
2021-2-24,347,0
2021-2-25,355,0
2021-2-26,304,0
2021-2-27,304,0
2021-2-28,290,0
2021-3-1,287,0
2021-3-2,275,0
2021-3-3,267,0
2021-3-4,262,0
2021-3-5,260,0
2021-3-6,260,0
2021-3-7,249,0
