Date,WVDATA.HospitalizedCurrently,WVDATA.OnVentilatorCurrently
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,85,22
2020-4-11,85,22
2020-4-12,81,24
2020-4-13,95,23
2020-4-14,87,25
2020-4-15,82,23
2020-4-16,85,24
2020-4-17,85,24
2020-4-18,83,27
2020-4-19,72,25
2020-4-20,77,23
2020-4-21,85,24
2020-4-22,103,23
2020-4-23,108,24
2020-4-24,97,19
2020-4-25,97,19
2020-4-26,100,20
2020-4-27,100,20
2020-4-28,87,15
2020-4-29,102,21
2020-4-30,84,20
2020-5-1,81,18
2020-5-2,76,15
2020-5-3,73,15
2020-5-4,73,15
2020-5-5,64,12
2020-5-6,76,12
2020-5-7,76,12
2020-5-8,65,11
2020-5-9,53,7
2020-5-10,49,6
2020-5-11,49,6
2020-5-12,50,5
2020-5-13,58,6
2020-5-14,52,5
2020-5-15,57,8
2020-5-16,55,6
2020-5-17,48,7
2020-5-18,48,7
2020-5-19,54,9
2020-5-20,58,9
2020-5-21,46,9
2020-5-22,47,9
2020-5-23,39,9
2020-5-24,23,4
2020-5-25,36,7
2020-5-26,35,7
2020-5-27,36,6
2020-5-28,35,6
2020-5-29,33,8
2020-5-30,33,8
2020-5-31,33,8
2020-6-1,31,4
2020-6-2,31,4
2020-6-3,34,4
2020-6-4,28,2
2020-6-5,27,3
2020-6-6,27,3
2020-6-7,28,4
2020-6-8,24,4
2020-6-9,24,4
