Date,WYDATA.HospitalizedCurrently,WYDATA.OnVentilatorCurrently
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,19,0
2020-4-17,19,0
2020-4-18,19,0
2020-4-19,19,0
2020-4-20,19,0
2020-4-21,19,0
2020-4-22,19,0
2020-4-23,0,0
2020-4-24,16,0
2020-4-25,16,0
2020-4-26,16,0
2020-4-27,16,0
2020-4-28,16,0
2020-4-29,12,0
2020-4-30,13,0
2020-5-1,13,0
2020-5-2,13,0
2020-5-3,13,0
2020-5-4,13,0
2020-5-5,13,0
2020-5-6,11,0
2020-5-7,11,0
2020-5-8,9,0
2020-5-9,12,0
2020-5-10,12,0
2020-5-11,12,0
2020-5-12,10,0
2020-5-13,10,0
2020-5-14,8,0
2020-5-15,8,0
2020-5-16,8,0
2020-5-17,8,0
2020-5-18,8,0
2020-5-19,8,0
2020-5-20,9,0
2020-5-21,8,0
2020-5-22,10,0
2020-5-23,10,0
2020-5-24,10,0
2020-5-25,10,0
2020-5-26,14,0
2020-5-27,12,0
2020-5-28,15,0
2020-5-29,13,0
2020-5-30,13,0
2020-5-31,13,0
2020-6-1,8,0
2020-6-2,7,0
2020-6-3,4,0
2020-6-4,4,0
2020-6-5,4,0
2020-6-6,4,0
2020-6-7,4,0
2020-6-8,7,0
2020-6-9,8,0
2020-6-10,8,0
2020-6-11,7,0
2020-6-12,5,0
2020-6-13,5,0
2020-6-14,5,0
2020-6-15,4,0
2020-6-16,7,0
2020-6-17,7,0
2020-6-18,8,0
2020-6-19,8,0
2020-6-20,8,0
2020-6-21,8,0
2020-6-22,8,0
2020-6-23,8,0
2020-6-24,7,0
2020-6-25,7,0
2020-6-26,5,0
2020-6-27,5,0
2020-6-28,5,0
2020-6-29,7,0
2020-6-30,6,0
2020-7-1,9,0
2020-7-2,9,0
2020-7-3,8,0
2020-7-4,8,0
2020-7-5,8,0
2020-7-6,9,0
2020-7-7,10,0
2020-7-8,13,0
2020-7-9,12,0
2020-7-10,12,0
2020-7-11,12,0
2020-7-12,12,0
2020-7-13,17,0
2020-7-14,14,0
2020-7-15,17,0
2020-7-16,18,0
2020-7-17,19,0
2020-7-18,16,0
2020-7-19,17,0
2020-7-20,13,0
2020-7-21,13,0
2020-7-22,13,0
2020-7-23,15,0
2020-7-24,14,0
2020-7-25,14,0
2020-7-26,14,0
2020-7-27,17,0
2020-7-28,15,0
2020-7-29,16,0
2020-7-30,18,0
2020-7-31,18,0
2020-8-1,18,0
2020-8-2,18,0
2020-8-3,19,0
2020-8-4,17,0
2020-8-5,16,0
2020-8-6,16,0
2020-8-7,17,0
2020-8-8,17,0
2020-8-9,17,0
2020-8-10,15,0
2020-8-11,15,0
2020-8-12,15,0
2020-8-13,14,0
2020-8-14,13,0
2020-8-15,13,0
2020-8-16,13,0
2020-8-17,13,0
2020-8-18,12,0
2020-8-19,12,0
2020-8-20,18,0
2020-8-21,19,0
2020-8-22,19,0
2020-8-23,19,0
2020-8-24,20,0
2020-8-25,18,0
2020-8-26,17,0
2020-8-27,13,0
2020-8-28,15,0
2020-8-29,15,0
2020-8-30,15,0
2020-8-31,16,0
2020-9-1,13,0
2020-9-2,14,0
2020-9-3,15,0
2020-9-4,15,0
2020-9-5,15,0
2020-9-6,15,0
2020-9-7,15,0
2020-9-8,17,0
2020-9-9,12,0
2020-9-10,12,0
2020-9-11,12,0
2020-9-12,12,0
2020-9-13,12,0
